% Device,CC1841005
% File name,CC1841005_20220417_062738
% Cast time (UTC),2022-04-17 06:27:38
% Cast time (local),2022-04-17 02:27:38
% Sample type,Cast
% Cast data,Raw
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,49.4797267
% Start longitude,0.0276967
% Start altitude,52.715000152587891
% Start GPS horizontal error(Meter),9.9209995269775391
% Start GPS vertical error(Meter),18.937000274658203
% Start GPS number of satellites,5
% End latitude,49.4795053
% End longitude,0.0281416
% End altitude,50.180999755859375
% End GPS horizontal error(Meter),215.89500427246094
% End GPS vertical error(Meter),98.611000061035156
% End GPS number of satellites,4
% Cast duration (Seconds),645.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2018-11-19
% Temperature calibration date,2018-11-16
% Pressure calibration date,2018-11-13
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
361.8,8.3170759825004161,10.462541580200195,36496.57421875
362,8.2931665784259181,10.463875770568848,36490.4140625
362.2,8.2851968868758323,10.463129997253418,36496.2890625
362.4,8.2681939922007484,10.463586807250977,36499.3828125
362.6,8.2437581599035923,10.463851928710938,36491.76171875
362.8,8.2251645364687427,10.462947845458984,36475.33984375
363,8.1980679528288132,10.46495246887207,36470.0078125
363.2,8.1975311989008,10.463106155395508,36467.98046875
363.4,8.1975265952413388,10.462543487548828,36467.015625
363.6,8.2044285009812938,10.462499618530273,36472.3671875
363.8,8.2192974019605067,10.461644172668457,36461.4765625
364,8.24000660445339,10.461750030517578,36460.53125
364.2,8.26655801580858,10.461016654968262,36464.79296875
364.4,8.2851443392731419,10.461523056030273,36471.34375
364.6,8.3085104784115344,10.462135314941406,36460.17578125
364.8,8.3239115296593,10.462658882141113,36473.03125
365,8.3515291489002319,10.463783264160156,36477.31640625
365.2,8.3679906859878415,10.464807510375977,36467.2265625
365.4,8.3701146834026012,10.465567588806152,36475.3125
365.6,8.3642621488349373,10.464791297912598,36479.234375
365.8,8.3430134961032127,10.46544075012207,36460.0625
366,8.3228234218626991,10.465527534484863,36476.6640625
366.2,8.2994461680567539,10.464778900146484,36474.94921875
366.4,8.2781956079763965,10.465303421020508,36464.53515625
366.6,8.2680992227007248,10.464982986450195,36476.375
366.8,8.2473769981916565,10.46397876739502,36464.48046875
367,8.2287814674081723,10.465401649475098,36460.93359375
367.2,8.22240631931512,10.464239120483398,36452.109375
367.4,8.2255850805238229,10.463252067565918,36463.50390625
367.6,8.2372687092862389,10.463549613952637,36459.88671875
367.8,8.2314218967644734,10.464029312133789,36450.60546875
368,8.2547861285542332,10.463665008544922,36460.35546875
368.2,8.2685964510422352,10.46309757232666,36463.64453125
368.4,8.27867981430172,10.462226867675781,36464.125
368.6,8.29035962836687,10.462579727172852,36469.23046875
368.8,8.3025754073978391,10.462833404541016,36472.1328125
369,8.315317614651466,10.463108062744141,36466.0390625
369.2,8.3275314863338021,10.462860107421875,36475.57421875
369.4,8.3291195187827416,10.462417602539063,36469.5234375
369.6,8.3238010418322652,10.461674690246582,36469.4375
369.8,8.3195487727675328,10.460132598876953,36474.19140625
370,8.3020156351725252,10.460931777954102,36483.984375
370.2,8.2887301629827927,10.460054397583008,36475.24609375
370.4,8.2892577095918885,10.459491729736328,36473.72265625
370.6,8.2812842033445371,10.459464073181152,36473.8984375
370.8,8.2642813086694531,10.461260795593262,36475.2421875
371,8.2478143789601877,10.460951805114746,36483.6796875
371.2,8.22178209585737,10.462666511535645,36487.6875
371.4,8.2053094441022054,10.461287498474121,36476.02734375
371.6,8.18458912694177,10.461977005004883,36460.7890625
371.8,8.1782139788487154,10.461596488952637,36455.09765625
372,8.1702423799499986,10.462202072143555,36446.296875
372.2,8.1723606553188581,10.463162422180176,36438.4375
372.4,8.1829799835441648,10.463546752929688,36453.20703125
372.6,8.1914726180438855,10.463497161865234,36440.2734375
372.8,8.220680966044581,10.463535308837891,36441.59375
373,8.2583922742503564,10.463607788085938,36451.4296875
373.2,8.2833491421485128,10.463695526123047,36458.75
373.4,8.3114970043093663,10.464384078979492,36460.66796875
373.6,8.35185952711475,10.464190483093262,36462.9609375
373.8,8.3800131113215013,10.464080810546875,36472.33984375
374,8.389566231661064,10.464394569396973,36476.48046875
374.2,8.389561628001605,10.465618133544922,36474.671875
374.4,8.38583769450816,10.466108322143555,36475.49609375
374.6,8.3661835852334665,10.464195251464844,36463.55078125
374.8,8.339613429816195,10.463323593139648,36469.171875
375,8.299775757309078,10.461626052856445,36475.71484375
375.2,8.2758682605832128,10.460942268371582,36484.88671875
375.4,8.2323074435448458,10.460142135620117,36482.375
375.6,8.1903411699635118,10.461034774780273,36487.9296875
375.8,8.1643107942093245,10.461769104003906,36475.7578125
376,8.1526236801738889,10.461320877075195,36470.375
376.2,8.1441180236579829,10.462010383605957,36481.44140625
376.4,8.145709870804188,10.462116241455078,36469.890625
376.6,8.15845017070918,10.461338043212891,36473.265625
376.8,8.1780988873622213,10.461018562316895,36471.328125
377,8.20890177881995,10.460165023803711,36479.78125
377.2,8.246607364979825,10.460070610046387,36475.91015625
377.4,8.2800671930830614,10.460010528564453,36468.7265625
377.6,8.2954663369821944,10.462540626525879,36477.953125
377.8,8.336359102707501,10.461613655090332,36482.59765625
378,8.36025929946308,10.461921691894531,36475.09375
378.2,8.3735374716825266,10.463634490966797,36486.08984375
378.4,8.3767181402398627,10.462328910827637,36479.23828125
378.6,8.3703372701009116,10.460206031799316,36485.61328125
378.8,8.36342806439067,10.459457397460938,36478.7421875
379,8.3299590289685153,10.459484100341797,36485.40234375
379.2,8.2986147799233141,10.458689689636231,36476.796875
379.4,8.2720560685978377,10.459175109863281,36479.0625
379.6,8.2396475190155272,10.460387229919434,36485.8046875
379.8,8.20246106110802,10.460967063903809,36480.1015625
380,8.18599031670149,10.461594581604004,36477.36328125
380.2,8.1758920240771857,10.462470054626465,36474.6875
380.4,8.1769517209548361,10.461318969726563,36466.52734375
380.6,8.1785416607524066,10.460657119750977,36471.6328125
380.8,8.1748215419562289,10.460304260253906,36470.78515625
381,8.18915447796962,10.460260391235352,36464.1953125
381.2,8.2088012872740279,10.459543228149414,36465.1640625
381.4,8.2411987221887877,10.460105895996094,36475.859375
381.6,8.2693503990469051,10.460000991821289,36467.69140625
381.8,8.2863383643571726,10.460061073303223,36465.796875
382,8.2932402700971259,10.462728500366211,36469.53515625
382.2,8.3022650548654013,10.463241577148438,36475.3828125
382.4,8.3139467762791828,10.463455200195313,36466.2578125
382.6,8.32031462440195,10.463181495666504,36476.44140625
382.8,8.32562007933624,10.462149620056152,36474.109375
383,8.3123403291924056,10.462209701538086,36471.4765625
383.2,8.31392645429271,10.460104942321777,36470.8828125
383.4,8.30170718998872,10.460749626159668,36460.6953125
383.6,8.2857666885021128,10.460963249206543,36466.43359375
383.8,8.2671711577186286,10.460550308227539,36470.02734375
384,8.2538895002261619,10.461377143859863,36471.015625
384.2,8.2400737851165058,10.461657524108887,36470.79296875
384.4,8.2198837108759921,10.461801528930664,36466.625
384.6,8.21403880570286,10.462291717529297,36478.83203125
384.8,8.2071276926439864,10.462749481201172,36474.8125
385,8.206590938715971,10.463802337646484,36463.91015625
385.2,8.2188029030496761,10.462187767028809,36481.765625
385.4,8.2283598380865044,10.461967468261719,36469.0234375
385.6,8.24588186101396,10.46136474609375,36474.90234375
385.8,8.254376402862313,10.461746215820313,36471.27734375
386,8.2687150609216022,10.460886001586914,36478.32421875
386.2,8.26552137034808,10.461994171142578,36472.6015625
386.4,8.2846398440811981,10.462003707885742,36475.0078125
