Image,Avg_Angle_StD,Avg_Major_Minor,Streak
0.0,65.13940480623387,2.4134954851145713,0.0
1.0,11.602749736161682,1.9408792765458311,0.0
2.0,7.2998071816239705,2.6768344167563143,0.0
3.0,44.36755087248137,1.824415204476977,0.0
4.0,62.80861696110118,1.4342560922897793,0.0
5.0,8.251494640703315,1.5218769925308047,0.0
6.0,25.95731955781897,2.0513627054332413,0.0
7.0,37.459112141040684,1.4716002069819676,0.0
8.0,44.28180697908943,1.8480583574815412,0.0
9.0,10.040102876852297,3.516821642382281,1.0
10.0,56.30946382372643,1.707348916679713,0.0
11.0,69.41894235674359,1.7096560964694751,0.0
12.0,66.11898311075268,2.040651712264873,0.0
13.0,17.092992157801596,1.9081666781170836,0.0
14.0,18.40926403260658,2.787212173783573,1.0
15.0,2.0935442286944874,4.665566561032506,1.0
16.0,79.67607464626084,1.9840808442804476,0.0
17.0,21.031472506592486,1.6645936826819692,0.0
18.0,10.437883565806498,2.534572873672305,0.0
19.0,65.99383564233057,1.8301212642229323,0.0
20.0,33.894298294313536,1.9051153057218062,0.0
21.0,71.12739677154762,1.89133066704177,0.0
22.0,8.058539859469992,2.3705271885749872,1.0
23.0,79.04572085152799,2.2895753771742586,0.0
24.0,41.267905488268745,2.093926715831191,0.0
25.0,8.770871481526479,2.0827190912130793,1.0
26.0,12.53345065602202,1.8894891611675901,0.0
27.0,37.960626747568085,1.6483213309757934,0.0
28.0,59.14751564102861,1.657017959494806,0.0
29.0,66.67352626612536,1.9220990755954295,0.0
30.0,18.300371153596174,1.9667973495888915,0.0
31.0,64.10810409765703,1.7325125774344479,0.0
32.0,20.124118272483344,2.107228631141477,0.0
33.0,22.204221123154724,1.9011498084511134,0.0
34.0,53.76797367494205,1.6805828073237221,0.0
35.0,67.94592797418842,1.9407891009236726,0.0
36.0,8.221410608457477,3.0738302891221734,1.0
37.0,45.15468873347798,1.8640525687861367,0.0
38.0,44.54775948463168,1.650911343341933,0.0
39.0,77.87916901976956,2.1148674447254905,0.0
40.0,8.16919468854642,2.503959302218657,1.0
41.0,46.73240902344215,1.59720268065171,0.0
42.0,6.844299296286133,1.989341267904546,0.0
43.0,43.19148077264003,1.9720002071478062,0.0
44.0,56.49146053812459,2.5203693807917578,0.0
45.0,10.924548955855746,3.218050499869937,1.0
46.0,61.14207131074615,1.731199940002677,0.0
47.0,19.2108094360495,2.2892154808288376,0.0
48.0,4.408900392010088,3.104333293265524,0.0
49.0,68.4485655516141,3.0393957285042017,0.0
50.0,51.074290185740935,1.6594015700593003,0.0
51.0,70.14772817726593,1.7099851785955693,0.0
52.0,11.672361538647136,2.167032545239471,0.0
53.0,2.4269999999999996,4.088937608937895,1.0
54.0,63.67959023353977,1.6091495515512033,0.0
55.0,5.366919571999164,3.858965184987208,1.0
56.0,4.501897343065477,2.6425276290288955,0.0
57.0,35.234093667643094,2.0810116795358202,0.0
58.0,31.776002499069353,1.814283439286498,0.0
59.0,69.48026250517917,2.0418101092415286,0.0
60.0,54.70080438527553,2.1977547912993782,0.0
61.0,55.507616495959354,2.040605428972725,0.0
62.0,32.98006818070699,1.591232396186223,0.0
63.0,59.261960176408984,2.339028575059367,0.0
64.0,30.884036310967236,1.694658999072583,0.0
65.0,8.333423767575963,2.8555360913597783,0.0
66.0,33.94994024475186,1.74291757352342,0.0
67.0,38.25906889730707,1.506262689848197,0.0
68.0,67.40092937496041,2.4077702899769067,0.0
69.0,77.58076856886252,2.9436314258253775,0.0
70.0,48.61557873680666,2.146235459768066,0.0
71.0,73.6906881957006,2.048501736939913,0.0
72.0,14.017943607220232,1.930954180607782,0.0
73.0,74.64199002184293,1.8437900352416468,0.0
74.0,76.31280431226125,1.664847578225067,0.0
75.0,20.773314762935648,2.1639020928340305,0.0
76.0,18.228331000211032,1.7501159964783826,0.0
77.0,75.291202040426,1.8063549398228957,0.0
78.0,57.185850349050895,1.5545179229498551,0.0
79.0,9.275199457929464,2.6323264528335115,1.0
80.0,67.31750603899367,1.720856814348473,0.0
81.0,67.32242551973302,1.5622422047108213,0.0
82.0,71.69107657178847,1.9458234498037505,0.0
83.0,54.82943821205904,1.463870588321601,0.0
84.0,72.20309658668904,1.6801600292981422,0.0
85.0,78.06720063052312,2.373123971628671,0.0
86.0,9.883717392762705,2.8872782898696725,1.0
87.0,32.78091950684553,1.3200060483067781,0.0
88.0,72.54734308346791,1.6196697975842722,0.0
89.0,78.89695602259003,2.2044634151345597,0.0
90.0,40.2426135986469,1.5398229883228731,0.0
91.0,42.581889944732445,1.4453022259199024,0.0
92.0,10.293341645937922,2.8494936225523033,1.0
93.0,60.93276824764313,1.628883786348508,0.0
94.0,78.37615784411273,2.223746009719873,0.0
95.0,35.287372572777365,1.3775368716259222,0.0
96.0,51.40089890608296,1.7073471653815475,0.0
97.0,77.92146556564839,2.449498859143461,0.0
98.0,49.62076792387812,1.3776912508191812,0.0
99.0,64.9107915553344,1.791805839805727,0.0
100.0,56.84713301784835,1.7723135677646635,0.0
101.0,48.34303914587265,1.699224417236885,0.0
102.0,71.66901578638026,1.7611357472969595,0.0
103.0,67.84960920974825,1.76179479291011,0.0
104.0,44.52141880917793,1.448893448512908,0.0
105.0,62.520303012649606,2.9440914375456355,0.0
106.0,11.5978892799509,2.4468305856692774,0.0
107.0,58.97508331415721,2.130188015055526,0.0
108.0,56.030730376164115,1.5474916464637252,0.0
109.0,64.0992173057509,1.567496808344519,0.0
110.0,60.26340700767622,1.7506524356094713,0.0
111.0,62.18108136474675,2.1222350596181703,0.0
112.0,58.69593381611672,1.6513012581620954,0.0
113.0,55.62273976946594,2.0378711246722068,0.0
114.0,66.80275946881805,1.8940102561577596,0.0
115.0,7.671060174713898,1.9954121981068142,0.0
116.0,49.24732865790295,1.6870379416519037,0.0
117.0,58.23058708045006,1.6773460712346995,0.0
118.0,72.689552913018,1.8850563906527222,0.0
119.0,8.858483278756019,1.9935963632772253,0.0
120.0,74.89320048163091,2.4484582538247794,0.0
121.0,76.19884304487859,1.8567047072205516,0.0
122.0,3.3072981629857465,3.859371118200914,1.0
123.0,66.58133178298623,2.0309231798379965,0.0
124.0,77.95980719971853,2.4232311986497077,0.0
125.0,22.82596549254087,2.451097688239772,1.0
126.0,67.11526432104053,1.7716863065414057,0.0
127.0,46.73797681876175,1.4188757839914006,0.0
128.0,9.103339991453687,3.4741811424637032,1.0
129.0,77.95080271090438,2.494886503015495,0.0
130.0,62.12328439334873,1.8100964918375173,0.0
131.0,43.98865000247223,1.447568504478387,0.0
132.0,40.687277446795214,2.9525892703992254,0.0
133.0,85.05252276308062,4.066382328292525,1.0
134.0,46.25687895760437,1.970710150534288,0.0
135.0,24.32443241260843,1.8360806761325843,0.0
136.0,75.08615790299737,3.021994294859364,0.0
137.0,55.48623512702433,1.7382173299397148,0.0
138.0,71.34005025195968,1.9768591103699762,0.0
139.0,18.583289896016126,2.963292794549921,1.0
140.0,72.76081402615247,3.47100671930628,0.0
141.0,64.64598245337433,1.748021010163619,0.0
142.0,71.07784500955312,3.0383828799952006,0.0
143.0,81.72183645047477,3.8094109163958425,0.0
144.0,77.09107804273862,2.26996701584557,0.0
145.0,63.07567765673489,2.443989372867011,0.0
146.0,62.96242102348192,3.2774316205280067,0.0
147.0,82.46812398345551,3.441171280529518,0.0
