 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	26	29.154	14.352	5	59	23.314	3647	1	10	4	10.257	3.228	10.085	0.601	3.178	0.315	0.812
2	26	54.462	15.368	27	96	23.556	2354	3	10	5	9.148	3.619	1.539	0.589	2.528	0.396	0.732
3	72	86.417	28.103	4	138	35.213	1243	9	14	8	13.636	6.723	179.567	0.730	2.028	0.493	0.823
4	34	61.412	20.750	23	93	23.899	2897	35	9	5	9.731	4.448	5.254	0.748	2.188	0.457	0.861
5	165	19.794	9.946	1	51	67.841	623	40	20	18	19.838	10.590	138.647	0.451	1.873	0.534	0.724
6	168	64.417	30.072	4	143	53.113	998	48	21	12	19.681	10.868	170.591	0.748	1.811	0.552	0.873
7	870	61.643	33.122	2	153	168.409	3207	66	47	39	48.191	22.986	141.433	0.385	2.096	0.477	0.751
8	4146	48.932	29.697	1	172	343.019	467	69	113	58	108.747	48.542	169.435	0.443	2.240	0.446	0.810
9	314	55.710	24.610	4	128	86.326	3151	80	32	16	32.645	12.247	164.068	0.529	2.666	0.375	0.821
10	49	22.510	9.408	2	45	32.142	1550	85	11	7	10.933	5.707	2.149	0.596	1.916	0.522	0.760
11	44	41.114	12.743	11	75	27.556	2788	99	11	6	10.953	5.115	170.863	0.728	2.142	0.467	0.822
12	40	39.175	14.811	6	61	26.971	3113	104	11	6	9.178	5.549	9.509	0.691	1.654	0.605	0.808
13	18	32.000	9.293	13	45	15.899	1733	120	6	4	5.557	4.124	11.562	0.895	1.347	0.742	0.857
14	474	20.797	10.663	0	58	90.569	1687	124	26	26	26.226	23.012	59.106	0.726	1.140	0.877	0.884
15	936	61.333	39.796	1	195	167.782	3281	124	50	34	44.731	26.643	11.088	0.418	1.679	0.596	0.750
16	39	61.821	23.294	18	105	28.385	3137	144	11	6	10.748	4.620	9.357	0.608	2.326	0.430	0.765
17	65	56.985	20.610	16	97	32.971	3474	151	13	7	13.504	6.128	9.246	0.751	2.204	0.454	0.878
18	33	33.273	14.751	1	65	25.556	744	155	9	7	8.874	4.735	157.715	0.635	1.874	0.534	0.717
19	34	36.206	11.124	19	57	24.142	347	160	10	5	9.334	4.638	4.485	0.733	2.012	0.497	0.829
20	47	38.511	16.604	8	71	30.142	3670	166	13	5	12.537	4.773	3.750	0.650	2.626	0.381	0.862
