 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	18	36.111	13.173	14	58	23.314	4	1	10	3	9.870	2.322	178.730	0.416	4.251	0.235	0.706
2	24	34.958	14.778	7	61	20.142	392	9	8	5	7.482	4.084	8.643	0.743	1.832	0.546	0.762
3	27	32.185	10.601	7	45	21.556	2823	14	8	6	7.943	4.328	26.060	0.730	1.835	0.545	0.740
4	69	17.870	8.037	3	40	43.456	3189	18	14	9	12.192	7.206	21.622	0.459	1.692	0.591	0.697
5	249	48.976	21.753	6	104	68.426	924	64	22	18	19.512	16.249	154.205	0.668	1.201	0.833	0.826
6	148	74.439	24.371	7	145	48.284	3598	69	16	14	15.732	11.978	33.776	0.798	1.313	0.761	0.876
7	50	22.060	8.584	2	41	32.627	155	81	10	9	9.449	6.737	164.094	0.590	1.402	0.713	0.714
8	19	22.632	11.082	2	39	18.142	1151	90	7	4	6.532	3.704	8.307	0.725	1.764	0.567	0.776
9	40	48.725	13.976	18	79	27.799	1778	97	10	7	9.613	5.298	19.431	0.650	1.814	0.551	0.784
10	48	16.188	7.263	1	34	32.971	450	115	9	9	8.526	7.168	42.299	0.555	1.189	0.841	0.722
11	59	19.339	10.613	3	47	37.213	1452	127	12	9	9.799	7.666	171.985	0.535	1.278	0.782	0.724
12	23	35.826	15.802	3	56	21.314	3493	146	7	5	7.361	3.978	3.975	0.636	1.850	0.540	0.754
13	31	49.968	18.145	13	83	26.385	3056	150	11	6	8.385	4.707	11.042	0.560	1.781	0.561	0.681
14	323	28.046	13.613	2	76	74.527	3151	158	25	17	25.790	15.947	175.991	0.731	1.617	0.618	0.893
15	103	53.990	18.810	8	95	42.042	3070	159	16	10	16.571	7.914	22.274	0.732	2.094	0.478	0.855
16	52	32.385	12.276	13	58	34.042	3811	165	14	7	11.351	5.833	179.677	0.564	1.946	0.514	0.743
17	22	26.182	8.175	9	41	17.314	1109	168	7	4	7.522	3.724	171.668	0.922	2.020	0.495	0.880
18	31	26.452	10.761	5	56	30.728	3995	169	4	13	11.773	3.353	94.730	0.413	3.512	0.285	0.721
19	42	54.476	17.694	12	89	30.627	2479	180	12	7	10.124	5.282	14.184	0.563	1.917	0.522	0.712
20	56	34.125	11.402	12	61	28.142	3129	186	10	7	10.855	6.569	14.038	0.889	1.653	0.605	0.903
21	37	50.108	15.645	14	78	24.142	3610	187	10	5	10.330	4.560	13.092	0.798	2.265	0.441	0.892
22	338	56.722	20.938	5	107	77.841	1415	191	25	21	23.656	18.193	20.301	0.701	1.300	0.769	0.860
23	25	28.240	8.545	12	42	19.899	3104	193	8	4	7.600	4.189	167.755	0.793	1.814	0.551	0.877
24	41	34.195	10.678	9	54	23.556	514	194	9	6	8.918	5.854	172.629	0.928	1.523	0.656	0.891
