 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	1434	36.541	21.103	0	107	238.066	2148	1	69	37	57.879	31.546	168.318	0.318	1.835	0.545	0.737
2	842	38.530	19.442	1	105	134.953	2986	1	50	28	43.811	24.470	168.889	0.581	1.790	0.559	0.874
3	150	30.000	12.963	2	69	70.527	3045	1	29	8	29.704	6.430	1.124	0.379	4.620	0.216	0.748
4	3492	51.449	26.148	0	152	346.676	3618	1	80	69	75.776	58.675	33.864	0.365	1.291	0.774	0.796
5	3101	37.759	19.276	1	105	296.007	3748	1	85	65	68.065	58.008	26.181	0.445	1.173	0.852	0.803
6	576	80.293	38.670	1	168	109.255	3927	6	42	20	37.112	19.762	2.461	0.606	1.878	0.532	0.887
7	17	27.000	16.132	4	61	15.314	1028	11	5	5	4.842	4.470	2.318	0.911	1.083	0.923	0.810
8	22	25.955	10.926	6	51	19.314	1783	12	8	4	7.399	3.786	171.988	0.741	1.954	0.512	0.846
9	195	25.985	10.980	1	58	62.426	1874	29	20	15	18.460	13.450	12.271	0.629	1.373	0.729	0.818
10	72	26.681	10.781	6	54	35.799	1604	33	14	7	13.328	6.878	1.801	0.706	1.938	0.516	0.842
11	97	46.371	17.630	6	84	41.213	2673	40	11	14	13.214	9.346	114.035	0.718	1.414	0.707	0.851
12	27	28.593	12.466	2	47	19.556	1609	45	7	6	7.321	4.696	156.367	0.887	1.559	0.641	0.831
13	17	23.176	9.888	8	41	14.728	1006	50	6	4	5.934	3.648	2.382	0.985	1.627	0.615	0.829
14	47	45.809	13.069	10	73	25.556	1323	54	9	7	8.412	7.114	166.885	0.904	1.183	0.846	0.879
15	232	26.638	11.547	2	52	64.527	449	55	17	21	21.061	14.025	121.127	0.700	1.502	0.666	0.856
16	233	69.876	22.752	7	126	65.355	1733	60	16	22	23.529	12.609	110.878	0.685	1.866	0.536	0.852
17	115	33.174	11.750	4	64	44.627	3951	63	13	13	14.430	10.147	149.350	0.726	1.422	0.703	0.839
18	1918	44.439	18.354	2	101	215.622	298	68	53	66	75.261	32.448	119.615	0.518	2.319	0.431	0.868
19	18388	31.624	26.809	0	124	753.252	1362	83	254	115	255.330	91.694	175.730	0.407	2.785	0.359	0.839
20	26	32.923	10.217	13	53	18.971	2195	89	7	6	6.509	5.086	164.336	0.908	1.280	0.781	0.800
21	74	38.824	17.022	2	70	33.799	985	90	12	9	13.335	7.066	33.178	0.814	1.887	0.530	0.897
22	463	38.421	14.529	4	82	107.740	3173	97	36	21	36.512	16.146	160.856	0.501	2.261	0.442	0.810
23	709	53.657	22.694	3	115	144.853	1090	99	50	38	59.168	15.257	148.467	0.425	3.878	0.258	0.740
24	75	35.213	11.399	4	59	34.971	107	100	12	9	12.299	7.764	26.426	0.771	1.584	0.631	0.843
25	25	23.840	11.926	7	44	18.728	3104	104	7	5	7.119	4.471	8.535	0.896	1.592	0.628	0.862
26	22	27.273	11.457	3	43	21.314	1514	106	7	6	5.906	4.743	112.101	0.609	1.245	0.803	0.733
27	27	33.333	10.630	1	52	22.142	664	107	8	5	8.010	4.292	159.489	0.692	1.866	0.536	0.783
28	23	30.913	12.236	10	60	18.728	3052	116	7	5	6.495	4.509	166.237	0.824	1.440	0.694	0.821
29	919	44.577	22.857	2	132	128.125	2716	118	41	36	39.758	29.431	145.183	0.703	1.351	0.740	0.885
