 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	328	46.454	15.461	4	93	82.284	2549	1	33	14	31.446	13.281	0.433	0.609	2.368	0.422	0.906
2	21	16.048	10.390	2	35	17.899	1981	19	5	6	6.643	4.025	77.407	0.824	1.650	0.606	0.824
3	34	20.853	10.204	4	39	21.899	2732	50	6	7	6.918	6.258	126.395	0.891	1.105	0.905	0.919
4	666	25.895	13.046	1	65	136.024	1779	53	29	40	42.317	20.039	115.694	0.452	2.112	0.474	0.809
5	372	34.659	12.401	2	68	86.669	1746	80	24	24	24.791	19.105	36.311	0.622	1.298	0.771	0.837
6	53	23.283	8.872	5	43	28.971	3419	80	9	8	8.527	7.914	34.483	0.794	1.077	0.928	0.848
7	53	21.226	10.156	6	52	29.799	3445	82	8	10	10.480	6.439	71.719	0.750	1.627	0.614	0.797
8	33	30.697	9.312	13	52	22.142	3390	83	6	8	7.426	5.658	71.009	0.846	1.313	0.762	0.846
9	698	20.852	9.859	0	54	146.024	754	103	27	50	51.681	17.196	78.143	0.411	3.005	0.333	0.744
10	69	16.304	8.735	2	38	47.698	2144	103	13	11	11.133	7.891	15.771	0.381	1.411	0.709	0.651
11	67	32.746	13.370	5	64	33.799	1430	108	10	11	10.373	8.224	68.149	0.737	1.261	0.793	0.817
12	31	21.968	10.245	8	51	20.728	505	110	6	7	7.787	5.069	118.047	0.907	1.536	0.651	0.886
13	623	37.729	15.863	2	97	117.882	1943	114	42	25	41.329	19.193	13.518	0.563	2.153	0.464	0.819
14	4200	35.223	17.624	0	99	323.019	2436	136	87	88	87.379	61.200	40.282	0.506	1.428	0.700	0.837
15	82	63.256	13.981	3	95	33.213	1877	142	10	11	10.789	9.677	87.656	0.934	1.115	0.897	0.886
16	111	38.171	12.623	1	67	44.870	2884	144	18	9	16.558	8.535	4.339	0.693	1.940	0.515	0.860
17	49	43.367	12.197	14	72	27.799	3709	155	9	9	9.219	6.767	45.156	0.797	1.362	0.734	0.803
18	2478	37.109	21.033	1	115	257.865	136	164	66	63	64.555	48.874	131.627	0.468	1.321	0.757	0.846
19	441	51.898	20.101	0	102	84.770	2138	179	23	26	27.945	20.093	64.149	0.771	1.391	0.719	0.911
20	20	24.450	8.769	6	43	18.142	2815	179	5	6	6.176	4.123	83.235	0.764	1.498	0.668	0.784
21	33	35.606	15.548	5	64	22.971	3108	195	7	7	7.227	5.814	42.475	0.786	1.243	0.804	0.805
22	127	24.591	13.217	1	55	50.870	2010	197	15	13	15.816	10.224	33.054	0.617	1.547	0.646	0.791
23	21	23.857	8.645	3	39	18.728	3887	198	6	6	5.661	4.723	37.419	0.752	1.198	0.834	0.778
24	29	26.862	11.051	7	50	22.971	1229	205	8	7	7.139	5.172	25.231	0.691	1.380	0.724	0.707
25	67	27.343	11.625	7	63	33.456	381	214	11	11	9.674	8.818	127.362	0.752	1.097	0.911	0.793
26	23	22.391	7.768	10	34	17.899	78	217	6	5	6.591	4.443	40.042	0.902	1.483	0.674	0.868
27	1793	27.081	12.369	1	68	210.936	3880	224	50	59	59.740	38.214	66.563	0.506	1.563	0.640	0.834
28	3271	31.390	15.854	0	88	291.078	1605	225	61	90	86.518	48.137	99.110	0.485	1.797	0.556	0.835
29	216	63.435	22.716	1	116	62.184	830	240	20	17	17.573	15.650	38.257	0.702	1.123	0.891	0.829
30	570	32.121	16.970	1	91	110.225	935	242	26	35	35.142	20.652	102.983	0.590	1.702	0.588	0.821
