 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	4817	42.483	21.843	0	124	351.078	2174	1	125	56	120.235	51.010	10.713	0.491	2.357	0.424	0.880
2	16	83.500	12.796	63	104	29.071	3942	1	14	2	13.255	1.537	0.000	0.238	8.624	0.116	0.727
3	16	19.938	11.693	7	40	20.971	543	8	7	6	4.618	4.411	168.019	0.457	1.047	0.955	0.552
4	162	44.623	17.368	4	107	51.113	493	14	18	13	16.988	12.142	170.782	0.779	1.399	0.715	0.871
5	31	20.742	9.760	3	44	25.799	3587	14	8	9	10.116	3.902	45.898	0.585	2.592	0.386	0.756
6	79	44.937	17.651	2	78	38.042	1244	28	15	9	13.829	7.274	178.086	0.686	1.901	0.526	0.806
7	308	44.078	15.325	4	89	80.912	284	42	31	16	29.043	13.503	166.930	0.591	2.151	0.465	0.863
8	21	34.714	10.734	15	58	18.142	424	43	6	6	5.710	4.682	39.378	0.802	1.220	0.820	0.778
9	66	56.606	18.894	21	110	34.627	2775	43	13	9	12.228	6.872	14.150	0.692	1.779	0.562	0.776
10	319	60.398	20.830	4	117	72.770	1378	56	27	17	26.493	15.331	169.107	0.757	1.728	0.579	0.890
11	1519	23.909	10.778	0	65	187.723	2124	78	39	63	63.705	30.359	75.528	0.542	2.098	0.477	0.856
12	46	25.891	9.796	2	43	26.971	3614	80	11	6	10.307	5.683	169.350	0.795	1.814	0.551	0.852
13	90	62.144	18.979	5	103	34.870	3132	90	12	11	11.882	9.644	160.161	0.930	1.232	0.812	0.878
14	73	38.986	11.633	6	62	36.385	2622	92	11	10	10.456	8.889	28.535	0.693	1.176	0.850	0.830
15	520	43.285	17.365	4	96	113.539	3849	118	24	36	33.785	19.597	87.889	0.507	1.724	0.580	0.781
16	26	27.423	14.103	2	61	20.385	3980	120	7	7	6.663	4.968	46.620	0.786	1.341	0.746	0.743
17	197	24.365	11.491	1	55	63.012	2085	121	20	17	21.079	11.900	29.383	0.623	1.771	0.565	0.811
18	46	16.326	8.644	3	45	30.627	3897	137	9	9	10.120	5.788	28.632	0.616	1.749	0.572	0.730
19	327	55.113	23.297	4	114	73.255	3431	161	22	23	24.860	16.747	50.504	0.766	1.484	0.674	0.887
20	120	49.317	19.240	7	97	47.456	1685	167	17	11	17.551	8.705	164.407	0.670	2.016	0.496	0.819
21	87	26.368	11.661	1	66	40.870	3693	177	11	12	11.981	9.246	108.336	0.655	1.296	0.772	0.777
22	29	28.655	10.665	5	51	20.971	2958	180	8	6	8.490	4.349	32.894	0.829	1.952	0.512	0.806
23	40	14.750	7.709	2	30	28.971	3653	180	9	7	8.359	6.093	3.097	0.599	1.372	0.729	0.741
24	94	15.287	7.399	0	32	47.355	601	186	14	15	14.909	8.028	53.013	0.527	1.857	0.538	0.715
25	50	57.100	17.393	15	90	27.799	1276	186	10	8	9.232	6.896	1.309	0.813	1.339	0.747	0.820
26	140	35.129	17.613	2	88	50.770	2490	188	18	13	16.112	11.064	17.242	0.683	1.456	0.687	0.809
27	42	49.976	14.379	18	74	26.385	2743	190	9	8	8.053	6.641	36.002	0.758	1.213	0.825	0.785
28	17	10.471	6.404	4	25	20.142	2120	221	7	5	6.388	3.388	23.629	0.527	1.885	0.530	0.654
29	1487	48.116	24.920	0	131	182.167	2273	223	64	36	56.677	33.405	174.524	0.563	1.697	0.589	0.855
30	7952	40.048	21.017	0	119	586.884	1702	225	168	133	177.040	57.189	135.062	0.290	3.096	0.323	0.748
31	106	65.623	19.516	13	103	38.627	1873	237	15	9	14.808	9.114	175.852	0.893	1.625	0.615	0.914
32	201	73.876	26.866	10	134	56.527	560	247	18	17	18.351	13.946	29.960	0.790	1.316	0.760	0.876
33	26	36.500	15.015	5	64	19.314	3382	248	8	4	7.843	4.221	9.735	0.876	1.858	0.538	0.897
34	106	13.462	6.955	1	30	55.113	161	249	17	12	15.931	8.472	164.777	0.439	1.881	0.532	0.665
35	66	18.182	12.478	2	50	51.698	512	252	16	15	18.304	4.591	136.275	0.310	3.987	0.251	0.567
36	60	32.450	12.983	1	65	30.385	1346	254	11	8	11.801	6.474	31.761	0.817	1.823	0.549	0.845
37	198	25.096	11.365	1	56	66.426	3515	256	19	16	17.063	14.774	6.483	0.564	1.155	0.866	0.823
38	64	18.031	9.525	0	41	31.456	3963	261	10	11	9.274	8.787	58.230	0.813	1.055	0.948	0.800
39	113	38.416	17.607	2	81	56.527	502	264	16	14	14.042	10.246	19.310	0.444	1.370	0.730	0.671
40	423	33.820	14.228	2	74	87.983	1535	271	30	24	24.903	21.627	1.151	0.687	1.151	0.868	0.841
41	69	64.174	25.014	8	114	36.042	2649	291	14	8	13.870	6.334	17.292	0.667	2.190	0.457	0.821
42	549	35.515	15.529	1	74	108.569	913	299	41	22	38.665	18.079	169.289	0.585	2.139	0.468	0.849
43	34	19.765	7.093	8	36	29.799	1204	306	7	11	8.858	4.887	64.898	0.481	1.813	0.552	0.618
44	674	47.071	23.299	0	118	123.054	420	329	29	36	34.491	24.881	101.441	0.559	1.386	0.721	0.809
45	57	17.877	8.371	5	40	28.385	1205	329	9	9	9.037	8.031	138.301	0.889	1.125	0.889	0.884
46	185	14.232	8.345	1	36	78.912	1466	329	17	22	19.970	11.795	118.549	0.373	1.693	0.591	0.699
47	129	17.984	10.450	2	47	50.870	660	340	14	15	14.966	10.975	68.708	0.626	1.364	0.733	0.811
48	459	35.998	17.712	2	84	91.154	3795	362	31	23	29.572	19.762	18.009	0.694	1.496	0.668	0.878
49	17	21.706	9.439	11	45	15.314	2105	364	6	4	5.562	3.891	27.794	0.911	1.429	0.700	0.850
50	601	16.705	8.221	0	49	121.640	28	373	32	30	28.975	26.409	21.762	0.510	1.097	0.911	0.807
51	319	15.903	7.434	0	38	96.569	1426	391	23	23	21.614	18.791	25.408	0.430	1.150	0.869	0.774
52	225	29.667	14.414	1	68	85.983	1118	398	18	24	23.156	12.372	103.028	0.382	1.872	0.534	0.669
53	32	22.781	11.407	6	46	25.556	1032	406	9	6	8.052	5.060	169.030	0.616	1.591	0.628	0.762
54	296	52.351	18.157	7	101	75.255	3302	407	20	23	24.212	15.566	63.195	0.657	1.555	0.643	0.839
55	285	50.544	19.080	4	100	68.770	1725	411	21	21	22.990	15.784	35.530	0.757	1.457	0.687	0.888
56	27	14.815	6.221	1	26	20.142	2732	414	6	7	6.665	5.158	52.554	0.836	1.292	0.774	0.806
57	46	44.652	17.833	12	80	25.213	3624	417	8	9	8.740	6.701	51.180	0.909	1.304	0.767	0.836
58	18	25.167	9.948	9	44	15.314	2299	425	5	5	5.793	3.956	42.906	0.965	1.464	0.683	0.837
