 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	553	45.412	22.408	2	101	104.669	626	1	37	25	31.115	22.629	0.194	0.634	1.375	0.727	0.905
2	8321	27.348	13.652	0	78	528.943	815	1	145	106	150.532	70.381	156.527	0.374	2.139	0.468	0.796
3	10249	31.469	17.603	0	109	626.240	2814	21	100	168	146.328	89.179	90.756	0.328	1.641	0.609	0.826
4	248	14.706	7.551	0	34	73.841	286	28	20	21	19.019	16.603	115.004	0.572	1.145	0.873	0.797
5	17	12.235	6.824	3	28	16.728	3911	30	6	5	5.409	4.002	31.456	0.763	1.352	0.740	0.739
6	516	22.814	11.041	1	62	101.296	1303	36	24	34	30.999	21.194	76.529	0.632	1.463	0.684	0.848
7	17	16.765	7.645	5	31	22.728	131	54	4	8	7.250	2.986	98.892	0.414	2.428	0.412	0.642
8	42	14.357	7.404	1	33	28.385	1963	77	6	10	10.082	5.304	93.402	0.655	1.901	0.526	0.778
9	58	20.552	8.244	2	39	36.385	3423	84	9	13	12.330	5.989	83.619	0.551	2.059	0.486	0.699
10	2886	28.192	12.380	0	70	250.978	1672	90	55	76	72.690	50.551	87.973	0.576	1.438	0.695	0.906
11	664	29.828	12.862	1	65	131.338	3201	92	32	39	32.302	26.173	93.474	0.484	1.234	0.810	0.793
12	167	15.838	7.920	1	36	68.426	2723	96	17	16	15.957	13.325	148.526	0.448	1.198	0.835	0.763
13	272	35.276	16.014	1	79	76.083	323	99	16	27	25.894	13.375	101.672	0.590	1.936	0.517	0.834
14	62	20.758	9.859	7	47	34.627	2255	118	9	13	11.615	6.797	101.900	0.650	1.709	0.585	0.765
15	17	17.235	8.197	5	30	16.728	1192	128	5	6	6.575	3.292	115.390	0.763	1.997	0.501	0.739
16	657	15.694	8.021	0	41	143.681	1783	141	33	36	31.987	26.152	62.651	0.400	1.223	0.818	0.754
17	290	15.931	8.350	0	43	81.841	3877	156	19	26	27.584	13.386	119.423	0.544	2.061	0.485	0.809
18	150	34.527	11.871	6	67	49.456	2069	157	13	17	15.836	12.060	94.399	0.771	1.313	0.762	0.865
19	438	28.975	11.923	3	62	93.397	2535	157	23	29	27.676	20.150	107.829	0.631	1.373	0.728	0.852
20	90	27.400	9.828	2	48	39.213	1832	162	11	13	12.581	9.108	113.417	0.736	1.381	0.724	0.814
21	16	13.312	5.873	6	29	17.314	3486	162	6	5	5.562	3.663	29.391	0.671	1.519	0.658	0.696
22	89	36.056	11.345	14	62	40.870	3536	173	9	15	15.294	7.409	107.088	0.670	2.064	0.484	0.828
23	148	21.034	9.443	1	43	53.598	1605	174	13	19	17.855	10.554	69.355	0.647	1.692	0.591	0.804
24	44	35.750	12.133	11	60	39.456	3086	186	7	16	13.926	4.023	105.906	0.355	3.462	0.289	0.633
25	875	31.059	13.738	1	80	154.995	2904	203	42	51	51.484	21.639	132.341	0.458	2.379	0.420	0.810
26	169	52.982	19.651	9	100	64.770	1750	211	13	26	22.953	9.375	108.190	0.506	2.448	0.408	0.766
27	131	28.389	10.741	5	51	53.113	330	222	11	20	17.256	9.666	109.957	0.584	1.785	0.560	0.792
28	391	38.688	15.518	2	77	96.912	2	238	18	34	33.835	14.714	101.950	0.523	2.300	0.435	0.842
29	37	21.649	9.244	5	46	26.385	3551	239	7	10	9.119	5.166	117.093	0.668	1.765	0.567	0.755
30	995	19.921	10.938	0	61	184.167	3110	241	42	55	53.287	23.775	136.899	0.369	2.241	0.446	0.726
