 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	88	21.477	11.435	2	60	41.799	143	1	10	15	15.499	7.229	71.361	0.633	2.144	0.466	0.826
2	233	29.901	14.989	4	67	59.698	3177	1	18	18	17.612	16.844	58.039	0.822	1.046	0.956	0.896
3	144	17.458	8.041	3	35	64.870	3835	1	24	11	21.465	8.541	0.700	0.430	2.513	0.398	0.744
4	294	52.408	22.738	2	101	77.841	3648	4	21	21	20.730	18.057	120.147	0.610	1.148	0.871	0.827
5	76	14.039	7.459	1	41	45.698	1878	35	12	14	14.321	6.757	129.716	0.457	2.119	0.472	0.679
6	1107	39.914	18.443	2	102	170.409	1554	41	46	49	40.989	34.387	65.424	0.479	1.192	0.839	0.794
7	27	20.889	11.470	3	50	26.142	2323	43	4	11	9.999	3.438	82.324	0.496	2.908	0.344	0.711
8	43	20.163	9.152	4	44	28.971	3265	54	6	12	11.403	4.801	115.298	0.644	2.375	0.421	0.851
9	61	20.148	11.191	3	51	36.042	3659	64	9	12	10.117	7.677	84.906	0.590	1.318	0.759	0.735
10	78	18.987	9.646	2	41	50.284	1236	67	14	14	13.880	7.155	50.276	0.388	1.940	0.515	0.642
11	420	17.362	8.184	1	42	104.811	479	86	23	33	27.686	19.315	117.218	0.480	1.433	0.698	0.770
12	34	12.647	7.393	1	31	27.799	3519	94	10	7	9.255	4.678	18.269	0.553	1.978	0.505	0.687
13	63	31.397	11.844	7	60	32.971	19	98	6	14	12.815	6.260	86.605	0.728	2.047	0.488	0.881
14	45	18.667	10.523	0	48	35.456	1033	117	8	12	11.904	4.813	118.740	0.450	2.473	0.404	0.647
15	19	16.421	9.828	1	31	17.899	2831	120	4	7	7.139	3.389	102.208	0.745	2.107	0.475	0.809
16	209	17.005	8.028	1	43	61.113	3922	130	16	19	18.386	14.473	110.638	0.703	1.270	0.787	0.853
17	468	31.703	13.083	1	65	104.811	2696	147	22	37	34.860	17.094	101.944	0.535	2.039	0.490	0.808
18	20	17.800	6.550	7	29	24.142	3752	147	5	8	6.920	3.680	95.677	0.431	1.880	0.532	0.625
19	5976	36.835	22.246	0	135	366.676	455	162	84	113	100.994	75.340	63.068	0.559	1.340	0.746	0.876
20	28	19.821	9.584	4	36	24.971	3195	162	5	10	8.773	4.064	84.019	0.564	2.159	0.463	0.727
21	93	34.032	13.435	2	64	41.456	3835	172	9	16	15.016	7.885	100.978	0.680	1.904	0.525	0.842
22	119	34.017	11.648	8	62	44.284	1050	203	11	16	15.424	9.823	100.042	0.763	1.570	0.637	0.835
23	29	16.793	9.073	3	34	23.899	88	206	4	10	10.237	3.607	91.125	0.638	2.838	0.352	0.841
24	22	19.091	8.017	8	34	20.142	79	207	7	6	6.594	4.248	156.241	0.681	1.552	0.644	0.698
25	21	19.190	10.792	5	40	19.556	8	252	7	6	6.154	4.345	157.813	0.690	1.416	0.706	0.700
26	87	32.632	10.975	11	58	38.042	1878	259	9	15	13.555	8.172	96.092	0.755	1.659	0.603	0.837
27	1528	20.976	11.728	0	65	234.836	1781	290	50	56	45.047	43.189	46.497	0.348	1.043	0.959	0.752
28	116	23.284	9.226	5	47	47.698	1526	299	13	16	16.244	9.092	58.726	0.641	1.787	0.560	0.781
29	59	32.169	11.011	10	56	32.627	3283	338	10	11	9.926	7.568	85.306	0.696	1.311	0.762	0.742
30	42	11.810	6.094	4	30	27.556	2307	347	7	10	9.275	5.765	67.010	0.695	1.609	0.622	0.816
31	408	24.627	11.589	1	66	89.154	1335	369	23	28	28.447	18.262	61.491	0.645	1.558	0.642	0.844
32	98	22.806	11.755	2	58	46.042	936	377	9	18	16.410	7.604	76.343	0.581	2.158	0.463	0.803
33	346	45.751	16.558	5	87	84.083	2993	383	20	27	24.592	17.914	88.777	0.615	1.373	0.728	0.831
34	93	36.903	14.498	7	68	41.456	262	393	10	15	14.003	8.456	96.783	0.680	1.656	0.604	0.834
35	31	18.935	9.609	4	40	22.142	3307	394	6	7	6.860	5.754	67.500	0.795	1.192	0.839	0.816
36	41	14.683	7.261	2	29	28.385	3052	405	8	10	9.341	5.588	126.193	0.639	1.672	0.598	0.707
37	154	24.156	10.428	1	66	48.284	1077	469	14	16	15.297	12.818	100.385	0.830	1.193	0.838	0.875
38	121	19.521	9.294	1	49	50.284	2200	471	10	18	16.448	9.367	92.173	0.601	1.756	0.569	0.804
39	39	27.667	13.285	4	65	29.556	390	475	7	11	10.165	4.885	98.095	0.561	2.081	0.481	0.716
40	415	20.455	10.631	0	64	99.983	2805	482	24	29	26.413	20.005	65.939	0.522	1.320	0.757	0.819
41	4475	25.087	11.725	0	69	368.032	1295	485	97	71	96.556	59.010	156.241	0.415	1.636	0.611	0.877
42	21	18.286	9.182	6	42	18.142	1173	502	6	6	5.747	4.653	152.496	0.802	1.235	0.810	0.750
43	37	14.811	6.620	3	28	27.799	3926	539	9	8	7.880	5.978	146.534	0.602	1.318	0.759	0.692
44	1042	35.587	19.290	0	100	165.095	950	544	43	47	48.359	27.435	51.661	0.480	1.763	0.567	0.786
45	534	14.712	7.093	1	38	135.539	81	560	26	37	34.848	19.511	72.922	0.365	1.786	0.560	0.772
46	131	28.290	11.447	6	58	45.698	1367	572	12	17	15.087	11.055	108.177	0.788	1.365	0.733	0.868
47	647	31.410	13.047	1	71	108.811	229	577	23	41	38.621	21.330	93.148	0.687	1.811	0.552	0.891
48	288	39.080	16.898	5	90	69.941	1513	591	18	23	24.521	14.954	69.649	0.740	1.640	0.610	0.883
49	739	41.664	16.703	2	84	132.368	295	605	24	48	45.037	20.892	91.983	0.530	2.156	0.464	0.856
50	18	10.333	5.145	4	21	15.314	322	606	4	6	5.601	4.092	94.052	0.965	1.369	0.731	0.857
51	171	46.772	15.787	5	77	58.770	970	606	13	23	21.331	10.207	73.970	0.622	2.090	0.479	0.826
52	148	16.622	9.404	1	46	70.083	2257	609	19	17	17.142	10.993	150.741	0.379	1.559	0.641	0.696
53	350	55.434	20.442	6	98	86.426	1074	625	15	35	32.237	13.824	89.308	0.589	2.332	0.429	0.868
54	116	37.621	13.513	3	64	44.042	160	632	10	17	16.173	9.132	91.049	0.752	1.771	0.565	0.856
