 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	30	15.733	8.145	2	31	34.870	3763	15	10	10	10.360	3.687	135.754	0.310	2.810	0.356	0.536
2	24	14.000	5.564	2	25	28.042	1632	43	9	10	11.967	2.553	126.766	0.384	4.687	0.213	0.558
3	60	20.783	9.460	4	48	35.456	1647	61	10	12	13.297	5.745	126.853	0.600	2.315	0.432	0.769
4	150	42.607	15.858	3	79	57.012	3394	73	17	20	23.632	8.082	127.451	0.580	2.924	0.342	0.831
5	274	32.832	15.326	1	77	75.255	750	80	21	26	28.884	12.078	123.557	0.608	2.391	0.418	0.830
6	329	20.246	9.595	1	52	93.497	2551	94	20	32	34.452	12.159	113.559	0.473	2.834	0.353	0.760
7	28	20.750	9.204	3	47	27.799	3760	95	7	8	7.124	5.004	131.634	0.455	1.424	0.702	0.615
8	204	20.814	9.611	1	50	65.012	853	115	20	19	21.788	11.921	132.326	0.607	1.828	0.547	0.789
9	71	18.521	8.014	4	35	40.870	2478	124	13	13	16.117	5.609	136.392	0.534	2.874	0.348	0.740
10	32	15.844	8.152	2	36	34.627	3590	126	9	13	12.736	3.199	125.192	0.335	3.981	0.251	0.582
11	1325	25.229	12.116	1	68	191.924	1	134	40	53	50.205	33.603	117.021	0.452	1.494	0.669	0.799
12	18	18.722	8.943	7	39	22.142	3227	134	8	6	6.878	3.332	137.011	0.461	2.064	0.484	0.562
13	318	26.425	12.110	1	58	81.154	677	135	22	26	28.213	14.351	126.102	0.607	1.966	0.509	0.835
14	98	25.265	11.349	4	48	48.527	2669	137	13	16	19.095	6.535	124.881	0.523	2.922	0.342	0.760
15	24	16.583	7.945	3	32	21.556	3742	145	7	7	6.253	4.887	45.438	0.649	1.280	0.781	0.658
16	82	25.866	11.717	6	51	47.113	39	188	14	16	18.483	5.649	129.358	0.464	3.272	0.306	0.716
17	366	53.964	24.583	4	121	101.882	2913	197	34	31	43.849	10.628	137.922	0.443	4.126	0.242	0.819
18	450	39.993	21.005	2	90	125.196	752	204	33	39	44.060	13.004	129.073	0.361	3.388	0.295	0.765
19	877	35.003	17.105	1	86	174.953	1	208	24	67	61.784	18.073	101.140	0.360	3.419	0.293	0.789
20	17	18.588	9.056	4	38	22.971	784	216	7	8	8.910	2.429	126.722	0.405	3.668	0.273	0.586
21	195	36.667	16.267	1	83	74.326	414	225	25	23	30.101	8.248	139.207	0.444	3.649	0.274	0.782
22	95	14.158	7.523	1	34	55.355	1024	229	14	16	16.634	7.272	128.614	0.390	2.287	0.437	0.679
23	8682	26.692	14.461	0	92	497.671	1888	253	110	132	133.168	83.010	120.672	0.440	1.604	0.623	0.905
24	141	29.709	13.799	4	69	66.083	2436	261	18	25	28.837	6.226	126.458	0.406	4.632	0.216	0.752
25	114	34.728	11.562	4	65	46.527	1291	279	14	16	17.623	8.237	121.197	0.662	2.140	0.467	0.792
26	29	20.655	7.355	4	35	24.971	3808	285	7	9	9.689	3.811	125.988	0.584	2.543	0.393	0.744
27	31	12.968	6.124	1	25	28.971	3628	292	11	6	9.910	3.983	161.540	0.464	2.488	0.402	0.626
28	44	18.909	9.750	2	43	31.213	2104	356	8	12	11.791	4.751	115.019	0.568	2.481	0.403	0.739
29	57	20.175	9.865	3	46	41.698	3417	399	11	15	15.879	4.571	120.094	0.412	3.474	0.288	0.651
30	1022	27.986	13.845	0	84	165.238	2931	406	38	52	46.966	27.706	119.337	0.470	1.695	0.590	0.826
31	68	14.647	8.311	1	40	41.456	3321	417	11	13	11.752	7.367	103.842	0.497	1.595	0.627	0.657
32	439	15.412	7.838	1	45	98.083	3978	436	21	33	30.564	18.288	104.747	0.573	1.671	0.598	0.849
33	33	17.455	8.885	1	39	24.385	2069	443	8	8	9.119	4.608	136.918	0.697	1.979	0.505	0.733
34	461	54.568	22.522	3	100	131.338	3369	455	41	44	56.712	10.350	133.909	0.336	5.480	0.182	0.779
35	103	16.233	7.946	2	37	50.284	3302	457	15	15	12.364	10.607	62.512	0.512	1.166	0.858	0.682
36	36	22.750	9.075	9	50	22.971	3958	487	7	8	8.442	5.430	129.370	0.857	1.555	0.643	0.818
37	221	18.837	9.275	2	46	74.083	3746	489	19	19	18.929	14.865	141.293	0.506	1.273	0.785	0.777
38	46	16.870	7.632	2	32	30.971	2935	542	8	9	8.794	6.660	62.734	0.603	1.320	0.757	0.748
39	1103	21.947	9.958	1	60	146.510	1291	552	38	44	40.978	34.272	88.595	0.646	1.196	0.836	0.880
40	136	22.676	10.379	1	55	53.113	3288	565	14	18	17.702	9.782	117.015	0.606	1.810	0.553	0.782
41	58	23.810	12.113	2	50	35.698	903	569	10	12	12.477	5.919	130.109	0.572	2.108	0.474	0.712
42	270	21.619	11.161	1	67	80.083	1733	574	26	20	24.941	13.783	143.362	0.529	1.809	0.553	0.792
43	478	42.238	17.437	1	89	92.569	3061	575	26	30	33.750	18.033	126.333	0.701	1.872	0.534	0.885
44	44	30.659	13.713	4	72	34.627	3314	581	9	13	13.575	4.127	125.619	0.461	3.289	0.304	0.710
45	2057	31.667	20.447	1	121	309.747	1471	582	78	58	62.683	41.782	152.907	0.269	1.500	0.667	0.682
46	75	32.093	12.528	9	62	35.698	2872	590	12	12	13.518	7.064	132.254	0.740	1.914	0.523	0.811
47	19	20.579	9.281	5	43	26.971	207	606	8	9	9.972	2.426	129.768	0.328	4.111	0.243	0.535
48	132	18.174	8.430	1	37	57.941	2878	623	16	15	14.902	11.278	1.439	0.494	1.321	0.757	0.717
49	446	26.913	11.462	1	60	103.497	3242	643	25	27	25.847	21.970	115.886	0.523	1.176	0.850	0.825
50	176	28.438	14.373	1	67	65.255	3856	655	16	24	26.140	8.573	122.766	0.519	3.049	0.328	0.807
51	88	34.102	13.648	4	68	42.284	3255	678	11	15	16.484	6.797	120.115	0.618	2.425	0.412	0.786
52	23	13.609	6.366	2	30	27.213	1653	684	7	10	9.490	3.086	122.138	0.390	3.075	0.325	0.561
53	44	23.568	9.711	4	45	29.213	1137	723	8	11	12.739	4.398	124.991	0.648	2.897	0.345	0.765
54	34	22.765	8.294	9	48	31.213	3290	727	9	11	11.762	3.680	130.470	0.439	3.196	0.313	0.618
55	1316	21.777	10.493	0	57	192.551	1262	750	32	61	60.393	27.745	98.379	0.446	2.177	0.459	0.835
56	33	16.545	7.637	1	34	30.627	2844	764	9	11	11.017	3.814	135.280	0.442	2.889	0.346	0.667
57	67	29.791	12.906	3	63	36.627	2593	772	11	12	13.817	6.174	127.491	0.628	2.238	0.447	0.793
58	82	15.951	7.519	2	31	43.941	211	776	12	13	11.823	8.830	77.628	0.534	1.339	0.747	0.689
59	86	27.744	12.419	4	60	39.456	494	782	12	13	15.536	7.048	133.002	0.694	2.204	0.454	0.819
60	81	30.469	14.846	7	70	44.527	3935	787	14	15	17.482	5.899	132.915	0.513	2.963	0.337	0.775
61	291	35.952	18.046	1	89	114.024	2827	793	30	38	44.931	8.246	126.182	0.281	5.449	0.184	0.720
62	1697	23.071	11.938	0	70	224.593	976	823	69	55	79.677	27.118	145.615	0.423	2.938	0.340	0.833
63	42	26.476	12.496	4	51	31.456	561	827	10	11	13.563	3.943	134.537	0.533	3.440	0.291	0.750
64	44	23.341	9.291	7	42	31.799	2707	852	10	9	10.981	5.102	133.872	0.547	2.153	0.465	0.733
65	43	19.349	10.670	5	40	30.971	1555	856	8	11	8.557	6.398	107.824	0.563	1.337	0.748	0.688
66	47	22.447	11.754	1	53	32.385	3554	862	9	11	12.048	4.967	125.335	0.563	2.426	0.412	0.701
67	123	47.447	17.794	4	96	50.527	2774	867	15	17	19.772	7.921	128.262	0.605	2.496	0.401	0.804
68	88	28.352	11.770	2	58	39.698	3899	890	11	15	16.146	6.940	126.419	0.702	2.327	0.430	0.830
69	155	37.426	15.561	3	71	55.012	1798	896	17	18	22.398	8.811	131.831	0.644	2.542	0.393	0.854
70	31	15.194	6.983	2	36	38.870	545	905	13	10	11.538	3.421	148.199	0.258	3.373	0.297	0.470
71	99	34.081	16.928	1	77	51.941	337	919	14	19	20.606	6.117	122.128	0.461	3.369	0.297	0.720
72	856	27.336	10.636	1	59	129.539	892	934	36	38	41.573	26.216	133.499	0.641	1.586	0.631	0.877
73	550	30.609	14.676	2	71	110.953	1894	937	38	29	32.014	21.874	153.910	0.561	1.464	0.683	0.804
74	54	19.611	10.309	2	41	39.456	3517	943	8	15	14.017	4.905	108.335	0.436	2.858	0.350	0.679
75	122	29.820	11.870	3	61	53.355	2259	986	15	17	20.449	7.596	128.475	0.539	2.692	0.371	0.790
76	16	20.625	12.842	3	52	17.556	3025	1009	6	6	6.975	2.921	130.955	0.652	2.388	0.419	0.653
77	761	26.535	14.444	0	87	131.196	3655	1027	39	40	48.146	20.125	132.268	0.556	2.392	0.418	0.821
78	57	13.368	6.493	1	30	32.627	131	1052	11	10	10.598	6.848	148.499	0.673	1.548	0.646	0.735
79	3083	37.627	24.962	0	145	318.576	801	1054	70	105	106.419	36.886	119.330	0.382	2.885	0.347	0.865
80	1591	28.043	12.492	0	64	206.208	2505	1057	57	54	67.754	29.898	140.318	0.470	2.266	0.441	0.857
81	353	75.408	31.662	8	155	98.125	3142	1086	30	29	36.376	12.356	135.727	0.461	2.944	0.340	0.826
82	1473	39.753	21.717	0	127	191.380	3635	1091	54	59	65.605	28.588	132.937	0.505	2.295	0.436	0.849
83	75	32.347	15.475	3	71	41.456	3689	1101	12	14	16.007	5.966	132.543	0.548	2.683	0.373	0.739
84	42	26.714	14.080	1	57	38.042	1219	1125	12	11	12.865	4.157	129.445	0.365	3.095	0.323	0.618
85	70	30.086	13.544	4	57	38.627	248	1131	11	13	13.983	6.374	127.552	0.590	2.194	0.456	0.745
86	64	16.297	9.172	0	46	45.698	1172	1154	9	16	15.879	5.132	111.441	0.385	3.094	0.323	0.634
87	296	32.095	13.785	2	65	73.255	1976	1157	20	24	25.816	14.599	120.708	0.693	1.768	0.565	0.865
88	78	26.577	13.472	2	58	39.698	1539	1165	12	14	16.311	6.089	130.600	0.622	2.679	0.373	0.788
89	22	14.500	7.652	1	33	30.042	2215	1248	8	10	8.719	3.213	119.334	0.306	2.714	0.368	0.478
90	651	20.539	9.418	1	46	128.610	3630	1253	32	33	33.612	24.660	139.767	0.495	1.363	0.734	0.833
91	132	46.083	18.360	0	83	57.355	661	1261	14	21	21.431	7.842	126.287	0.504	2.733	0.366	0.800
92	241	20.004	9.836	2	49	77.841	3226	1261	18	22	20.058	15.299	117.494	0.500	1.311	0.763	0.805
93	31	20.290	8.275	7	38	19.899	3702	1263	5	7	7.355	5.367	100.419	0.984	1.370	0.730	0.939
94	86	17.209	9.205	1	39	54.184	2541	1272	13	16	15.363	7.127	126.974	0.368	2.156	0.464	0.639
95	25	21.200	8.930	7	38	25.556	302	1287	7	9	9.515	3.345	127.000	0.481	2.844	0.352	0.633
96	24	29.417	12.420	9	54	20.142	3591	1291	6	7	7.077	4.318	132.158	0.743	1.639	0.610	0.750
97	446	47.572	18.476	4	88	97.983	3854	1291	25	31	33.436	16.984	125.593	0.584	1.969	0.508	0.855
98	96	18.875	10.167	1	47	46.527	2616	1294	17	13	16.719	7.311	142.988	0.557	2.287	0.437	0.777
99	77	23.584	9.893	5	55	38.284	3093	1295	12	13	15.805	6.203	129.267	0.660	2.548	0.392	0.798
100	116	32.414	13.170	5	71	46.527	801	1301	12	17	18.060	8.178	119.295	0.673	2.208	0.453	0.814
101	3122	23.636	11.452	0	72	317.304	847	1301	82	79	96.347	41.257	143.231	0.390	2.335	0.428	0.835
102	93	28.538	11.883	4	55	47.941	1433	1329	16	15	17.741	6.674	135.145	0.508	2.658	0.376	0.707
