 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	1286	27.222	12.579	0	65	177.196	189	1	39	54	48.156	34.002	104.367	0.515	1.416	0.706	0.863
2	22	34.409	9.979	21	60	19.071	1844	1	7	4	6.562	4.269	165.228	0.760	1.537	0.651	0.880
3	1728	38.258	16.824	0	89	208.894	2629	1	41	80	74.557	29.510	111.531	0.498	2.527	0.396	0.853
4	29	22.345	7.947	4	34	26.385	3287	1	6	9	9.410	3.924	114.362	0.523	2.398	0.417	0.699
5	38	16.553	8.294	2	31	36.627	3057	17	11	10	7.444	6.499	56.149	0.356	1.145	0.873	0.517
6	276	34.844	14.295	1	67	75.841	2971	22	16	29	26.660	13.182	94.332	0.603	2.022	0.494	0.845
7	70	23.386	10.355	2	46	38.385	357	46	8	15	15.717	5.671	110.929	0.597	2.772	0.361	0.795
8	205	20.385	9.385	0	46	65.012	2781	51	18	19	17.325	15.066	85.211	0.610	1.150	0.870	0.798
9	16	16.000	7.492	5	32	19.314	548	57	4	8	6.249	3.260	101.629	0.539	1.917	0.522	0.696
10	61	26.361	9.913	8	48	36.971	3094	58	7	13	13.223	5.874	94.877	0.561	2.251	0.444	0.777
11	123	25.211	10.516	5	52	60.284	863	64	8	26	25.455	6.152	100.242	0.425	4.138	0.242	0.781
12	377	27.218	11.955	2	62	83.841	120	84	17	31	29.763	16.128	96.074	0.674	1.845	0.542	0.890
13	152	33.441	14.065	4	63	64.184	2348	105	12	24	23.296	8.308	101.391	0.464	2.804	0.357	0.766
14	28	16.679	7.384	2	34	30.627	2724	111	7	10	8.582	4.154	105.129	0.375	2.066	0.484	0.566
15	134	13.731	7.477	1	38	64.426	2971	123	14	22	19.606	8.702	106.196	0.406	2.253	0.444	0.663
16	19	11.053	5.027	2	24	18.142	559	139	5	7	6.113	3.958	85.253	0.725	1.544	0.647	0.731
17	43	20.395	10.633	1	48	36.627	3231	143	8	13	12.185	4.493	103.885	0.403	2.712	0.369	0.619
18	56	18.679	11.172	2	46	34.627	269	170	8	14	13.377	5.330	110.006	0.587	2.510	0.398	0.767
19	83	26.892	12.849	5	64	41.456	2575	175	10	15	12.312	8.584	104.912	0.607	1.434	0.697	0.769
20	22	10.182	6.659	1	23	28.385	2222	192	9	8	9.027	3.103	38.410	0.343	2.909	0.344	0.524
21	44	22.591	9.254	4	40	25.799	1911	204	8	9	8.651	6.476	117.210	0.831	1.336	0.749	0.793
22	21	12.286	6.246	2	25	27.314	3775	214	7	7	5.338	5.009	143.252	0.354	1.066	0.938	0.553
23	49	24.735	9.526	8	48	31.799	3008	217	7	12	12.622	4.943	106.510	0.609	2.553	0.392	0.790
24	173	21.104	10.167	2	51	63.113	2308	223	10	26	24.490	8.994	90.008	0.546	2.723	0.367	0.832
25	1442	32.402	13.889	1	74	179.924	3954	272	40	56	57.441	31.964	67.365	0.560	1.797	0.556	0.866
26	189	46.302	15.330	3	81	61.012	3391	289	14	21	20.355	11.822	99.585	0.638	1.722	0.581	0.820
27	53	21.811	7.798	2	37	34.042	1327	292	10	11	11.479	5.879	61.278	0.575	1.953	0.512	0.697
28	18	17.278	9.298	3	38	15.899	572	314	5	5	5.477	4.185	142.202	0.895	1.309	0.764	0.837
29	23	16.130	7.467	3	33	18.142	3358	321	6	6	6.644	4.408	59.888	0.878	1.507	0.663	0.793
30	64	15.469	7.368	0	35	44.870	2130	392	8	18	16.904	4.821	101.853	0.399	3.506	0.285	0.681
31	128	16.555	8.039	2	33	99.154	1726	412	11	27	22.193	7.343	99.677	0.164	3.022	0.331	0.526
32	35	13.229	7.639	4	32	29.799	1516	425	11	7	8.951	4.979	177.234	0.495	1.798	0.556	0.680
33	150	27.460	11.261	3	53	56.870	3191	426	10	22	20.708	9.223	95.556	0.583	2.245	0.445	0.847
34	459	23.558	10.683	1	60	99.054	2312	442	26	30	32.219	18.139	123.751	0.588	1.776	0.563	0.830
35	342	54.447	19.527	0	103	74.770	2405	463	18	26	26.430	16.475	108.677	0.769	1.604	0.623	0.904
36	41	28.122	11.426	8	52	31.799	59	484	8	11	10.098	5.170	109.914	0.510	1.953	0.512	0.667
37	246	22.581	11.299	1	57	82.083	537	487	14	32	32.550	9.623	104.583	0.459	3.383	0.296	0.794
38	474	19.717	9.639	0	53	110.225	676	511	22	37	34.082	17.708	106.480	0.490	1.925	0.520	0.810
39	147	11.748	6.799	1	35	97.740	410	513	19	18	16.143	11.594	53.068	0.193	1.392	0.718	0.557
40	104	25.587	12.013	3	60	44.385	3619	521	8	18	18.686	7.086	96.709	0.663	2.637	0.379	0.878
41	16	17.750	10.755	4	38	19.314	3237	563	4	8	7.393	2.756	76.771	0.539	2.683	0.373	0.696
42	2575	31.966	23.507	0	115	352.919	869	566	42	115	110.230	29.743	90.918	0.260	3.706	0.270	0.720
43	30	17.300	8.078	2	40	22.142	3699	580	6	7	7.864	4.858	122.929	0.769	1.619	0.618	0.822
44	16	14.312	5.212	5	21	20.728	1882	598	5	8	7.907	2.576	107.600	0.468	3.069	0.326	0.615
45	80	16.887	7.906	1	33	50.527	2092	605	13	14	14.198	7.174	130.409	0.394	1.979	0.505	0.632
46	1274	29.784	14.764	0	79	197.380	1065	623	34	63	60.901	26.635	106.689	0.411	2.286	0.437	0.828
47	42	11.095	7.001	1	25	29.799	2085	623	8	9	8.951	5.975	129.386	0.594	1.498	0.668	0.750
48	126	25.881	10.143	2	50	47.698	155	629	14	15	13.714	11.698	131.987	0.696	1.172	0.853	0.813
49	19	20.632	11.285	3	42	19.556	3394	640	5	7	5.990	4.039	71.344	0.624	1.483	0.674	0.691
50	33	15.364	6.795	2	28	26.971	2242	647	6	10	9.024	4.656	78.149	0.570	1.938	0.516	0.702
51	1793	40.677	19.434	0	99	233.865	3541	652	37	91	84.737	26.941	102.846	0.412	3.145	0.318	0.838
52	54	18.926	9.933	1	43	38.142	1706	654	5	17	15.406	4.463	93.632	0.466	3.452	0.290	0.818
53	71	39.732	15.631	6	78	35.213	2818	694	8	14	13.298	6.798	105.502	0.720	1.956	0.511	0.845
54	76	18.303	9.252	4	39	40.870	1401	701	10	12	11.734	8.247	110.761	0.572	1.423	0.703	0.749
55	227	22.458	10.292	2	51	78.627	3988	714	11	29	28.825	10.027	91.452	0.461	2.875	0.348	0.818
56	79	29.532	11.844	7	53	45.698	3187	719	10	16	15.590	6.452	113.796	0.475	2.416	0.414	0.728
57	56	23.893	9.950	3	47	36.627	1723	743	8	12	10.489	6.798	87.921	0.525	1.543	0.648	0.732
58	38	22.000	9.288	5	43	27.556	783	774	6	11	11.505	4.205	112.498	0.629	2.736	0.366	0.768
59	37	14.000	6.023	2	28	36.042	1813	787	7	14	13.219	3.564	102.839	0.358	3.709	0.270	0.597
60	16	14.812	5.695	4	28	20.142	1748	793	4	8	6.837	2.980	84.754	0.496	2.295	0.436	0.681
61	75	31.067	12.758	2	59	40.284	2641	800	9	15	13.630	7.006	105.149	0.581	1.946	0.514	0.754
62	16	16.500	7.642	6	33	17.314	376	803	4	7	7.155	2.847	104.805	0.671	2.513	0.398	0.727
63	45	25.000	9.991	5	42	27.556	2062	806	6	11	10.216	5.608	100.817	0.745	1.822	0.549	0.841
64	31	17.452	8.164	3	33	26.142	1596	813	5	11	10.912	3.617	103.937	0.570	3.017	0.332	0.738
65	452	29.195	11.984	2	63	105.640	3673	833	20	40	36.597	15.725	102.892	0.509	2.327	0.430	0.823
66	28	11.714	4.602	0	22	41.456	2866	846	8	12	7.990	4.462	93.161	0.205	1.791	0.558	0.397
67	236	45.678	17.124	7	99	68.426	2002	854	15	26	25.009	12.015	109.540	0.633	2.081	0.480	0.871
68	115	24.922	10.948	2	53	56.284	3556	879	9	24	22.414	6.533	105.267	0.456	3.431	0.291	0.799
69	50	19.380	9.695	1	39	33.799	1244	883	7	14	12.552	5.072	96.596	0.550	2.475	0.404	0.719
70	108	24.556	11.288	1	54	49.113	3781	898	11	18	16.689	8.239	107.550	0.563	2.026	0.494	0.791
71	72	14.431	7.162	2	35	42.284	1319	914	10	14	13.547	6.767	106.143	0.506	2.002	0.500	0.696
72	104	14.154	7.980	1	42	74.426	3514	917	14	20	14.088	9.399	60.154	0.236	1.499	0.667	0.519
73	63	23.429	10.384	5	49	33.556	1077	920	8	12	13.010	6.166	105.307	0.703	2.110	0.474	0.834
74	35	23.257	12.164	2	47	27.556	2265	922	7	8	7.914	5.631	94.111	0.579	1.406	0.711	0.707
75	383	32.621	14.133	1	72	85.255	673	925	18	30	29.176	16.714	83.995	0.662	1.746	0.573	0.863
76	61	13.295	7.658	2	35	39.456	2908	946	13	11	10.338	7.513	28.407	0.492	1.376	0.727	0.635
77	423	52.485	24.926	4	122	109.740	2342	951	18	41	44.190	12.188	101.924	0.441	3.626	0.276	0.833
78	238	15.718	8.492	1	38	149.338	885	975	39	36	44.729	6.775	141.258	0.134	6.602	0.151	0.544
79	50	19.300	10.326	4	46	34.385	2766	1019	6	14	13.372	4.761	96.929	0.531	2.809	0.356	0.758
80	88	25.386	12.553	2	66	49.456	761	1023	10	18	15.308	7.319	98.227	0.452	2.091	0.478	0.710
81	80	28.137	11.757	5	59	38.142	3243	1030	7	15	15.824	6.437	96.284	0.691	2.458	0.407	0.879
82	308	13.682	7.336	0	43	106.711	1349	1046	20	30	25.046	15.657	88.353	0.340	1.600	0.625	0.708
83	24	18.167	10.453	2	40	19.899	1103	1071	4	8	7.583	4.030	99.744	0.762	1.882	0.531	0.857
84	105	32.314	15.292	2	66	55.698	1470	1106	9	21	17.901	7.468	99.717	0.425	2.397	0.417	0.764
85	259	45.668	17.051	1	87	66.184	3932	1108	16	24	23.267	14.173	111.327	0.743	1.642	0.609	0.890
86	740	30.830	17.237	1	86	120.468	2346	1110	30	41	41.969	22.450	118.432	0.641	1.869	0.535	0.875
87	209	36.392	13.470	2	68	67.255	2809	1114	15	21	20.280	13.121	104.002	0.581	1.546	0.647	0.816
88	37	22.486	8.783	3	40	24.142	191	1124	6	9	8.411	5.601	88.580	0.798	1.502	0.666	0.851
89	36	22.778	12.403	4	49	29.799	2990	1125	8	11	9.926	4.618	119.178	0.509	2.150	0.465	0.667
90	130	23.369	10.407	5	47	53.598	3336	1125	11	21	19.834	8.345	96.013	0.569	2.377	0.421	0.769
91	160	35.237	13.771	2	64	58.770	1668	1126	12	23	21.500	9.475	92.968	0.582	2.269	0.441	0.802
92	59	18.864	11.334	2	41	41.456	1368	1131	6	16	14.984	5.014	95.419	0.431	2.989	0.335	0.724
93	19	17.474	8.663	7	33	18.728	131	1143	4	7	6.573	3.681	82.846	0.681	1.786	0.560	0.760
94	56	27.911	9.975	6	52	34.385	2043	1144	7	13	12.328	5.784	104.620	0.595	2.132	0.469	0.778
95	450	18.342	8.925	1	53	101.397	3209	1171	25	28	25.962	22.069	106.677	0.550	1.176	0.850	0.827
96	56	15.786	7.407	3	31	30.385	3571	1178	10	9	10.533	6.769	138.287	0.762	1.556	0.643	0.806
97	44	22.841	11.483	3	47	29.799	890	1182	6	11	11.013	5.087	96.785	0.623	2.165	0.462	0.772
98	24	15.083	7.211	1	34	22.142	3605	1188	6	8	7.141	4.279	106.404	0.615	1.669	0.599	0.706
99	18	18.889	9.190	3	37	15.899	3357	1192	5	5	5.246	4.369	129.016	0.895	1.201	0.833	0.857
100	535	27.310	12.032	1	63	103.882	3672	1206	27	33	31.516	21.614	121.771	0.623	1.458	0.686	0.846
101	446	31.168	12.291	2	70	101.983	2993	1242	20	33	31.099	18.260	88.296	0.539	1.703	0.587	0.829
102	1642	18.538	9.717	0	63	228.936	3761	1253	51	53	49.148	42.538	139.626	0.394	1.155	0.866	0.822
103	70	14.771	6.783	2	32	44.284	1204	1274	10	14	12.796	6.965	108.404	0.449	1.837	0.544	0.660
104	2479	28.277	13.250	0	75	248.492	124	1276	62	66	58.817	53.665	45.909	0.504	1.096	0.912	0.857
105	69	18.464	10.375	1	50	40.627	1954	1285	9	14	11.999	7.322	70.184	0.525	1.639	0.610	0.715
106	21	12.048	5.757	5	22	20.142	1695	1307	5	8	8.224	3.251	113.299	0.650	2.529	0.395	0.750
107	33	22.182	12.466	4	43	25.799	2490	1313	6	10	9.333	4.502	113.783	0.623	2.073	0.482	0.742
108	513	36.762	14.631	3	77	97.154	3626	1325	22	32	32.666	19.995	104.633	0.683	1.634	0.612	0.891
109	35	16.971	9.760	3	41	29.213	2785	1398	8	9	8.467	5.263	99.961	0.515	1.609	0.622	0.654
110	67	17.597	10.268	3	46	45.113	3573	1409	10	14	10.805	7.895	91.341	0.414	1.369	0.731	0.629
111	128	22.953	9.183	2	44	55.355	3572	1427	11	19	18.642	8.742	102.122	0.525	2.132	0.469	0.771
112	179	16.905	8.854	1	42	68.184	3882	1429	15	20	17.406	13.094	67.714	0.484	1.329	0.752	0.772
113	321	22.277	11.813	0	63	84.569	3151	1433	23	20	23.888	17.109	155.548	0.564	1.396	0.716	0.815
114	17	9.059	5.141	3	18	17.899	1435	1448	4	7	6.301	3.435	100.708	0.667	1.834	0.545	0.791
115	16	11.312	5.522	2	21	16.485	1577	1453	4	6	6.962	2.926	105.482	0.740	2.379	0.420	0.800
116	78	23.205	10.221	2	54	40.042	2781	1456	8	15	14.607	6.799	99.549	0.611	2.148	0.465	0.808
117	609	25.933	11.447	1	62	109.882	1995	1462	30	31	28.509	27.199	135.617	0.634	1.048	0.954	0.872
118	90	29.467	13.784	4	63	41.456	1522	1466	10	15	13.993	8.189	90.315	0.658	1.709	0.585	0.786
119	50	20.780	11.411	2	44	41.213	2043	1476	6	17	14.798	4.302	93.792	0.370	3.440	0.291	0.658
120	53	27.453	10.440	4	53	37.213	1512	1483	8	12	10.157	6.644	87.222	0.481	1.529	0.654	0.693
121	268	14.332	7.905	1	37	88.326	3522	1492	27	20	23.569	14.478	28.831	0.432	1.628	0.614	0.710
122	53	19.717	9.031	3	39	38.042	1869	1500	7	15	13.852	4.872	94.149	0.460	2.843	0.352	0.675
123	62	18.258	10.015	2	54	35.456	3332	1512	10	13	11.530	6.846	117.973	0.620	1.684	0.594	0.729
124	27	14.778	7.277	2	29	24.142	3316	1523	6	8	8.494	4.047	69.537	0.582	2.099	0.476	0.701
125	51	26.804	11.883	5	49	31.556	1301	1525	6	12	12.239	5.305	96.533	0.644	2.307	0.433	0.823
126	1691	36.998	18.288	1	108	230.208	3171	1534	42	77	62.166	34.634	91.459	0.401	1.795	0.557	0.772
127	51	16.627	7.707	3	41	35.799	1695	1541	5	14	14.432	4.499	87.548	0.500	3.207	0.312	0.791
128	89	31.034	11.204	5	52	38.870	3550	1547	11	13	12.102	9.363	106.992	0.740	1.293	0.774	0.813
129	44	23.886	11.056	1	49	26.142	252	1551	6	10	9.314	6.015	91.268	0.809	1.549	0.646	0.854
130	30	13.233	6.084	4	28	24.142	450	1555	5	9	8.217	4.649	95.071	0.647	1.768	0.566	0.800
131	550	42.129	17.997	2	108	110.468	3554	1571	21	42	39.672	17.652	98.008	0.566	2.247	0.445	0.863
132	178	25.596	10.287	4	52	65.598	2759	1621	17	20	17.742	12.774	130.068	0.520	1.389	0.720	0.754
133	50	22.580	8.529	8	39	32.385	2586	1633	6	13	13.085	4.865	98.765	0.599	2.689	0.372	0.800
134	158	24.854	11.171	2	57	55.355	1996	1644	14	19	16.934	11.880	87.889	0.648	1.425	0.702	0.806
135	74	22.257	9.438	3	41	40.042	2512	1649	8	15	13.706	6.875	90.135	0.580	1.994	0.502	0.767
136	468	20.470	9.960	0	58	102.569	341	1652	20	38	32.120	18.551	90.949	0.559	1.731	0.578	0.835
137	186	19.570	9.538	1	46	65.841	3954	1662	17	20	21.124	11.211	116.631	0.539	1.884	0.531	0.785
138	6862	28.541	12.232	1	73	466.073	920	1668	122	113	121.305	72.025	146.052	0.397	1.684	0.594	0.732
139	42	10.976	7.514	2	39	37.456	2429	1670	9	13	10.174	5.256	116.726	0.376	1.936	0.517	0.571
140	24	16.333	8.144	4	40	21.314	2577	1688	4	9	8.310	3.677	88.248	0.664	2.260	0.443	0.814
141	1749	18.311	9.738	0	57	244.149	2991	1699	59	56	64.712	34.413	41.773	0.369	1.880	0.532	0.817
142	29	18.241	9.690	3	39	27.556	54	1709	5	10	9.889	3.734	92.045	0.480	2.648	0.378	0.690
143	187	30.513	11.792	5	57	55.456	400	1715	13	20	20.193	11.791	99.148	0.764	1.713	0.584	0.886
144	467	35.424	14.339	3	71	97.740	2599	1720	18	38	37.203	15.983	94.534	0.614	2.328	0.430	0.884
145	43	20.558	8.822	5	35	38.870	3371	1721	7	13	11.576	4.729	104.689	0.358	2.448	0.409	0.623
146	92	23.250	10.002	4	52	40.042	2746	1734	9	15	13.760	8.513	74.996	0.721	1.616	0.619	0.840
147	181	17.923	9.536	2	44	86.083	81	1737	14	24	21.743	10.599	108.058	0.307	2.051	0.487	0.714
148	43	20.000	8.843	5	40	24.728	2477	1739	7	8	8.869	6.173	113.857	0.884	1.437	0.696	0.896
149	1342	24.900	11.554	0	63	155.095	934	1743	50	44	52.025	32.844	145.589	0.701	1.584	0.631	0.926
150	3961	18.510	9.823	0	56	327.505	1770	1753	84	76	83.368	60.494	146.205	0.464	1.378	0.726	0.877
151	780	29.200	13.635	2	72	141.539	1867	1770	25	48	48.282	20.569	102.190	0.489	2.347	0.426	0.845
152	88	19.375	8.637	1	41	48.870	1585	1797	8	20	17.893	6.262	87.743	0.463	2.858	0.350	0.743
153	37	19.297	8.679	1	39	30.971	1162	1799	7	11	10.454	4.506	107.734	0.485	2.320	0.431	0.655
154	54	24.648	9.537	4	50	36.627	3275	1802	8	13	11.341	6.062	101.852	0.506	1.871	0.535	0.684
155	51	23.569	11.509	5	50	30.971	738	1808	7	11	10.949	5.931	83.318	0.668	1.846	0.542	0.797
156	501	50.383	24.450	4	121	113.640	3746	1821	16	45	44.343	14.385	87.376	0.488	3.083	0.324	0.838
157	19	14.316	10.034	1	35	18.142	3231	1847	6	6	5.296	4.568	63.911	0.725	1.159	0.862	0.731
158	860	36.636	17.490	1	97	136.853	853	1856	27	49	48.608	22.527	76.334	0.577	2.158	0.463	0.879
159	135	20.785	8.983	5	45	54.527	2189	1872	12	18	16.665	10.314	105.917	0.571	1.616	0.619	0.769
160	143	12.888	6.874	0	39	54.426	2502	1873	14	17	15.098	12.059	113.030	0.607	1.252	0.799	0.773
161	40	21.075	10.864	2	45	29.556	1917	1893	6	10	10.290	4.950	109.996	0.575	2.079	0.481	0.755
162	53	12.019	6.910	0	25	33.799	675	1957	9	11	9.436	7.152	96.903	0.583	1.319	0.758	0.707
163	262	15.389	7.969	0	44	81.598	3349	1961	22	22	19.453	17.148	68.282	0.494	1.134	0.882	0.765
164	124	25.589	12.103	2	53	55.113	2305	1988	10	21	20.795	7.592	98.565	0.513	2.739	0.365	0.780
165	110	25.427	10.210	4	48	42.870	3737	1992	11	15	14.220	9.849	92.642	0.752	1.444	0.693	0.830
