 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	160	23.806	11.453	2	72	54.870	686	1	20	12	19.407	10.497	162.253	0.668	1.849	0.541	0.877
2	538	15.732	7.983	1	49	120.225	950	1	38	26	39.325	17.419	150.212	0.468	2.258	0.443	0.812
3	6117	37.919	20.117	0	116	428.877	3653	1	128	94	98.758	78.863	170.596	0.418	1.252	0.799	0.819
4	6181	35.936	19.906	0	104	454.600	1010	4	126	117	136.533	57.641	135.530	0.376	2.369	0.422	0.792
5	842	48.973	20.161	2	99	142.610	1715	7	26	52	48.455	22.125	88.926	0.520	2.190	0.457	0.835
6	18	19.611	8.438	6	35	19.556	247	9	6	7	7.725	2.967	132.912	0.591	2.604	0.384	0.766
7	3651	38.938	18.675	1	99	317.848	36	15	87	82	89.834	51.746	40.723	0.454	1.736	0.576	0.807
8	91	37.714	12.023	7	60	42.870	1925	22	10	15	12.844	9.021	96.253	0.622	1.424	0.702	0.788
9	456	59.932	28.119	0	148	88.083	3481	22	24	30	30.000	19.353	124.436	0.739	1.550	0.645	0.884
10	20	15.950	7.466	3	31	21.556	25	23	7	7	7.884	3.230	132.677	0.541	2.441	0.410	0.678
11	2557	41.318	18.972	2	108	239.279	1517	25	68	71	61.099	53.285	31.173	0.561	1.147	0.872	0.845
12	17	16.588	8.832	5	38	18.142	2467	33	5	7	6.462	3.350	122.039	0.649	1.929	0.518	0.708
13	207	25.488	12.498	2	70	80.326	2218	40	21	25	26.225	10.050	128.243	0.403	2.609	0.383	0.704
14	368	19.625	9.623	0	51	84.083	3901	60	21	26	25.426	18.428	77.168	0.654	1.380	0.725	0.837
15	250	45.348	22.011	1	107	79.154	1385	72	21	28	30.562	10.415	120.604	0.501	2.934	0.341	0.797
16	140	37.029	12.267	4	59	46.284	1890	76	14	15	14.919	11.948	130.913	0.821	1.249	0.801	0.859
17	123	15.073	7.325	2	33	67.841	1971	79	16	17	13.537	11.569	73.641	0.336	1.170	0.855	0.610
18	91	16.549	7.677	1	35	52.184	2121	88	14	15	11.804	9.816	120.813	0.420	1.203	0.832	0.630
19	1458	15.519	8.364	0	48	292.291	1920	93	47	84	76.666	24.214	107.680	0.214	3.166	0.316	0.587
20	135	46.807	15.619	4	83	47.941	3309	97	12	18	17.888	9.609	114.162	0.738	1.862	0.537	0.863
21	741	23.196	10.608	0	59	137.782	103	111	29	42	38.157	24.726	96.202	0.491	1.543	0.648	0.806
22	26	13.000	7.782	4	31	20.728	537	122	8	5	6.801	4.867	161.643	0.760	1.397	0.716	0.800
23	1160	34.860	15.267	3	79	159.095	3639	129	39	50	49.768	29.677	114.505	0.576	1.677	0.596	0.872
24	3209	27.581	15.687	0	91	294.149	2046	137	68	92	85.525	47.774	102.845	0.466	1.790	0.559	0.817
25	194	56.088	14.803	12	89	53.941	3509	139	17	17	19.175	12.882	132.637	0.838	1.489	0.672	0.886
26	979	18.615	8.660	0	48	158.167	1576	140	36	45	39.059	31.913	93.264	0.492	1.224	0.817	0.848
