 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	7126	44.900	29.621	0	155	486.416	1533	1	142	83	118.592	76.507	170.967	0.378	1.550	0.645	0.782
2	123	45.260	18.802	10	91	72.042	3058	1	32	7	29.121	5.378	5.149	0.298	5.415	0.185	0.801
3	2309	41.703	20.820	0	123	211.723	2310	8	61	57	55.669	52.811	163.170	0.647	1.054	0.949	0.902
4	71	22.197	8.605	7	45	34.385	1930	25	12	9	13.428	6.732	29.853	0.755	1.995	0.501	0.861
5	46	16.543	7.817	2	36	28.385	2604	25	10	8	8.097	7.234	4.358	0.717	1.119	0.893	0.773
6	69	25.304	11.924	3	54	34.728	2785	26	13	7	12.744	6.893	15.750	0.719	1.849	0.541	0.890
7	18	39.278	12.466	12	60	16.728	3173	30	7	4	6.743	3.399	12.728	0.808	1.984	0.504	0.818
8	19	28.158	7.932	16	51	17.899	649	31	7	4	7.373	3.281	17.639	0.745	2.247	0.445	0.826
9	190	52.563	23.042	8	108	61.941	690	37	23	12	22.729	10.644	3.761	0.622	2.135	0.468	0.843
10	29	47.103	13.811	15	73	22.142	951	54	9	5	8.986	4.109	10.142	0.743	2.187	0.457	0.817
11	59	71.356	22.604	17	122	30.142	3862	64	11	7	11.383	6.599	9.892	0.816	1.725	0.580	0.881
12	44	30.841	11.324	7	55	27.556	3030	82	9	8	8.898	6.296	12.948	0.728	1.413	0.708	0.786
13	237	49.232	21.398	4	107	63.598	168	91	24	15	22.792	13.239	178.563	0.736	1.722	0.581	0.868
14	24	16.125	9.100	5	32	24.142	3080	91	6	9	7.339	4.164	110.071	0.517	1.763	0.567	0.676
15	59	21.932	9.244	5	39	46.870	3081	110	17	8	12.585	5.969	167.271	0.337	2.108	0.474	0.593
16	23	33.696	9.451	11	53	21.314	2171	114	7	5	6.226	4.704	172.859	0.636	1.324	0.755	0.730
17	178	57.455	21.561	13	114	61.355	3062	116	20	16	17.714	12.794	176.684	0.594	1.385	0.722	0.784
18	43	18.953	11.034	2	42	36.627	822	119	14	9	14.091	3.885	32.367	0.403	3.627	0.276	0.589
19	2235	43.390	22.829	1	129	280.291	1820	121	94	50	81.028	35.120	13.115	0.357	2.307	0.433	0.753
20	399	49.569	25.396	0	124	87.255	1158	128	31	21	28.222	18.001	0.952	0.659	1.568	0.638	0.853
21	19	36.263	16.606	11	78	18.728	1317	132	8	4	7.407	3.266	24.036	0.681	2.268	0.441	0.792
22	82	33.976	11.085	4	56	35.456	2864	138	13	10	11.815	8.836	171.809	0.820	1.337	0.748	0.841
23	31	28.806	10.021	2	47	20.485	3204	139	7	5	7.098	5.561	0.000	0.928	1.276	0.784	0.939
24	46	35.804	13.854	7	72	27.556	3071	140	11	6	10.135	5.779	5.531	0.761	1.754	0.570	0.852
25	276	19.649	9.078	2	47	90.569	1073	152	26	20	23.011	15.271	162.636	0.423	1.507	0.664	0.740
26	486	45.498	17.146	4	112	92.083	3406	155	33	20	31.849	19.429	177.860	0.720	1.639	0.610	0.903
27	27	38.259	13.858	8	63	22.385	3825	159	7	7	6.422	5.353	151.062	0.677	1.200	0.834	0.740
28	11023	29.952	20.617	0	105	487.328	2733	160	142	127	126.428	111.011	15.801	0.583	1.139	0.878	0.911
29	107	24.486	10.565	3	49	44.527	282	164	18	10	15.425	8.832	8.840	0.678	1.747	0.573	0.814
30	60	14.350	7.118	4	34	51.698	2868	172	10	13	10.461	7.303	87.669	0.282	1.432	0.698	0.612
31	981	48.398	25.927	2	129	164.510	2977	179	66	27	58.805	21.240	172.397	0.456	2.769	0.361	0.822
32	28	25.286	12.812	10	52	20.142	749	190	7	6	6.896	5.170	163.401	0.867	1.334	0.750	0.812
33	20	29.150	13.678	8	59	20.485	661	195	9	3	8.571	2.971	1.214	0.599	2.885	0.347	0.851
34	97	38.649	14.482	5	71	45.456	1905	197	14	13	14.383	8.587	49.935	0.590	1.675	0.597	0.755
35	53	14.132	6.642	0	28	45.698	1751	199	14	9	11.122	6.068	21.538	0.319	1.833	0.546	0.576
