 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	141	42.539	25.591	1	91	60.527	3713	1	22	11	21.933	8.185	12.736	0.484	2.680	0.373	0.766
2	59	29.610	14.076	5	64	31.799	910	4	7	12	11.233	6.688	85.198	0.733	1.680	0.595	0.825
3	111	22.099	10.415	3	45	45.698	3004	54	12	15	15.521	9.106	64.436	0.668	1.704	0.587	0.810
4	6069	27.320	14.204	0	86	413.245	571	55	121	89	117.067	66.007	19.705	0.447	1.774	0.564	0.853
5	38	25.211	10.728	5	43	27.799	1742	62	8	9	8.854	5.465	55.864	0.618	1.620	0.617	0.738
6	24	25.333	10.696	9	49	20.971	3804	69	6	7	6.660	4.588	57.673	0.686	1.452	0.689	0.716
7	101	22.465	10.722	1	51	40.042	83	81	13	12	12.431	10.345	38.636	0.792	1.202	0.832	0.828
8	17	14.882	6.772	5	27	15.899	468	84	4	6	6.235	3.472	78.149	0.845	1.796	0.557	0.829
9	21	18.571	10.543	2	38	19.556	3409	84	7	6	6.563	4.074	43.702	0.690	1.611	0.621	0.724
10	79	28.354	12.507	4	61	39.456	3956	86	11	11	10.670	9.427	42.156	0.638	1.132	0.883	0.782
11	22	22.227	10.076	6	38	18.142	2659	88	6	6	6.619	4.232	46.425	0.840	1.564	0.639	0.772
12	829	45.861	21.436	2	103	139.782	2431	92	42	36	45.037	23.437	33.139	0.533	1.922	0.520	0.818
13	265	25.008	10.439	2	53	77.255	3036	105	17	26	24.655	13.685	75.469	0.558	1.802	0.555	0.802
14	93	28.204	11.746	4	53	39.213	112	112	12	12	13.495	8.775	39.920	0.760	1.538	0.650	0.845
15	454	25.286	11.783	1	67	93.983	153	121	25	28	27.018	21.395	114.649	0.646	1.263	0.792	0.846
16	3479	24.833	12.661	0	81	341.647	2040	134	96	62	89.729	49.366	8.351	0.375	1.818	0.550	0.797
17	77	54.792	16.631	10	90	35.213	3863	159	12	10	12.255	8.000	27.925	0.780	1.532	0.653	0.851
18	1751	43.412	17.710	0	98	176.652	3684	172	48	53	53.493	41.677	126.537	0.705	1.284	0.779	0.908
19	202	15.693	8.271	1	43	74.426	2763	194	21	16	19.333	13.304	22.042	0.458	1.453	0.688	0.767
20	28	16.036	6.893	3	32	23.556	2113	197	6	9	8.904	4.004	58.403	0.634	2.224	0.450	0.757
21	1031	23.316	10.383	0	58	148.853	2865	205	43	36	41.761	31.434	27.279	0.585	1.329	0.753	0.867
22	49	48.531	13.191	15	74	26.971	43	211	9	8	9.338	6.681	39.540	0.846	1.398	0.715	0.831
23	36	32.333	11.392	5	54	25.799	3782	213	8	9	9.230	4.966	47.057	0.680	1.859	0.538	0.750
24	21	31.333	15.920	2	62	17.556	3518	216	7	5	6.082	4.396	25.603	0.856	1.384	0.723	0.778
25	158	16.823	8.712	1	41	54.770	3163	218	15	17	15.863	12.682	61.175	0.662	1.251	0.799	0.823
26	62	45.306	13.603	18	75	28.971	789	221	9	9	9.686	8.150	36.696	0.928	1.188	0.841	0.905
27	32	17.625	8.226	2	34	28.971	2606	223	9	9	8.235	4.947	145.676	0.479	1.665	0.601	0.610
28	24	21.917	10.291	3	42	17.899	3695	223	6	5	6.565	4.654	15.009	0.941	1.411	0.709	0.889
29	254	22.740	11.230	1	56	80.326	1713	224	16	26	23.300	13.880	89.051	0.495	1.679	0.596	0.763
30	71	24.183	9.152	5	43	34.627	1982	231	11	10	10.460	8.642	31.874	0.744	1.210	0.826	0.811
31	26	26.769	7.825	14	39	20.142	1483	235	6	7	7.307	4.531	112.703	0.805	1.613	0.620	0.812
32	130	13.762	6.724	1	31	51.355	1110	241	15	15	14.247	11.618	34.073	0.619	1.226	0.815	0.785
33	31	24.129	11.471	5	49	24.385	913	243	9	7	7.755	5.090	27.498	0.655	1.524	0.656	0.705
34	18	22.222	12.408	4	50	20.728	3081	249	7	5	6.148	3.728	177.926	0.526	1.649	0.606	0.655
35	123	16.146	8.423	1	41	51.113	1656	254	14	13	13.914	11.255	46.082	0.592	1.236	0.809	0.791
36	113	52.327	11.475	23	74	43.456	1631	264	13	13	13.782	10.439	23.506	0.752	1.320	0.757	0.843
37	18	23.278	11.836	4	43	17.899	2731	275	5	6	5.120	4.476	177.787	0.706	1.144	0.874	0.750
38	37	17.324	7.612	4	36	24.385	2795	282	7	9	8.630	5.459	72.290	0.782	1.581	0.633	0.804
39	587	42.574	21.642	0	96	104.225	957	318	30	32	33.332	22.423	130.344	0.679	1.487	0.673	0.871
40	190	66.989	17.753	7	109	52.284	92	325	16	16	17.286	13.995	128.794	0.873	1.235	0.810	0.907
41	47	38.681	13.265	4	73	27.213	3262	329	9	8	8.776	6.819	35.099	0.798	1.287	0.777	0.810
42	47	13.766	6.735	2	34	34.042	168	337	10	9	9.862	6.068	25.043	0.510	1.625	0.615	0.676
43	198	16.268	8.236	1	38	78.669	576	337	18	21	20.683	12.189	48.248	0.402	1.697	0.589	0.728
44	449	40.541	15.969	2	91	91.012	1438	339	19	30	31.682	18.044	89.024	0.681	1.756	0.570	0.886
45	22	18.364	9.664	2	36	20.728	3212	340	6	7	5.868	4.773	137.551	0.643	1.229	0.813	0.733
46	94	44.564	14.770	13	81	40.284	1351	371	13	13	14.786	8.094	42.036	0.728	1.827	0.547	0.825
47	20	26.250	9.602	6	43	18.485	3800	376	6	5	5.315	4.791	161.565	0.736	1.109	0.901	0.800
48	21	24.048	14.787	2	47	16.728	2993	390	6	5	7.108	3.762	38.182	0.943	1.889	0.529	0.894
49	17	13.176	6.948	4	25	19.314	953	402	6	6	5.239	4.132	121.073	0.573	1.268	0.789	0.642
50	33	37.636	11.808	17	60	24.142	3687	402	7	8	7.707	5.451	59.677	0.711	1.414	0.707	0.767
51	161	34.205	14.995	1	72	58.284	3146	405	18	16	14.563	14.076	141.532	0.596	1.035	0.967	0.774
52	270	17.563	8.356	1	43	79.598	690	422	22	18	20.395	16.856	170.892	0.536	1.210	0.826	0.823
53	21	14.810	5.733	2	24	16.728	1740	427	6	5	5.746	4.654	152.400	0.943	1.235	0.810	0.824
54	16	16.250	8.668	5	32	20.142	599	431	8	5	8.317	2.449	26.801	0.496	3.395	0.295	0.696
55	1726	47.574	24.215	0	113	183.338	1601	433	60	43	57.556	38.182	8.707	0.645	1.507	0.663	0.890
56	27	20.259	7.527	6	34	18.728	3482	450	5	7	6.494	5.294	91.737	0.967	1.227	0.815	0.871
57	170	18.706	9.505	1	50	57.113	3598	451	15	19	17.084	12.669	53.592	0.655	1.348	0.742	0.808
58	298	19.926	9.484	1	51	83.497	385	483	28	17	26.744	14.187	176.647	0.537	1.885	0.530	0.761
59	605	41.426	21.106	0	112	110.569	2462	486	29	34	36.074	21.353	124.669	0.622	1.689	0.592	0.828
60	56	42.286	13.679	10	63	28.627	1445	495	9	10	10.346	6.892	56.472	0.859	1.501	0.666	0.842
61	152	42.270	12.351	7	65	47.456	1391	496	14	15	15.169	12.758	98.591	0.848	1.189	0.841	0.876
62	517	63.267	24.872	4	116	92.225	2908	504	25	32	30.821	21.358	68.849	0.764	1.443	0.693	0.897
63	17	14.000	7.697	2	30	18.728	3036	506	7	5	6.219	3.481	165.411	0.609	1.787	0.560	0.680
64	3549	47.230	26.349	0	147	317.948	2562	508	75	91	89.890	50.269	56.323	0.441	1.788	0.559	0.784
65	26	13.769	5.673	5	24	26.385	933	514	9	7	7.093	4.667	164.580	0.469	1.520	0.658	0.634
66	3091	39.181	21.071	0	115	285.321	2654	525	71	75	75.679	52.003	35.181	0.477	1.455	0.687	0.793
67	24	24.917	9.882	5	46	18.971	2486	526	6	7	7.098	4.305	52.443	0.838	1.649	0.607	0.787
68	3717	40.753	21.178	0	116	305.505	77	550	85	84	83.647	56.579	123.147	0.500	1.478	0.676	0.811
69	79	24.633	12.058	1	52	42.870	1056	557	7	16	15.096	6.663	92.001	0.540	2.266	0.441	0.806
70	225	34.236	13.537	6	80	60.770	3524	563	16	19	19.787	14.478	67.739	0.766	1.367	0.732	0.881
71	67	37.388	12.440	5	69	30.627	3434	581	11	9	10.254	8.319	13.957	0.898	1.233	0.811	0.854
72	700	19.806	9.843	1	51	131.782	3175	585	36	30	31.758	28.065	20.112	0.507	1.132	0.884	0.800
73	23	19.261	7.442	2	32	26.971	357	592	5	10	8.017	3.653	105.160	0.397	2.195	0.456	0.597
74	18	9.556	4.488	2	16	16.485	3211	606	4	6	5.535	4.141	99.188	0.832	1.337	0.748	0.857
75	758	33.181	15.616	2	74	116.569	272	609	33	32	35.579	27.126	42.880	0.701	1.312	0.762	0.883
76	41	31.195	13.487	3	61	24.385	3255	612	7	9	8.386	6.225	75.810	0.866	1.347	0.742	0.820
