 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	71	36.704	11.749	8	60	39.213	3300	8	9	13	11.346	7.968	98.970	0.580	1.424	0.702	0.743
2	24562	30.958	18.201	0	112	1051.283	2917	15	247	196	236.390	132.295	21.615	0.279	1.787	0.560	0.773
3	22	11.545	5.570	2	21	22.385	3869	48	9	5	8.354	3.353	11.385	0.552	2.492	0.401	0.638
4	1683	39.212	22.067	2	108	208.794	2789	54	52	60	66.393	32.275	136.418	0.485	2.057	0.486	0.815
5	19	18.053	9.360	0	32	18.728	2031	59	6	6	6.690	3.616	135.416	0.681	1.850	0.541	0.731
6	16	17.812	11.743	4	37	16.728	231	62	6	5	4.931	4.131	9.787	0.719	1.194	0.838	0.711
7	29	12.862	5.860	4	27	37.456	3713	70	12	7	9.206	4.011	157.284	0.260	2.295	0.436	0.483
8	44	18.841	9.840	3	41	34.627	1597	72	10	11	10.883	5.148	62.170	0.461	2.114	0.473	0.629
9	56	33.911	12.232	4	63	29.799	1297	73	7	12	10.875	6.557	91.600	0.792	1.659	0.603	0.848
10	38	18.500	7.776	4	36	24.728	3417	75	6	9	9.235	5.239	93.238	0.781	1.763	0.567	0.844
11	147	21.048	9.347	0	49	58.184	244	81	15	16	14.359	13.035	142.300	0.546	1.102	0.908	0.764
12	19	11.421	5.891	0	21	15.899	399	86	4	6	6.057	3.994	106.686	0.944	1.517	0.659	0.884
13	20	24.450	10.308	6	45	20.728	3418	101	6	7	6.748	3.774	134.894	0.585	1.788	0.559	0.656
14	117	22.060	10.662	3	48	57.355	2821	118	14	17	16.217	9.186	63.777	0.447	1.765	0.566	0.720
15	78	21.436	9.298	3	44	46.284	2495	130	9	18	15.630	6.354	99.907	0.458	2.460	0.407	0.687
16	141	42.567	15.329	8	90	48.870	3403	147	13	16	15.716	11.423	76.586	0.742	1.376	0.727	0.844
17	169	14.414	7.448	1	39	59.012	38	151	19	17	15.190	14.165	138.932	0.610	1.072	0.933	0.793
18	102	30.529	11.558	1	57	44.870	658	162	11	15	15.463	8.399	63.773	0.637	1.841	0.543	0.794
19	56	28.018	12.734	3	55	31.799	684	163	9	10	9.736	7.323	139.488	0.696	1.329	0.752	0.806
20	449	33.098	13.084	2	69	95.154	4	169	23	35	35.178	16.251	114.046	0.623	2.165	0.462	0.862
21	226	49.314	14.857	9	88	63.355	2682	183	17	22	19.751	14.569	114.131	0.708	1.356	0.738	0.840
22	4625	28.324	14.475	0	86	354.718	264	187	93	80	90.245	65.253	177.638	0.462	1.383	0.723	0.827
23	111	25.595	11.836	3	53	41.456	2818	194	11	14	13.715	10.305	94.410	0.812	1.331	0.751	0.867
