 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	88	21.057	10.039	1	48	54.627	157	1	19	7	17.860	6.274	0.696	0.371	2.847	0.351	0.743
2	20	42.150	9.970	25	56	25.899	606	1	12	3	9.636	2.643	5.121	0.375	3.646	0.274	0.714
3	1272	46.987	25.579	1	144	221.581	1133	1	68	32	50.051	32.358	178.364	0.326	1.547	0.647	0.732
4	1740	43.543	25.204	1	115	198.853	1443	1	73	39	62.510	35.441	173.839	0.553	1.764	0.567	0.878
5	192	24.911	12.737	3	75	65.698	1685	1	22	15	21.710	11.260	32.537	0.559	1.928	0.519	0.802
6	84	52.857	20.843	5	90	42.627	1876	1	18	7	17.456	6.127	4.320	0.581	2.849	0.351	0.836
7	75	16.733	8.103	2	41	41.213	3440	1	17	7	15.771	6.055	174.897	0.555	2.605	0.384	0.815
8	818	56.806	24.011	4	149	220.125	3910	1	89	16	79.683	13.071	179.079	0.212	6.096	0.164	0.712
9	46	37.109	12.426	10	56	31.556	3906	9	11	7	10.907	5.370	171.911	0.580	2.031	0.492	0.754
10	53	50.340	17.517	6	83	32.385	456	12	12	7	12.441	5.424	164.238	0.635	2.294	0.436	0.791
11	36	33.111	14.845	5	70	33.799	1592	18	14	6	12.440	3.685	14.115	0.396	3.376	0.296	0.600
12	24	21.625	9.877	5	37	21.314	956	19	9	4	8.642	3.536	4.171	0.664	2.444	0.409	0.800
13	162	48.389	20.863	1	102	57.113	562	24	23	11	21.482	9.602	5.291	0.624	2.237	0.447	0.850
14	142	36.859	31.154	2	127	70.184	2080	24	26	11	24.525	7.372	174.811	0.362	3.327	0.301	0.664
15	62	36.242	12.632	8	66	33.456	1917	26	13	8	10.821	7.295	170.418	0.696	1.483	0.674	0.770
16	21	33.476	20.233	2	84	22.728	257	31	10	4	8.816	3.033	3.018	0.511	2.907	0.344	0.700
17	34	37.324	19.759	2	70	28.142	1179	33	11	6	9.560	4.528	160.845	0.539	2.111	0.474	0.747
18	39	57.026	15.956	26	94	26.971	3843	41	11	6	10.348	4.799	172.058	0.674	2.156	0.464	0.772
19	40	27.325	11.842	5	46	25.556	1462	42	10	6	9.629	5.289	159.751	0.770	1.820	0.549	0.842
20	320	66.109	36.941	0	156	83.841	2027	46	32	18	31.077	13.110	159.360	0.572	2.370	0.422	0.832
21	2045	34.127	15.408	1	80	201.037	334	47	64	47	65.173	39.951	160.835	0.636	1.631	0.613	0.904
22	40	82.775	29.139	12	127	26.971	681	48	11	6	10.031	5.077	165.836	0.691	1.976	0.506	0.784
23	22	33.045	12.404	12	54	21.899	3725	48	10	3	10.731	2.610	172.802	0.576	4.111	0.243	0.846
24	46	32.500	12.491	3	64	29.799	2201	53	10	8	9.816	5.967	161.160	0.651	1.645	0.608	0.748
25	46	32.609	14.384	8	61	34.971	3673	54	14	6	13.164	4.449	166.192	0.473	2.959	0.338	0.730
26	49	23.653	11.528	1	46	29.213	1957	55	11	8	9.825	6.350	154.257	0.722	1.547	0.646	0.797
27	846	39.021	18.723	1	103	137.681	1671	58	39	40	34.817	30.938	112.044	0.561	1.125	0.889	0.796
28	1811	25.637	12.039	1	73	203.966	3313	74	54	51	49.375	46.700	82.731	0.547	1.057	0.946	0.880
29	36	67.167	19.678	34	102	24.728	3524	84	11	4	11.312	4.052	173.465	0.740	2.792	0.358	0.911
30	483	51.547	26.928	3	126	104.468	920	90	38	24	35.726	17.213	157.956	0.556	2.075	0.482	0.824
31	28	48.750	17.652	11	86	25.556	1123	94	11	4	9.903	3.600	177.935	0.539	2.751	0.364	0.757
32	175	14.029	7.956	1	37	69.598	1764	98	18	19	15.905	14.009	25.428	0.454	1.135	0.881	0.694
33	3324	27.493	13.385	0	85	271.563	1660	105	70	74	77.398	54.681	121.012	0.566	1.415	0.706	0.877
34	87	58.379	21.472	4	99	37.799	2222	106	15	8	14.427	7.678	171.191	0.765	1.879	0.532	0.879
35	252	42.956	22.849	2	109	80.083	1477	108	32	15	26.036	12.324	1.472	0.494	2.113	0.473	0.748
36	23	26.652	15.853	4	60	20.142	2490	110	7	6	7.759	3.774	152.904	0.712	2.056	0.486	0.742
37	1573	62.913	36.672	1	189	242.693	365	124	87	44	89.067	22.487	19.246	0.336	3.961	0.252	0.703
38	106	43.387	16.618	6	84	44.870	3762	125	18	10	18.952	7.121	161.476	0.662	2.661	0.376	0.858
39	25	38.800	14.807	8	72	19.899	2946	126	8	4	7.903	4.028	165.926	0.793	1.962	0.510	0.893
40	303	57.620	22.932	4	113	79.841	1788	129	30	15	26.986	14.296	178.108	0.597	1.888	0.530	0.832
41	26	35.808	11.771	18	69	22.728	2155	148	10	4	8.799	3.762	164.083	0.633	2.339	0.428	0.825
42	84	34.012	14.426	4	76	36.971	3788	148	14	8	14.505	7.374	165.730	0.772	1.967	0.508	0.880
43	1251	42.341	23.235	0	110	168.267	1308	150	62	30	56.162	28.361	177.473	0.555	1.980	0.505	0.872
44	65	71.646	25.647	18	117	34.627	2573	151	14	8	14.169	5.841	159.960	0.681	2.426	0.412	0.812
45	1586	54.117	28.440	0	144	166.995	2598	154	55	45	50.486	39.998	154.571	0.715	1.262	0.792	0.907
46	344	29.142	12.123	2	71	86.912	1265	155	30	19	26.266	16.675	176.287	0.572	1.575	0.635	0.822
47	110	44.409	17.522	9	86	46.627	119	161	19	9	18.572	7.541	175.727	0.636	2.463	0.406	0.837
48	19	31.421	18.343	5	64	21.556	909	166	8	5	7.162	3.378	178.671	0.514	2.120	0.472	0.613
49	111	38.667	14.843	4	86	41.799	1487	166	15	10	16.249	8.698	161.650	0.798	1.868	0.535	0.895
50	71	52.958	22.609	4	89	37.556	3234	170	16	6	16.061	5.629	170.451	0.633	2.853	0.350	0.882
51	286	37.441	17.826	1	81	80.426	271	171	32	15	30.484	11.945	11.654	0.556	2.552	0.392	0.842
52	306	37.948	20.662	2	124	99.054	2178	182	35	24	31.354	12.426	25.550	0.392	2.523	0.396	0.686
53	42	67.881	14.505	25	87	26.728	2959	190	11	5	10.965	4.877	174.558	0.739	2.248	0.445	0.875
54	1126	48.199	19.953	0	105	148.853	521	193	52	32	53.052	27.024	166.167	0.639	1.963	0.509	0.904
55	672	57.918	27.056	4	128	132.610	2422	199	50	21	47.935	17.850	175.662	0.480	2.685	0.372	0.856
56	49	36.122	14.051	8	62	29.799	808	200	11	8	10.311	6.051	26.261	0.693	1.704	0.587	0.760
57	1496	29.362	14.968	0	81	298.392	13	202	98	37	80.688	23.607	6.097	0.211	3.418	0.293	0.605
58	120	45.692	18.207	10	93	48.284	3778	216	18	10	18.361	8.321	169.541	0.647	2.207	0.453	0.836
59	7454	43.391	24.171	0	149	798.406	3168	219	175	190	165.169	57.461	138.861	0.147	2.874	0.348	0.437
60	47	15.894	7.916	4	31	29.556	9	221	8	9	9.110	6.569	130.131	0.676	1.387	0.721	0.783
61	21	19.429	8.400	5	34	19.556	1114	225	8	5	7.392	3.617	167.206	0.690	2.044	0.489	0.737
62	24	37.625	17.517	10	72	19.556	883	230	8	5	7.953	3.842	13.471	0.789	2.070	0.483	0.787
63	361	52.025	23.538	1	110	88.669	3014	236	31	18	29.178	15.753	160.409	0.577	1.852	0.540	0.834
64	40	18.750	8.975	5	43	30.971	2253	238	12	6	10.080	5.052	174.121	0.524	1.995	0.501	0.702
65	20	40.250	9.447	20	53	17.314	3596	238	7	4	6.938	3.671	163.474	0.838	1.890	0.529	0.851
66	70	95.257	32.558	26	152	35.213	1315	240	14	8	13.905	6.410	158.732	0.709	2.169	0.461	0.828
67	54	68.204	16.849	33	103	35.556	677	242	15	5	14.851	4.630	179.500	0.537	3.208	0.312	0.831
68	22	53.591	16.684	17	80	20.728	2989	243	8	5	7.194	3.894	159.176	0.643	1.848	0.541	0.721
69	24	25.708	15.324	2	59	23.314	3810	246	10	4	10.180	3.002	166.041	0.555	3.391	0.295	0.774
70	406	45.948	29.252	2	132	93.255	73	254	39	16	38.361	13.476	170.536	0.587	2.847	0.351	0.885
71	21	28.524	15.651	2	48	23.556	2352	254	10	4	9.190	2.909	168.648	0.476	3.159	0.317	0.667
72	93	40.817	17.304	5	77	59.456	1542	256	26	7	26.735	4.429	172.628	0.331	6.036	0.166	0.710
73	56	66.179	32.985	14	128	40.042	2841	268	17	6	14.156	5.037	174.372	0.439	2.811	0.356	0.732
74	1800	41.754	21.157	0	116	223.137	3600	274	86	31	81.633	28.075	174.398	0.454	2.908	0.344	0.859
75	22	58.727	14.472	29	77	19.899	583	280	8	4	6.844	4.093	165.416	0.698	1.672	0.598	0.815
76	439	26.563	10.981	1	59	99.154	1350	287	31	24	29.337	19.053	158.118	0.561	1.540	0.649	0.811
77	76	64.171	19.543	18	114	34.627	2827	290	14	8	13.997	6.913	159.038	0.796	2.025	0.494	0.879
78	23	34.043	16.966	8	65	20.728	1301	293	9	4	8.840	3.313	176.976	0.673	2.668	0.375	0.793
79	119	51.269	18.440	5	97	51.113	2799	293	16	14	13.702	11.058	6.255	0.572	1.239	0.807	0.741
80	95	30.421	14.680	2	58	39.213	915	300	16	8	15.520	7.794	176.879	0.776	1.991	0.502	0.880
81	618	83.913	46.072	1	223	132.953	518	315	41	33	45.175	17.418	149.568	0.439	2.594	0.386	0.775
82	1603	32.727	16.347	1	93	181.823	2860	319	49	47	47.287	43.162	6.357	0.609	1.096	0.913	0.887
83	24	39.042	13.405	5	61	20.142	3060	319	8	5	7.706	3.966	157.682	0.743	1.943	0.515	0.774
84	1128	76.419	49.323	1	215	173.539	1121	320	69	26	66.139	21.715	6.946	0.471	3.046	0.328	0.825
85	31	33.032	12.745	8	61	32.142	590	328	14	4	12.465	3.167	174.777	0.377	3.936	0.254	0.667
86	77	45.013	16.963	7	79	46.527	2553	328	19	7	17.514	5.598	177.754	0.447	3.129	0.320	0.730
87	334	49.728	27.141	1	120	85.841	2334	362	30	18	26.780	15.880	161.413	0.570	1.686	0.593	0.845
88	28	68.964	15.486	43	103	20.485	2554	366	8	4	8.501	4.194	175.915	0.838	2.027	0.493	0.933
89	38	39.105	21.337	2	81	35.213	141	370	13	6	11.986	4.037	177.228	0.385	2.969	0.337	0.633
90	37	30.649	15.438	2	59	23.556	3187	374	9	6	8.842	5.328	167.836	0.838	1.660	0.603	0.851
91	52	46.135	18.549	5	95	32.142	2707	385	14	5	14.543	4.552	3.556	0.633	3.195	0.313	0.874
92	221	39.136	17.577	4	86	68.870	3704	386	30	10	29.035	9.691	174.589	0.586	2.996	0.334	0.893
93	99	72.394	29.804	14	140	45.799	1801	392	19	8	19.618	6.425	9.822	0.593	3.053	0.328	0.839
94	151	61.642	32.131	2	136	56.042	2741	392	22	11	20.654	9.309	11.285	0.604	2.219	0.451	0.846
95	29	31.103	9.883	5	51	20.728	2595	394	6	7	7.563	4.882	124.015	0.848	1.549	0.646	0.829
96	122	61.566	31.259	5	125	48.870	2496	398	19	10	18.916	8.212	7.277	0.642	2.304	0.434	0.827
97	1806	31.112	15.262	0	94	189.823	2418	400	70	37	68.027	33.802	0.879	0.630	2.013	0.497	0.908
98	150	19.773	9.604	1	58	86.912	660	401	30	9	27.061	7.058	0.053	0.250	3.834	0.261	0.645
99	182	73.385	35.064	2	153	81.598	3558	402	34	11	34.410	6.734	170.491	0.343	5.110	0.196	0.719
100	673	21.884	9.212	0	50	112.711	485	412	36	27	33.218	25.796	3.730	0.666	1.288	0.777	0.877
101	42	38.048	16.972	6	74	27.071	2408	422	11	4	11.913	4.489	1.788	0.720	2.654	0.377	0.977
102	74	18.622	9.117	2	42	37.556	538	425	13	9	12.966	7.267	7.818	0.659	1.784	0.560	0.800
103	69	45.377	13.484	15	70	36.284	400	438	14	8	11.979	7.334	179.960	0.659	1.633	0.612	0.798
104	2424	42.681	26.706	0	173	306.978	2004	443	92	53	82.896	37.231	174.966	0.323	2.227	0.449	0.678
105	32	27.469	8.527	5	49	25.213	2330	446	10	5	9.858	4.133	176.389	0.633	2.385	0.419	0.736
106	384	87.945	46.307	2	207	91.841	1968	448	36	18	37.009	13.211	160.891	0.572	2.801	0.357	0.887
107	20	12.600	5.744	4	25	26.971	648	449	7	7	5.809	4.384	154.822	0.346	1.325	0.755	0.519
108	419	63.031	35.449	3	166	95.255	2637	455	40	16	38.844	13.734	172.369	0.580	2.828	0.354	0.889
109	660	46.064	23.675	3	112	121.054	1024	457	46	23	44.157	19.031	168.265	0.566	2.320	0.431	0.863
110	28	50.750	12.076	25	71	20.728	3232	457	8	5	7.963	4.477	5.662	0.819	1.779	0.562	0.836
111	1052	32.586	15.033	0	83	162.167	43	464	46	37	44.798	29.900	30.722	0.503	1.498	0.667	0.843
112	31	42.935	15.282	11	70	24.971	3877	464	9	6	8.486	4.651	163.317	0.625	1.824	0.548	0.729
113	316	49.791	21.852	5	108	106.225	3123	468	41	12	39.683	10.139	7.365	0.352	3.914	0.256	0.794
114	68	46.515	14.798	16	85	34.971	146	470	13	8	11.653	7.430	4.833	0.699	1.568	0.638	0.824
115	261	52.310	36.528	2	148	71.598	3711	471	27	15	25.934	12.814	179.382	0.640	2.024	0.494	0.849
116	135	29.652	15.161	2	78	51.456	1130	472	18	12	15.061	11.413	2.398	0.641	1.320	0.758	0.792
117	834	42.876	18.234	1	104	129.539	888	474	44	28	43.961	24.155	173.572	0.625	1.820	0.549	0.862
118	386	42.407	22.269	3	109	128.125	2191	477	44	21	32.081	15.319	173.545	0.295	2.094	0.478	0.663
119	210	56.362	23.854	3	111	63.941	172	478	24	15	22.843	11.705	167.528	0.645	1.952	0.512	0.840
120	75	35.933	14.228	5	65	40.728	3265	482	17	6	16.160	5.909	7.697	0.568	2.735	0.366	0.862
121	49	37.020	13.532	5	71	27.799	3585	483	11	7	10.053	6.206	167.080	0.797	1.620	0.617	0.831
122	60	22.917	10.956	2	50	31.799	1653	488	12	8	10.768	7.094	164.740	0.746	1.518	0.659	0.828
123	2365	29.361	11.890	1	71	213.865	1769	489	59	56	55.796	53.968	179.598	0.650	1.034	0.967	0.912
