 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	79	71.658	25.728	15	116	34.971	2143	1	13	8	13.591	7.401	19.148	0.812	1.836	0.545	0.924
2	531	25.411	13.419	0	84	103.841	2793	1	37	21	37.813	17.880	15.664	0.619	2.115	0.473	0.880
3	182	64.577	21.008	12	115	54.284	3744	1	19	13	18.669	12.413	25.979	0.776	1.504	0.665	0.897
4	52	32.942	11.631	3	60	31.799	3530	7	8	12	9.710	6.819	90.847	0.646	1.424	0.702	0.748
5	68	51.221	14.614	24	83	34.627	2027	9	13	9	13.543	6.393	24.782	0.713	2.118	0.472	0.795
6	27	34.370	13.290	6	59	21.556	3184	11	7	7	6.647	5.172	41.509	0.730	1.285	0.778	0.740
7	3207	50.940	34.301	0	157	316.191	700	13	93	88	106.301	38.413	42.029	0.403	2.767	0.361	0.798
8	23	16.522	8.062	5	32	20.142	258	14	7	6	7.075	4.139	48.585	0.712	1.709	0.585	0.780
9	75	42.187	14.648	10	75	36.627	1769	19	11	12	12.346	7.735	55.886	0.703	1.596	0.626	0.794
10	46	13.000	8.351	1	39	47.698	2205	20	12	11	9.234	6.343	32.474	0.254	1.456	0.687	0.489
11	242	48.062	26.310	2	118	77.012	1908	21	29	17	29.863	10.318	28.227	0.513	2.894	0.345	0.807
12	348	35.503	15.449	2	76	92.326	3430	22	31	22	33.351	13.285	30.011	0.513	2.510	0.398	0.823
13	62	25.903	12.135	2	58	30.971	1170	24	8	10	10.691	7.384	74.391	0.812	1.448	0.691	0.879
14	18	17.833	11.587	1	45	17.314	45	25	6	5	6.769	3.386	33.292	0.755	1.999	0.500	0.766
15	154	42.377	14.627	1	85	53.456	3659	28	12	16	17.027	11.516	84.833	0.677	1.479	0.676	0.844
16	181	23.757	10.008	1	52	57.698	2658	36	20	15	20.795	11.082	30.799	0.683	1.876	0.533	0.842
17	158	25.911	14.238	0	75	50.870	2160	41	15	15	15.028	13.387	118.789	0.767	1.123	0.891	0.849
18	24	18.250	11.851	3	46	20.728	331	43	6	7	6.332	4.826	45.438	0.702	1.312	0.762	0.750
19	659	69.367	32.013	1	152	109.983	586	60	28	37	37.933	22.120	64.321	0.685	1.715	0.583	0.888
20	44	38.091	15.379	8	65	30.971	2785	62	10	9	11.469	4.885	35.651	0.576	2.348	0.426	0.721
21	342	49.199	21.725	4	101	97.397	3844	63	38	22	40.719	10.694	29.710	0.453	3.808	0.263	0.822
22	741	39.140	19.023	2	119	150.510	127	64	47	35	49.137	19.201	34.985	0.411	2.559	0.391	0.813
23	17	20.235	7.934	5	30	15.314	3156	75	6	4	6.669	3.246	27.065	0.911	2.054	0.487	0.872
24	300	28.397	14.263	1	71	88.811	425	77	25	25	29.100	13.126	45.908	0.478	2.217	0.451	0.782
25	75	82.840	29.666	13	150	38.627	3395	87	13	11	15.446	6.182	35.841	0.632	2.498	0.400	0.824
26	98	31.990	12.921	7	67	48.284	3470	88	19	11	19.075	6.541	23.385	0.528	2.916	0.343	0.766
27	188	53.197	17.772	4	83	61.113	1190	89	16	21	23.468	10.200	53.258	0.633	2.301	0.435	0.853
28	93	50.602	17.431	4	88	42.284	579	101	14	12	13.910	8.513	32.044	0.654	1.634	0.612	0.772
29	177	54.226	23.514	10	128	59.113	2733	102	15	21	20.667	10.904	61.967	0.637	1.895	0.528	0.833
30	125	34.288	12.007	7	62	43.698	3887	105	15	13	14.938	10.654	38.482	0.823	1.402	0.713	0.859
31	215	48.995	18.222	2	97	61.598	553	112	18	19	20.715	13.215	49.017	0.712	1.568	0.638	0.843
32	616	56.261	23.826	2	110	102.912	3387	117	33	25	31.598	24.821	172.390	0.731	1.273	0.786	0.887
33	1209	41.141	20.426	1	120	169.581	377	119	46	49	55.463	27.755	47.268	0.528	1.998	0.500	0.861
34	40	47.025	18.624	12	84	27.799	3136	128	11	7	11.063	4.604	27.537	0.650	2.403	0.416	0.808
35	19	23.211	6.754	11	35	18.728	2958	138	8	4	7.202	3.359	15.768	0.681	2.144	0.466	0.760
36	119	39.681	15.890	7	74	61.941	884	139	26	10	26.088	5.808	15.331	0.390	4.492	0.223	0.763
37	45	21.022	9.598	3	41	32.627	1369	163	12	9	12.200	4.696	31.249	0.531	2.598	0.385	0.714
38	684	17.864	8.555	0	45	152.024	2771	169	40	32	41.135	21.172	39.407	0.372	1.943	0.515	0.776
39	49	25.224	7.498	5	43	31.213	552	171	8	11	10.217	6.107	84.072	0.632	1.673	0.598	0.742
40	838	42.865	23.274	1	121	176.652	3788	180	43	45	40.217	26.530	51.147	0.337	1.516	0.660	0.723
41	76	30.553	9.766	8	67	35.213	3178	188	11	11	13.095	7.390	46.053	0.770	1.772	0.564	0.864
42	39	13.795	6.602	3	33	26.142	3151	190	9	7	8.585	5.784	17.222	0.717	1.484	0.674	0.765
43	19	13.316	6.592	2	24	20.142	1567	196	8	5	8.352	2.896	34.941	0.589	2.884	0.347	0.717
44	57	42.404	20.470	15	93	31.799	362	201	11	9	12.858	5.644	32.470	0.708	2.278	0.439	0.832
45	555	41.982	21.063	2	102	112.953	2293	205	37	32	42.025	16.815	43.859	0.547	2.499	0.400	0.838
46	44	21.159	8.887	5	44	53.698	2846	210	15	10	10.968	5.108	29.760	0.192	2.147	0.466	0.423
47	23	22.261	8.956	8	42	18.142	887	214	6	6	6.045	4.844	146.328	0.878	1.248	0.801	0.807
48	490	63.041	31.978	5	155	114.711	197	217	39	30	42.051	14.836	36.611	0.468	2.834	0.353	0.806
49	27	7.667	4.707	2	20	22.142	3800	225	8	6	6.941	4.953	27.268	0.692	1.401	0.714	0.730
50	113	30.363	14.392	7	64	43.456	3112	230	16	11	16.094	8.940	11.632	0.752	1.800	0.555	0.840
51	68	48.162	15.008	7	75	32.627	1287	234	11	10	10.111	8.563	11.992	0.803	1.181	0.847	0.824
52	94	14.936	7.677	1	33	66.770	3464	235	19	14	17.443	6.862	27.238	0.265	2.542	0.393	0.533
53	33	11.879	8.011	3	35	35.213	2985	249	13	8	11.448	3.670	16.774	0.334	3.119	0.321	0.541
54	71	48.789	16.821	7	79	37.213	1436	252	13	9	12.738	7.097	21.829	0.644	1.795	0.557	0.807
55	23	29.043	16.117	6	73	18.142	3570	254	7	5	7.570	3.869	18.014	0.878	1.957	0.511	0.821
56	533	11.552	6.072	0	35	222.652	2666	257	51	28	33.920	20.007	0.388	0.135	1.695	0.590	0.497
57	28	9.679	6.116	2	29	33.213	2982	258	9	10	8.254	4.319	54.254	0.319	1.911	0.523	0.505
