 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	18	12.667	6.713	4	29	16.485	397	1	6	4	5.538	4.138	149.036	0.832	1.338	0.747	0.857
2	25	13.320	7.227	1	27	23.314	225	13	4	10	9.406	3.384	106.556	0.578	2.779	0.360	0.769
3	37	16.568	6.418	3	28	32.385	2370	13	6	11	9.537	4.940	80.732	0.443	1.931	0.518	0.685
4	107	21.673	8.450	2	42	49.698	3863	20	16	13	14.811	9.198	27.168	0.544	1.610	0.621	0.728
5	2160	17.051	9.187	0	51	284.978	2242	39	54	71	64.906	42.372	78.939	0.334	1.532	0.653	0.812
6	95	24.379	9.572	8	47	40.627	3924	44	11	13	11.336	10.670	159.517	0.723	1.062	0.941	0.826
7	58	14.759	8.868	2	48	34.627	931	49	9	12	10.088	7.320	75.917	0.608	1.378	0.726	0.720
8	61	21.607	11.059	1	56	40.627	291	77	7	16	14.372	5.404	100.113	0.464	2.660	0.376	0.726
9	66	17.318	7.006	3	36	32.971	2754	110	8	12	12.046	6.976	104.770	0.763	1.727	0.579	0.846
10	74	22.203	10.943	1	47	34.385	454	111	8	13	11.821	7.970	86.570	0.787	1.483	0.674	0.860
11	25	24.920	11.449	4	50	24.971	2934	155	6	9	7.819	4.071	78.986	0.504	1.921	0.521	0.625
12	16	26.438	9.366	8	42	20.142	1333	186	6	6	5.641	3.611	126.316	0.496	1.562	0.640	0.582
13	199	29.528	13.738	4	79	65.941	1307	200	14	24	22.432	11.295	69.494	0.575	1.986	0.504	0.829
14	403	44.047	19.003	1	95	83.154	3501	211	26	25	23.659	21.688	135.318	0.732	1.091	0.917	0.852
15	17	14.647	6.051	3	26	28.142	1079	225	6	9	7.037	3.076	94.097	0.270	2.288	0.437	0.430
16	194	28.546	12.657	4	59	68.669	1361	247	15	22	19.856	12.440	84.746	0.517	1.596	0.627	0.758
17	174	15.718	8.421	2	50	67.355	165	337	25	14	23.676	9.357	161.260	0.482	2.530	0.395	0.719
18	63	12.079	6.854	1	28	38.042	3230	391	9	15	10.803	7.425	79.438	0.547	1.455	0.687	0.712
19	1041	21.892	11.482	1	60	160.510	3388	391	28	54	51.756	25.609	81.480	0.508	2.021	0.495	0.868
20	1207	26.592	15.913	0	85	202.752	3794	401	31	69	63.248	24.298	97.247	0.369	2.603	0.384	0.808
21	80	21.212	8.525	3	45	39.799	3896	412	8	14	13.761	7.402	89.961	0.635	1.859	0.538	0.812
22	53	25.019	10.079	1	44	31.213	3626	427	9	11	10.102	6.680	121.830	0.684	1.512	0.661	0.746
23	27	15.296	7.205	2	28	20.971	3605	450	7	7	6.807	5.050	128.887	0.772	1.348	0.742	0.730
24	23	10.000	6.396	1	26	20.142	2904	455	6	7	7.097	4.126	64.330	0.712	1.720	0.581	0.754
25	475	17.966	10.425	1	60	107.882	565	456	26	36	32.841	18.416	73.639	0.513	1.783	0.561	0.796
26	65	33.000	14.462	9	74	35.456	2495	489	7	14	12.776	6.478	85.914	0.650	1.972	0.507	0.818
27	23	12.826	8.337	2	37	26.142	2751	501	6	10	7.037	4.161	83.976	0.423	1.691	0.591	0.590
28	112	26.973	10.023	5	48	47.113	1466	503	11	18	17.144	8.318	76.976	0.634	2.061	0.485	0.806
29	125	25.360	10.972	5	50	54.527	994	551	10	22	19.880	8.006	83.151	0.528	2.483	0.403	0.784
30	73	22.247	8.814	6	43	38.870	272	561	13	12	13.092	7.100	48.932	0.607	1.844	0.542	0.753
31	19	15.053	6.114	5	26	20.728	3	587	6	7	8.161	2.964	55.494	0.556	2.753	0.363	0.667
32	23	23.870	12.110	2	54	23.314	142	604	5	9	9.310	3.145	71.703	0.532	2.960	0.338	0.742
33	31	15.452	7.411	2	28	34.971	211	615	4	15	13.498	2.924	91.712	0.319	4.616	0.217	0.639
34	29	20.172	12.236	0	45	20.485	2735	618	5	7	7.159	5.158	87.561	0.868	1.388	0.721	0.906
35	70	23.043	9.109	5	41	38.385	2018	656	7	15	15.298	5.826	85.294	0.597	2.626	0.381	0.805
36	141	25.319	12.850	3	62	53.456	1615	658	15	17	18.311	9.804	125.642	0.620	1.868	0.535	0.775
37	225	15.276	8.741	0	49	87.497	1270	716	16	25	21.316	13.440	81.946	0.369	1.586	0.630	0.735
38	22	6.227	2.707	2	11	21.314	3467	729	5	8	7.856	3.566	69.611	0.609	2.203	0.454	0.746
39	33	19.848	8.729	5	42	24.385	1241	761	6	9	7.946	5.288	84.079	0.697	1.503	0.665	0.767
40	30	18.500	7.740	4	34	20.728	3837	774	6	7	7.372	5.182	64.279	0.877	1.423	0.703	0.857
41	63	22.143	9.261	5	46	32.385	2751	787	9	11	11.976	6.698	116.422	0.755	1.788	0.559	0.829
42	441	42.569	16.913	3	91	96.569	897	798	21	36	34.344	16.349	74.014	0.594	2.101	0.476	0.851
43	149	31.450	11.772	7	63	55.456	2797	817	10	22	21.425	8.855	86.145	0.609	2.420	0.413	0.835
44	52	19.923	8.432	1	38	28.385	3665	822	8	10	9.548	6.934	73.416	0.811	1.377	0.726	0.825
45	955	15.539	8.430	0	48	201.622	1152	855	29	56	48.980	24.825	84.312	0.295	1.973	0.507	0.785
46	35	16.829	7.906	5	36	37.799	2699	856	7	15	11.708	3.806	104.778	0.308	3.076	0.325	0.560
47	119	17.227	9.140	0	51	68.426	3404	887	15	22	18.540	8.172	70.360	0.319	2.269	0.441	0.613
48	95	15.537	8.648	2	35	52.770	3184	957	17	16	18.619	6.496	40.693	0.429	2.866	0.349	0.653
49	22	17.727	7.516	6	32	17.314	3962	1011	5	6	6.028	4.647	83.711	0.922	1.297	0.771	0.863
50	101	23.475	10.283	2	49	43.113	642	1043	11	16	14.024	9.170	83.178	0.683	1.529	0.654	0.792
51	82	14.244	6.421	1	34	50.527	2873	1052	12	15	12.549	8.320	93.703	0.404	1.508	0.663	0.628
52	395	33.400	12.228	4	67	89.255	431	1061	21	28	27.273	18.441	87.464	0.623	1.479	0.676	0.829
53	48	14.646	7.993	2	32	30.971	3692	1075	7	11	11.141	5.486	93.260	0.629	2.031	0.492	0.768
54	204	38.074	13.159	5	72	61.698	1470	1109	13	22	20.592	12.614	93.870	0.673	1.633	0.613	0.859
55	252	21.790	10.952	0	58	83.355	2483	1137	12	33	34.495	9.302	78.655	0.456	3.709	0.270	0.826
56	56	19.643	8.324	3	39	35.556	954	1154	5	15	15.089	4.726	84.256	0.557	3.193	0.313	0.855
57	19	8.895	4.725	1	16	22.142	1580	1182	5	9	7.564	3.198	76.106	0.487	2.365	0.423	0.623
58	74	25.932	11.983	4	51	40.385	3401	1196	7	17	17.042	5.529	78.198	0.570	3.082	0.324	0.822
59	20	10.350	6.360	0	22	17.899	1283	1204	4	7	7.225	3.525	76.133	0.784	2.050	0.488	0.851
60	89	22.787	12.890	4	63	49.456	2516	1207	11	18	16.524	6.858	67.686	0.457	2.410	0.415	0.712
61	207	34.928	13.260	5	68	64.527	3618	1224	14	23	21.314	12.366	80.276	0.625	1.724	0.580	0.840
62	110	21.709	10.980	1	49	49.698	377	1271	10	18	17.516	7.996	93.946	0.560	2.191	0.456	0.775
63	73	14.918	7.831	2	39	49.941	3964	1274	11	15	12.217	7.608	86.005	0.368	1.606	0.623	0.606
64	52	28.327	11.294	4	47	30.971	816	1297	7	11	11.297	5.861	86.744	0.681	1.928	0.519	0.800
65	16	13.250	7.197	4	28	17.314	1697	1315	6	4	5.606	3.634	2.330	0.671	1.542	0.648	0.727
66	130	23.500	12.177	3	54	57.698	1816	1327	10	23	19.897	8.319	74.257	0.491	2.392	0.418	0.785
67	8525	21.954	11.774	0	69	654.725	1969	1337	92	190	180.227	60.226	71.491	0.250	2.993	0.334	0.797
68	212	17.420	8.912	1	42	62.770	3985	1361	14	21	20.450	13.200	85.392	0.676	1.549	0.645	0.841
69	16	18.000	8.996	7	39	15.556	527	1363	6	5	5.534	3.681	21.344	0.831	1.503	0.665	0.727
70	157	23.643	11.492	1	51	59.113	3033	1369	12	23	22.854	8.747	79.999	0.565	2.613	0.383	0.809
71	21	18.095	7.449	3	30	24.142	171	1377	6	8	7.603	3.517	77.526	0.453	2.162	0.463	0.583
72	27	16.370	5.825	5	27	31.556	249	1381	6	11	9.512	3.614	83.763	0.341	2.632	0.380	0.519
73	46	10.348	7.457	2	32	34.627	247	1396	8	12	11.686	5.012	103.492	0.482	2.332	0.429	0.648
74	400	32.490	15.583	1	77	104.569	613	1401	27	27	27.302	18.654	137.456	0.460	1.464	0.683	0.721
75	100	11.700	5.729	0	29	76.426	991	1448	14	18	13.918	9.148	119.541	0.215	1.521	0.657	0.554
76	584	15.841	8.525	0	42	163.196	1438	1457	33	36	33.276	22.346	27.899	0.276	1.489	0.672	0.668
77	210	31.024	14.937	5	79	74.184	192	1482	15	28	26.175	10.215	72.715	0.480	2.562	0.390	0.775
78	76	23.566	12.597	4	61	42.627	237	1504	7	17	16.595	5.831	82.208	0.526	2.846	0.351	0.784
79	8108	28.226	14.972	0	88	689.453	1297	1505	80	209	170.043	60.711	80.164	0.214	2.801	0.357	0.782
80	82	12.768	5.748	1	27	67.598	2195	1513	15	19	13.435	7.771	65.873	0.226	1.729	0.578	0.449
81	52	18.596	9.185	4	51	34.385	1127	1514	6	13	13.827	4.789	86.018	0.553	2.887	0.346	0.759
82	352	18.261	9.130	1	44	147.196	3371	1526	23	32	25.397	17.647	87.603	0.204	1.439	0.695	0.624
83	86	22.767	9.699	3	53	46.284	3587	1539	11	16	12.923	8.473	82.114	0.504	1.525	0.656	0.717
84	2603	38.605	20.597	1	118	318.049	2488	1541	39	117	108.565	30.528	91.152	0.323	3.556	0.281	0.753
85	270	24.830	12.922	1	65	92.326	285	1543	14	37	32.308	10.640	83.077	0.398	3.036	0.329	0.757
86	20	13.550	5.934	4	28	19.314	3516	1561	6	6	6.951	3.663	56.805	0.674	1.898	0.527	0.741
87	211	16.384	8.328	1	41	74.083	3625	1598	24	20	24.712	10.871	153.252	0.483	2.273	0.440	0.725
88	69	22.246	11.288	1	46	44.385	118	1609	6	19	15.808	5.558	83.053	0.440	2.844	0.352	0.784
89	215	30.298	13.194	3	67	75.841	2242	1610	20	19	18.313	14.948	167.520	0.470	1.225	0.816	0.721
90	27	13.815	6.546	2	27	20.728	474	1647	5	7	6.340	5.423	77.187	0.790	1.169	0.855	0.844
91	116	28.388	13.453	0	66	44.870	264	1744	12	15	14.601	10.115	75.399	0.724	1.444	0.693	0.823
92	55	20.145	8.301	2	35	40.042	161	1788	10	13	10.103	6.932	70.143	0.431	1.458	0.686	0.640
93	226	14.239	7.032	2	38	86.083	1204	1852	19	22	20.202	14.244	80.809	0.383	1.418	0.705	0.700
94	18	10.611	8.204	1	27	29.556	1217	1878	6	10	7.721	2.968	77.660	0.259	2.601	0.384	0.424
95	104	16.019	9.992	1	42	75.255	342	1897	12	25	22.350	5.925	75.058	0.231	3.772	0.265	0.552
96	776	21.272	11.605	0	62	136.024	3652	1901	38	37	36.588	27.005	30.883	0.527	1.355	0.738	0.814
97	153	28.719	12.453	4	58	64.284	3732	1919	17	19	16.827	11.577	71.834	0.465	1.453	0.688	0.707
98	56	24.375	12.236	5	53	34.971	819	1923	7	13	11.334	6.291	88.749	0.575	1.802	0.555	0.752
99	585	15.667	8.763	0	48	156.853	939	1926	36	34	29.450	25.292	142.704	0.299	1.164	0.859	0.698
100	266	25.000	12.368	3	64	87.012	1198	1929	13	34	32.920	10.288	82.121	0.442	3.200	0.313	0.816
101	296	27.750	13.278	3	64	84.083	3016	1930	18	31	28.884	13.048	74.087	0.526	2.214	0.452	0.811
102	59	29.017	12.045	7	61	32.971	1175	2014	6	14	13.325	5.638	75.508	0.682	2.364	0.423	0.861
103	32	23.344	10.799	4	47	21.314	2921	2017	5	8	7.960	5.119	90.739	0.885	1.555	0.643	0.901
104	64	18.047	8.895	3	44	48.042	1374	2033	7	20	18.396	4.430	77.900	0.348	4.153	0.241	0.674
105	198	29.788	12.113	5	64	79.255	3503	2057	12	28	23.973	10.516	88.978	0.396	2.280	0.439	0.756
106	18	17.944	9.390	4	36	19.314	2511	2102	5	7	5.463	4.195	59.057	0.606	1.302	0.768	0.679
107	69	13.942	7.939	0	35	51.698	3593	2105	11	14	11.295	7.778	82.899	0.324	1.452	0.689	0.592
108	52	20.058	7.395	4	33	37.799	928	2132	7	15	14.795	4.475	70.401	0.457	3.306	0.302	0.732
109	28	15.036	6.161	4	24	21.314	1237	2144	6	7	7.901	4.512	127.309	0.775	1.751	0.571	0.836
110	1731	33.502	19.053	0	95	261.522	2007	2155	36	85	77.422	28.467	78.012	0.318	2.720	0.368	0.820
111	207	27.517	11.430	2	67	65.012	2643	2183	14	24	21.763	12.111	90.515	0.615	1.797	0.556	0.826
112	8817	32.926	19.541	0	116	574.985	1653	2195	93	156	145.179	77.326	84.757	0.335	1.877	0.533	0.817
113	735	36.101	18.693	1	91	166.853	108	2211	27	52	44.694	20.939	73.767	0.332	2.135	0.468	0.752
114	28	14.571	7.351	1	28	28.142	1408	2236	7	10	10.129	3.520	71.332	0.444	2.878	0.347	0.602
115	163	28.755	14.052	2	62	67.941	641	2260	9	27	27.618	7.515	84.231	0.444	3.675	0.272	0.809
116	1432	14.765	7.926	0	50	270.250	673	2281	45	71	70.822	25.745	61.449	0.246	2.751	0.364	0.742
117	61	21.262	8.614	4	38	33.456	246	2295	9	12	11.011	7.054	68.087	0.685	1.561	0.641	0.762
118	42	19.571	8.928	3	38	37.556	2337	2335	5	16	14.547	3.676	82.349	0.374	3.957	0.253	0.743
119	143	20.490	10.850	2	68	62.770	1881	2433	14	21	16.763	10.862	66.889	0.456	1.543	0.648	0.689
120	143	21.965	8.572	3	46	64.184	3940	2482	12	21	19.890	9.154	94.510	0.436	2.173	0.460	0.731
121	17	11.412	4.784	4	19	25.314	257	2485	7	8	6.543	3.308	133.385	0.333	1.978	0.506	0.486
122	293	37.546	17.438	2	82	94.912	263	2487	14	37	36.220	10.300	85.282	0.409	3.516	0.284	0.761
123	137	14.540	6.841	2	36	61.598	480	2503	11	22	22.115	7.887	79.395	0.454	2.804	0.357	0.749
124	39	14.026	6.827	3	31	30.385	729	2525	7	12	8.899	5.580	78.998	0.531	1.595	0.627	0.684
125	23	15.348	9.262	2	33	18.142	3000	2539	6	6	5.722	5.118	59.666	0.878	1.118	0.894	0.807
126	82	20.000	10.535	3	43	45.456	884	2561	8	18	16.097	6.486	91.490	0.499	2.482	0.403	0.742
127	61	18.115	8.120	4	33	42.042	206	2659	8	16	15.303	5.075	73.934	0.434	3.015	0.332	0.709
