 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	287	31.024	13.398	3	62	80.912	3118	10	28	18	26.617	13.729	15.363	0.551	1.939	0.516	0.791
2	335	36.343	16.067	2	85	80.912	2919	23	25	21	25.015	17.051	23.990	0.643	1.467	0.682	0.852
3	651	58.127	30.596	2	162	136.953	3121	34	50	22	46.259	17.918	179.883	0.436	2.582	0.387	0.780
4	153	19.673	9.519	2	46	52.284	2213	62	18	13	19.252	10.119	19.326	0.703	1.903	0.526	0.832
5	53	34.623	13.166	8	64	30.971	298	71	12	7	13.243	5.096	13.029	0.694	2.599	0.385	0.828
6	37	50.919	19.340	6	89	25.556	2335	79	10	6	9.945	4.737	22.583	0.712	2.100	0.476	0.813
7	165	18.618	9.201	1	44	56.770	3822	84	17	16	16.893	12.436	36.577	0.643	1.358	0.736	0.821
8	19	31.684	9.838	11	53	20.728	3900	114	8	5	7.543	3.207	15.970	0.556	2.352	0.425	0.731
9	45	30.000	14.089	2	54	32.385	3242	115	10	10	11.151	5.138	35.605	0.539	2.170	0.461	0.714
10	160	41.800	19.568	5	101	66.527	1931	118	26	11	24.304	8.382	178.704	0.454	2.900	0.345	0.744
11	156	55.564	19.807	10	105	56.870	2142	120	23	11	20.523	9.678	2.254	0.606	2.120	0.472	0.848
12	727	30.322	13.603	2	74	138.953	585	160	40	37	48.707	19.004	38.965	0.473	2.563	0.390	0.801
13	89	88.303	29.731	20	163	40.627	1436	169	15	9	14.669	7.725	21.695	0.678	1.899	0.527	0.848
14	52	48.519	18.713	16	91	35.556	1844	191	14	6	15.331	4.319	13.548	0.517	3.550	0.282	0.782
15	91	33.275	15.499	0	68	47.698	2350	220	18	12	20.680	5.603	24.702	0.503	3.691	0.271	0.737
16	1905	25.874	13.308	0	80	254.350	1172	298	89	36	85.440	28.389	10.706	0.370	3.010	0.332	0.819
17	61	9.984	7.751	1	33	58.527	2908	311	11	15	9.623	8.071	84.428	0.224	1.192	0.839	0.528
18	27	19.333	9.946	1	41	26.142	3709	328	8	7	6.988	4.919	158.976	0.496	1.421	0.704	0.659
19	77	49.792	20.264	8	106	43.941	1005	342	16	13	19.574	5.009	38.806	0.501	3.908	0.256	0.759
20	206	23.825	10.222	1	52	67.941	1639	361	26	15	23.327	11.244	19.546	0.561	2.075	0.482	0.808
21	31	21.323	9.094	5	38	24.971	1107	378	9	7	9.197	4.291	28.110	0.625	2.143	0.467	0.721
22	1927	38.163	19.717	0	116	219.622	3180	392	69	52	74.877	32.767	35.256	0.502	2.285	0.438	0.858
23	111	16.396	7.940	2	48	91.154	119	397	24	16	18.944	7.460	164.395	0.168	2.539	0.394	0.448
24	17	26.353	10.344	8	42	16.728	2337	423	6	5	6.579	3.290	26.651	0.763	2.000	0.500	0.791
25	18	19.389	7.897	2	32	18.728	2307	428	8	4	7.583	3.022	2.742	0.645	2.509	0.399	0.735
26	51	18.667	9.072	3	50	29.556	3072	437	9	9	9.789	6.634	56.117	0.734	1.476	0.678	0.779
27	93	74.860	24.477	3	146	40.042	1595	440	14	11	15.074	7.855	35.435	0.729	1.919	0.521	0.853
28	63	22.032	11.627	4	55	36.627	3580	486	11	9	10.218	7.850	148.060	0.590	1.302	0.768	0.746
29	40	24.200	11.380	5	52	30.627	3563	515	12	8	10.988	4.635	23.596	0.536	2.371	0.422	0.667
30	68	11.676	5.429	3	27	50.527	2153	598	17	9	14.568	5.943	23.063	0.335	2.451	0.408	0.654
31	18	37.333	15.620	8	58	20.385	691	636	8	4	7.122	3.218	11.693	0.544	2.213	0.452	0.667
32	21	25.810	9.740	6	42	22.971	2221	638	7	6	6.145	4.351	7.411	0.500	1.412	0.708	0.636
33	69	35.928	19.824	2	81	41.456	3851	650	16	10	15.806	5.558	31.122	0.505	2.844	0.352	0.750
34	21	40.667	12.599	21	70	17.899	3515	691	7	4	6.703	3.989	12.556	0.824	1.681	0.595	0.913
35	52	69.538	30.838	4	127	37.213	3115	700	15	7	14.021	4.722	17.710	0.472	2.969	0.337	0.738
36	17	26.059	9.997	11	42	16.728	926	704	7	4	5.990	3.613	9.180	0.763	1.658	0.603	0.773
37	48	63.667	25.099	12	107	28.971	1153	728	12	6	12.261	4.984	17.293	0.719	2.460	0.407	0.857
38	76	98.974	29.325	45	168	36.385	1167	748	14	8	14.199	6.815	17.966	0.721	2.084	0.480	0.869
39	99	17.798	10.670	1	46	59.941	1867	806	23	9	21.911	5.753	9.888	0.346	3.809	0.263	0.643
40	781	33.467	16.708	0	96	147.439	1628	833	45	31	38.783	25.640	179.328	0.451	1.513	0.661	0.783
41	260	45.712	17.207	0	87	67.598	1538	873	23	18	22.843	14.492	26.632	0.715	1.576	0.634	0.878
