 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	48	13.896	7.538	3	39	36.971	1203	35	11	8	10.757	5.681	35.147	0.441	1.893	0.528	0.681
2	17	26.412	11.737	8	47	16.728	3984	73	6	5	5.809	3.726	38.503	0.763	1.559	0.642	0.756
3	28	22.964	7.321	10	36	25.556	259	85	9	7	6.975	5.111	31.531	0.539	1.365	0.733	0.644
4	73	33.822	18.132	1	67	49.941	1053	100	17	13	14.847	6.260	34.393	0.368	2.371	0.422	0.606
5	276	17.902	9.672	1	51	110.225	936	108	33	18	25.823	13.608	0.736	0.285	1.898	0.527	0.655
6	65	23.385	14.372	3	58	43.456	1361	117	15	10	14.577	5.677	30.821	0.433	2.568	0.389	0.653
7	70	38.557	13.989	3	70	36.627	1994	125	12	11	14.861	5.997	41.615	0.656	2.478	0.404	0.828
8	228	29.614	14.110	0	66	108.468	187	152	31	27	30.979	9.371	42.045	0.244	3.306	0.302	0.610
9	251	20.733	11.876	1	62	128.853	473	152	42	33	45.577	7.012	36.552	0.190	6.500	0.154	0.596
10	132	21.583	11.633	1	57	61.598	3025	165	24	14	21.655	7.761	24.475	0.437	2.790	0.358	0.708
11	35	29.743	11.252	6	46	26.971	2089	203	11	6	9.791	4.552	24.614	0.605	2.151	0.465	0.769
12	50	56.820	19.763	10	109	30.142	556	222	11	7	12.452	5.112	23.434	0.692	2.436	0.411	0.820
13	40	18.825	10.137	1	41	36.627	3360	229	15	8	14.758	3.451	26.925	0.375	4.277	0.234	0.645
14	242	51.388	20.866	4	104	76.083	3194	238	26	19	27.556	11.182	28.868	0.525	2.464	0.406	0.791
15	23	19.957	8.834	7	35	18.728	1387	255	6	6	6.887	4.252	128.967	0.824	1.620	0.617	0.807
16	22	26.818	12.227	7	48	24.971	3038	258	8	8	10.053	2.786	36.067	0.443	3.608	0.277	0.603
17	69	21.986	12.559	1	52	43.456	874	285	13	14	16.918	5.193	45.822	0.459	3.258	0.307	0.676
18	6493	33.253	16.977	0	113	507.571	3442	290	149	133	176.649	46.800	44.558	0.317	3.775	0.265	0.816
19	28	24.393	11.383	6	48	28.971	288	312	12	6	12.133	2.938	23.835	0.419	4.129	0.242	0.691
20	54	39.648	14.415	0	66	30.627	3404	312	11	9	12.225	5.624	36.020	0.723	2.174	0.460	0.844
21	215	42.135	19.693	4	93	73.497	3427	326	29	16	28.449	9.623	20.461	0.500	2.956	0.338	0.780
22	114	29.211	13.211	2	66	55.698	2081	328	22	11	21.847	6.644	18.408	0.462	3.288	0.304	0.778
23	21	21.190	8.542	4	40	20.142	2195	329	7	6	8.462	3.160	33.629	0.650	2.678	0.373	0.712
24	58	55.466	19.148	19	94	36.385	2097	340	15	7	13.225	5.584	24.192	0.551	2.368	0.422	0.795
25	37	21.432	9.048	8	45	28.142	3828	371	11	6	11.873	3.968	22.308	0.587	2.992	0.334	0.779
26	33	33.636	14.210	10	75	23.799	3349	375	9	7	9.972	4.214	34.334	0.732	2.367	0.423	0.786
27	138	40.268	17.173	7	80	48.870	910	378	14	16	18.560	9.467	45.752	0.726	1.961	0.510	0.847
28	473	56.655	25.578	3	139	122.569	1057	388	42	28	43.177	13.948	31.190	0.396	3.096	0.323	0.751
29	57	30.544	13.283	1	63	36.870	1562	420	15	8	14.121	5.140	22.943	0.527	2.747	0.364	0.765
30	105	30.429	14.126	1	68	46.527	303	424	13	13	12.160	10.995	77.280	0.610	1.106	0.904	0.769
31	60	37.917	15.549	7	75	39.213	998	434	14	9	12.332	6.195	21.003	0.490	1.991	0.502	0.702
32	23	25.348	10.098	6	44	20.142	938	441	7	6	7.169	4.085	30.596	0.712	1.755	0.570	0.754
33	97	14.165	7.924	1	33	75.497	2568	453	16	17	13.944	8.857	39.098	0.214	1.574	0.635	0.530
34	41	22.415	12.816	1	50	38.870	2570	472	12	10	11.319	4.612	35.026	0.341	2.454	0.407	0.566
35	25	27.800	13.793	1	50	28.385	1477	487	12	6	10.679	2.981	25.082	0.390	3.583	0.279	0.602
36	44	11.955	5.890	4	31	34.042	2756	490	13	8	13.086	4.281	19.161	0.477	3.057	0.327	0.710
37	17	17.824	8.524	2	33	25.556	3955	495	11	5	10.377	2.086	26.264	0.327	4.975	0.201	0.576
38	22	28.318	17.540	2	67	18.728	1929	516	6	6	6.506	4.305	56.272	0.788	1.511	0.662	0.800
39	92	54.446	21.744	11	102	43.698	1476	527	16	12	17.767	6.593	31.097	0.605	2.695	0.371	0.800
40	490	61.649	29.178	1	159	127.296	178	538	44	29	49.361	12.639	27.068	0.380	3.905	0.256	0.756
41	46	29.065	11.104	6	53	26.728	2271	547	10	6	9.500	6.165	7.601	0.809	1.541	0.649	0.885
42	22	28.000	13.829	4	58	21.556	824	565	8	6	8.442	3.318	36.113	0.595	2.544	0.393	0.721
43	122	38.336	16.866	9	87	56.284	2633	584	22	12	20.409	7.611	26.783	0.484	2.681	0.373	0.753
44	357	50.650	23.998	2	119	79.841	220	596	26	22	27.243	16.685	41.454	0.704	1.633	0.612	0.887
