 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	135	21.778	10.956	1	55	58.042	1369	1	12	15	15.711	10.941	93.802	0.504	1.436	0.696	0.813
2	150	23.347	12.135	4	59	77.355	3787	1	27	15	18.212	10.487	162.972	0.315	1.737	0.576	0.624
3	20	15.650	6.368	4	28	17.314	1817	10	5	6	5.948	4.282	119.455	0.838	1.389	0.720	0.833
4	96	15.698	7.528	1	35	51.355	2722	39	16	13	12.536	9.750	7.328	0.457	1.286	0.778	0.671
5	18	16.333	11.256	0	43	22.142	2726	55	7	7	5.453	4.203	16.845	0.461	1.297	0.771	0.545
6	205	30.268	12.294	2	72	69.941	415	60	19	21	20.978	12.442	54.982	0.527	1.686	0.593	0.785
7	35	14.200	5.167	2	25	35.799	3710	64	7	10	10.625	4.194	60.690	0.343	2.533	0.395	0.667
8	119	21.471	10.559	0	49	52.042	3557	88	9	19	20.096	7.540	86.383	0.552	2.665	0.375	0.791
9	71	22.493	11.830	0	55	38.042	1546	137	10	14	15.793	5.724	60.439	0.617	2.759	0.362	0.780
10	23	13.000	5.126	4	22	23.556	3286	155	5	8	7.545	3.881	103.984	0.521	1.944	0.514	0.657
11	85	21.082	9.798	1	45	40.627	3951	157	11	14	14.992	7.219	51.354	0.647	2.077	0.482	0.783
12	353	23.762	11.439	2	58	91.740	2222	160	17	34	33.933	13.245	100.625	0.527	2.562	0.390	0.822
13	23	15.000	6.053	5	29	19.314	1382	161	6	6	7.410	3.952	55.724	0.775	1.875	0.533	0.836
14	246	27.240	11.558	1	54	63.941	3338	191	15	23	22.506	13.917	85.095	0.756	1.617	0.618	0.885
15	280	33.914	15.158	1	71	84.426	3364	217	19	29	30.749	11.594	61.561	0.494	2.652	0.377	0.780
16	1422	41.013	18.484	0	107	176.752	3422	279	49	53	59.243	30.561	49.443	0.572	1.938	0.516	0.856
17	156	15.006	7.778	1	42	68.770	1157	288	15	21	20.551	9.665	66.257	0.415	2.126	0.470	0.665
18	217	56.696	15.660	4	99	60.770	409	293	17	20	20.124	13.729	62.409	0.738	1.466	0.682	0.853
19	51	20.765	10.926	4	44	30.971	2826	296	10	9	9.924	6.543	24.108	0.668	1.517	0.659	0.767
20	75	23.707	10.492	4	50	37.213	3266	308	9	14	15.019	6.358	63.094	0.681	2.362	0.423	0.829
21	24	22.292	9.125	2	38	19.556	1659	319	6	7	6.674	4.579	42.151	0.789	1.458	0.686	0.750
22	3086	34.859	17.280	0	104	351.505	2003	339	50	117	105.871	37.113	94.900	0.314	2.853	0.351	0.731
23	69	19.797	8.976	4	49	40.042	3519	344	10	14	13.643	6.439	75.340	0.541	2.119	0.472	0.701
24	89	10.876	6.593	1	25	92.669	3273	361	14	20	15.722	7.207	65.109	0.130	2.181	0.458	0.429
25	153	17.922	8.079	2	37	54.770	3428	388	16	16	15.657	12.442	55.967	0.641	1.258	0.795	0.797
