 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	36	27.861	12.502	5	57	25.799	3867	42	8	8	8.520	5.380	51.086	0.680	1.584	0.631	0.742
2	134	25.067	12.206	1	58	47.456	3845	62	14	15	15.345	11.119	58.524	0.748	1.380	0.725	0.840
3	755	21.738	10.214	2	57	134.752	3662	97	32	38	35.957	26.734	67.322	0.522	1.345	0.744	0.824
4	191	35.691	16.955	0	93	67.941	1426	124	12	27	27.162	8.953	80.325	0.520	3.034	0.330	0.814
5	130	13.915	7.584	1	41	68.184	40	135	13	23	21.197	7.809	76.424	0.351	2.715	0.368	0.605
6	67	41.731	14.102	8	76	36.284	3783	153	13	10	10.500	8.125	27.558	0.640	1.292	0.774	0.757
7	19	16.000	8.459	6	31	22.971	35	158	7	7	6.761	3.578	49.980	0.453	1.890	0.529	0.576
8	33	24.879	10.337	7	47	26.385	3597	292	7	7	7.642	5.498	125.472	0.596	1.390	0.719	0.717
9	45	20.556	10.286	3	44	35.456	3940	321	9	11	9.548	6.001	49.447	0.450	1.591	0.629	0.634
10	151	30.119	13.195	1	67	52.870	3467	332	13	19	18.287	10.513	63.499	0.679	1.739	0.575	0.848
11	67	52.731	15.554	5	89	31.213	3509	363	10	10	9.919	8.600	30.055	0.864	1.153	0.867	0.848
12	163	19.092	10.398	2	56	81.255	146	376	27	14	24.149	8.594	165.044	0.310	2.810	0.356	0.664
13	36	12.444	5.531	2	24	25.314	500	378	10	5	10.586	4.330	10.668	0.706	2.445	0.409	0.867
14	317	46.713	17.767	4	99	75.012	3300	394	21	22	24.704	16.338	52.119	0.708	1.512	0.661	0.871
15	410	48.924	19.659	5	110	87.740	1331	403	22	29	28.947	18.034	65.986	0.669	1.605	0.623	0.854
16	205	42.054	22.680	2	89	83.397	2914	424	22	30	27.844	9.374	58.396	0.370	2.970	0.337	0.649
17	72	26.681	11.154	4	56	43.355	3607	465	13	11	11.066	8.284	169.283	0.481	1.336	0.749	0.682
18	26	25.808	8.314	5	48	22.142	3587	489	9	5	7.215	4.588	2.069	0.666	1.573	0.636	0.743
19	40	26.775	9.893	4	46	25.314	2856	501	7	7	7.856	6.483	86.594	0.784	1.212	0.825	0.870
20	189	41.958	15.415	1	89	58.527	3407	514	21	15	19.883	12.103	164.338	0.693	1.643	0.609	0.829
21	49	22.755	10.379	4	44	28.971	3746	528	7	11	9.966	6.260	90.575	0.734	1.592	0.628	0.824
22	19	14.842	8.675	3	35	21.556	503	567	6	8	8.480	2.853	58.537	0.514	2.972	0.336	0.667
23	176	27.892	16.111	1	78	57.941	3745	589	20	13	20.724	10.813	6.977	0.659	1.917	0.522	0.836
