 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	195	18.262	8.864	1	48	86.527	599	1	28	15	19.278	12.879	5.843	0.327	1.497	0.668	0.672
2	525	29.730	12.815	2	79	134.326	1317	1	50	17	44.445	15.040	2.503	0.366	2.955	0.338	0.825
3	3269	33.448	23.351	0	100	292.309	2879	1	111	43	100.309	41.494	179.437	0.481	2.417	0.414	0.930
4	2531	26.442	12.044	0	71	279.421	3921	1	44	90	97.436	33.074	97.087	0.407	2.946	0.339	0.807
5	3495	20.625	10.472	0	62	337.505	1768	5	69	87	83.951	53.007	112.645	0.386	1.584	0.631	0.841
6	3944	23.947	11.104	0	75	350.919	3787	23	71	84	75.501	66.511	72.677	0.402	1.135	0.881	0.885
7	81	58.444	16.572	7	96	35.213	2622	24	11	11	11.852	8.702	30.115	0.821	1.362	0.734	0.876
8	3642	23.442	10.880	0	64	313.605	1114	26	77	77	80.326	57.729	48.421	0.465	1.391	0.719	0.893
9	328	49.488	19.517	7	96	75.598	2049	33	24	21	24.818	16.827	39.667	0.721	1.475	0.678	0.894
10	1848	43.380	20.955	1	119	202.794	1208	35	53	66	68.620	34.290	59.151	0.565	2.001	0.500	0.850
11	23	17.826	9.925	0	43	18.728	3663	36	6	6	6.213	4.713	33.980	0.824	1.318	0.759	0.793
12	96	59.729	15.203	5	84	37.799	1270	41	11	12	12.893	9.480	127.485	0.844	1.360	0.735	0.885
13	33	16.030	6.111	5	30	24.971	2096	41	8	8	7.286	5.767	113.653	0.665	1.263	0.792	0.717
14	19	29.053	8.891	8	45	16.728	2105	49	6	5	6.357	3.806	159.019	0.853	1.670	0.599	0.792
15	38	34.079	11.119	13	58	26.142	2784	60	6	10	8.624	5.610	109.400	0.699	1.537	0.651	0.800
16	22	23.136	9.057	5	36	18.728	765	75	6	6	6.924	4.046	148.847	0.788	1.711	0.584	0.800
17	673	34.621	17.682	2	86	148.610	2912	75	41	35	39.641	21.616	145.807	0.383	1.834	0.545	0.721
18	26	11.692	7.929	1	27	22.142	751	106	6	7	7.248	4.567	97.567	0.666	1.587	0.630	0.743
19	595	39.126	21.836	0	96	108.468	1938	116	36	25	35.211	21.516	164.012	0.636	1.637	0.611	0.851
20	115	45.296	16.171	2	85	45.456	2378	121	12	15	14.030	10.436	69.435	0.699	1.344	0.744	0.839
21	111	78.937	20.184	10	113	41.698	2004	136	13	14	12.734	11.099	66.853	0.802	1.147	0.872	0.822
22	1200	32.567	14.744	1	90	183.238	3242	137	53	43	52.939	28.861	28.970	0.449	1.834	0.545	0.797
23	133	32.594	11.307	6	59	44.971	3918	137	13	12	13.738	12.326	44.953	0.826	1.115	0.897	0.917
24	286	36.493	16.121	3	72	72.184	2781	140	26	18	25.819	14.104	157.585	0.690	1.831	0.546	0.851
25	435	31.715	15.150	0	75	101.255	2379	142	19	37	34.889	15.875	95.612	0.533	2.198	0.455	0.825
26	190	45.400	20.529	2	93	57.941	529	146	16	19	17.624	13.726	97.665	0.711	1.284	0.779	0.824
27	27	27.370	8.381	7	42	20.485	1737	147	6	6	5.885	5.841	168.690	0.809	1.007	0.993	0.857
28	1323	36.366	17.640	0	99	169.823	2041	148	40	54	49.231	34.216	92.681	0.576	1.439	0.695	0.835
29	2865	25.669	12.093	0	77	298.492	3948	154	51	93	94.747	38.501	102.945	0.404	2.461	0.406	0.777
30	162	35.593	13.633	7	64	53.113	3540	158	13	18	17.338	11.896	83.649	0.722	1.457	0.686	0.842
31	41	24.220	11.161	3	49	24.142	3917	164	8	7	7.720	6.762	164.631	0.884	1.142	0.876	0.863
32	405	35.373	18.259	1	92	123.640	102	167	18	46	42.060	12.260	90.129	0.333	3.431	0.291	0.630
33	33	21.697	10.772	4	42	22.728	450	177	7	7	6.737	6.237	8.864	0.803	1.080	0.926	0.815
34	103	37.641	15.848	5	78	47.698	3407	193	11	18	16.542	7.928	110.402	0.569	2.086	0.479	0.780
35	418	35.105	16.287	2	77	83.740	2303	200	22	25	24.710	21.538	77.998	0.749	1.147	0.872	0.893
36	84	23.071	10.653	0	42	39.799	128	209	12	12	12.436	8.600	124.321	0.666	1.446	0.692	0.781
37	57	40.579	14.325	9	74	34.385	1146	217	9	11	9.147	7.934	48.539	0.606	1.153	0.867	0.760
38	1078	44.832	27.512	0	134	183.238	1916	218	60	33	55.867	24.568	169.367	0.403	2.274	0.440	0.796
39	2811	19.279	9.670	0	61	305.706	2419	221	76	59	71.524	50.040	17.743	0.378	1.429	0.700	0.865
40	371	41.146	18.905	1	91	81.983	3693	226	23	27	25.067	18.844	71.837	0.694	1.330	0.752	0.861
41	873	69.958	28.237	1	156	126.225	3268	229	28	45	45.679	24.334	90.699	0.689	1.877	0.533	0.884
42	164	50.970	17.827	1	95	51.456	840	230	15	16	15.551	13.428	42.494	0.778	1.158	0.864	0.854
43	648	15.610	8.706	0	48	177.823	627	231	36	33	30.488	27.062	60.986	0.258	1.127	0.888	0.708
44	87	35.391	15.789	4	75	38.042	1241	243	10	14	13.537	8.183	123.299	0.755	1.654	0.605	0.845
45	155	49.542	15.716	4	88	53.355	1701	254	15	16	14.832	13.305	40.567	0.684	1.115	0.897	0.833
46	19	37.263	11.751	18	54	15.899	1162	256	5	5	5.357	4.516	125.328	0.944	1.186	0.843	0.864
47	24	36.042	9.115	16	56	18.485	1175	263	6	5	6.586	4.640	2.673	0.883	1.419	0.704	0.889
48	3328	22.688	10.653	0	67	330.333	3194	263	65	89	86.574	48.945	111.871	0.383	1.769	0.565	0.839
49	736	23.632	11.273	0	61	150.610	3893	281	32	35	33.421	28.040	74.211	0.408	1.192	0.839	0.787
50	3449	40.071	22.999	0	119	297.078	840	293	73	83	76.395	57.483	63.442	0.491	1.329	0.752	0.832
51	1487	46.424	25.862	1	146	217.137	937	322	58	51	51.139	37.023	149.857	0.396	1.381	0.724	0.737
52	565	29.312	14.173	0	68	144.368	3889	323	40	28	38.417	18.725	21.485	0.341	2.052	0.487	0.731
