 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	22	27.727	14.217	1	54	20.142	3757	37	7	6	8.041	3.483	38.955	0.681	2.308	0.433	0.772
2	47	16.809	10.263	1	40	29.556	2965	51	10	8	9.888	6.052	37.307	0.676	1.634	0.612	0.758
3	61	23.656	11.904	0	55	47.456	1442	59	18	9	14.910	5.209	16.038	0.340	2.862	0.349	0.613
4	56	16.125	8.025	0	45	38.627	1396	66	13	10	14.677	4.858	31.699	0.472	3.021	0.331	0.704
5	433	19.654	10.325	1	63	99.154	3834	93	27	26	25.275	21.813	42.363	0.553	1.159	0.863	0.819
6	70	27.271	8.434	4	45	34.042	593	116	11	11	10.528	8.466	142.784	0.759	1.244	0.804	0.787
7	112	66.893	24.644	10	120	48.527	2022	147	17	13	18.732	7.613	35.576	0.598	2.461	0.406	0.789
8	420	20.483	10.600	1	51	123.054	2338	188	35	26	34.064	15.699	31.798	0.349	2.170	0.461	0.737
9	19	18.737	9.344	3	43	18.728	934	190	6	6	7.497	3.227	35.154	0.681	2.323	0.430	0.760
10	29	27.724	11.209	7	50	21.556	1115	191	7	7	7.986	4.623	33.181	0.784	1.727	0.579	0.806
11	109	28.440	13.957	2	72	48.870	3188	194	15	15	13.025	10.655	47.450	0.574	1.222	0.818	0.722
12	26	12.808	7.715	1	31	20.142	958	223	6	7	6.928	4.778	46.387	0.805	1.450	0.690	0.776
13	55	23.309	11.231	3	51	36.385	3869	262	10	11	12.053	5.810	65.795	0.522	2.075	0.482	0.696
14	84	45.988	17.833	7	97	41.456	377	263	15	11	16.812	6.362	35.658	0.614	2.643	0.378	0.804
15	16	22.188	6.950	5	34	15.899	105	280	4	6	5.750	3.543	77.235	0.795	1.623	0.616	0.865
16	41	11.585	5.094	1	22	34.627	680	286	10	10	10.976	4.756	53.901	0.430	2.308	0.433	0.621
17	164	38.463	14.198	7	71	57.941	3417	289	17	15	15.691	13.308	53.388	0.614	1.179	0.848	0.800
18	54	16.667	8.089	2	31	31.556	550	298	8	11	9.823	7.000	78.322	0.681	1.403	0.713	0.788
19	72	46.708	18.103	2	74	36.627	1238	345	13	10	15.590	5.880	36.732	0.674	2.651	0.377	0.818
20	18	22.500	7.891	11	39	19.556	13	396	6	7	7.206	3.181	53.956	0.591	2.265	0.441	0.667
21	1784	44.811	24.995	0	141	205.037	3729	396	60	56	63.762	35.624	39.796	0.533	1.790	0.559	0.876
22	80	15.062	7.580	1	36	63.355	139	412	22	11	19.780	5.150	161.323	0.250	3.841	0.260	0.539
23	73	37.027	14.459	3	72	36.870	1019	459	14	9	14.409	6.451	24.550	0.675	2.234	0.448	0.820
24	69	23.652	11.396	3	49	38.870	3598	500	11	14	10.447	8.409	109.981	0.574	1.242	0.805	0.701
25	124	24.444	13.347	4	64	61.598	549	524	23	13	23.645	6.677	21.890	0.411	3.541	0.282	0.717
26	20	19.300	9.476	5	32	22.142	3580	524	7	7	7.514	3.389	141.909	0.513	2.217	0.451	0.645
27	71	38.338	15.672	6	83	39.213	1381	532	12	11	12.658	7.142	42.688	0.580	1.772	0.564	0.768
28	96	27.562	10.673	4	55	38.627	3066	549	13	10	13.136	9.305	10.665	0.809	1.412	0.708	0.861
29	56	21.000	11.411	2	52	31.799	3608	558	12	8	9.522	7.488	12.060	0.696	1.272	0.786	0.767
30	52	28.558	10.824	2	55	30.385	3717	583	11	8	11.555	5.730	26.879	0.708	2.017	0.496	0.819
31	176	18.966	8.032	3	41	71.598	2641	598	21	18	22.783	9.836	41.497	0.431	2.316	0.432	0.741
32	5588	21.565	11.314	0	82	412.375	2434	605	101	91	99.324	71.633	32.985	0.413	1.387	0.721	0.869
33	30	15.667	6.666	2	32	21.799	946	623	8	7	6.901	5.535	24.782	0.793	1.247	0.802	0.750
34	18	19.278	8.050	3	31	16.728	3714	632	6	5	5.929	3.865	39.155	0.808	1.534	0.652	0.783
35	18	7.778	3.524	4	13	17.314	3704	640	7	4	7.232	3.169	177.044	0.755	2.282	0.438	0.783
36	94	20.979	10.752	1	47	46.042	2301	667	19	7	18.204	6.575	179.540	0.557	2.769	0.361	0.807
37	33	15.121	7.339	3	28	24.971	1512	686	9	7	7.746	5.425	3.835	0.665	1.428	0.700	0.717
38	26	12.154	5.676	3	25	22.728	1506	695	7	6	6.597	5.018	170.875	0.633	1.315	0.761	0.743
39	41	33.317	14.662	7	58	32.385	947	702	11	8	11.694	4.464	22.094	0.491	2.620	0.382	0.695
40	36	25.944	14.627	2	64	30.627	1412	709	11	9	11.858	3.866	37.381	0.482	3.067	0.326	0.649
41	405	16.360	8.061	0	42	124.953	1049	713	28	27	31.228	16.513	41.760	0.326	1.891	0.529	0.753
42	433	41.517	22.166	1	107	108.468	2402	744	35	33	42.273	13.042	39.663	0.462	3.241	0.309	0.799
43	34	22.176	10.273	2	42	27.799	124	753	11	7	11.640	3.719	31.400	0.553	3.130	0.320	0.747
44	54	31.815	13.482	5	66	28.728	3642	754	11	6	11.028	6.235	7.371	0.822	1.769	0.565	0.915
45	92	58.120	17.237	17	97	43.698	3224	767	16	12	17.951	6.525	33.781	0.605	2.751	0.364	0.814
46	19	30.737	10.359	10	47	18.728	827	776	7	5	6.763	3.577	21.401	0.681	1.891	0.529	0.760
47	56	45.625	17.167	8	78	30.971	2557	830	10	9	11.670	6.110	34.561	0.734	1.910	0.524	0.830
48	145	27.959	11.459	2	54	59.598	2569	834	20	15	21.346	8.649	32.060	0.513	2.468	0.405	0.746
49	32	22.625	10.197	4	43	24.971	484	873	9	7	8.689	4.689	32.979	0.645	1.853	0.540	0.744
50	539	45.709	22.689	3	133	105.397	1395	901	32	31	39.838	17.227	42.286	0.610	2.313	0.432	0.879
51	68	16.456	8.650	1	37	53.355	779	971	12	14	12.026	7.199	60.141	0.300	1.670	0.599	0.613
52	43	26.535	10.192	4	46	28.971	513	1058	11	7	11.545	4.742	25.520	0.644	2.434	0.411	0.761
53	24	9.583	5.649	2	27	21.556	3990	1104	8	6	7.021	4.352	172.178	0.649	1.613	0.620	0.706
54	5983	52.712	34.113	0	202	467.973	1	1106	137	91	124.265	61.303	21.398	0.343	2.027	0.493	0.813
55	132	67.091	21.033	22	108	49.113	1374	1108	18	13	18.431	9.119	31.499	0.688	2.021	0.495	0.841
56	304	38.766	22.374	2	102	87.740	1689	1108	22	28	30.924	12.517	59.447	0.496	2.471	0.405	0.774
57	68	27.779	13.041	5	66	38.042	80	1111	13	11	15.008	5.769	34.354	0.590	2.602	0.384	0.773
58	24	27.458	11.182	2	45	24.385	1437	1121	8	8	8.637	3.538	46.427	0.507	2.441	0.410	0.696
59	83	15.916	7.065	2	34	38.385	2354	1152	9	13	12.107	8.729	61.015	0.708	1.387	0.721	0.851
60	4567	23.858	11.350	0	82	404.860	2020	1162	97	82	107.503	54.091	37.209	0.350	1.987	0.503	0.863
61	161	53.373	17.623	11	92	52.284	512	1176	18	12	18.877	10.859	14.433	0.740	1.738	0.575	0.875
62	3816	48.906	26.152	1	135	342.877	1128	1200	121	50	120.904	40.186	1.084	0.408	3.009	0.332	0.808
63	107	41.935	15.199	2	80	40.870	3341	1213	12	13	12.912	10.551	82.995	0.805	1.224	0.817	0.843
64	40	35.725	15.630	8	78	26.971	3855	1266	9	8	10.192	4.997	31.296	0.691	2.039	0.490	0.784
65	110	71.200	24.709	17	139	49.113	2941	1279	19	12	19.335	7.244	28.436	0.573	2.669	0.375	0.821
66	18	23.722	10.504	2	45	19.314	2482	1282	8	4	8.693	2.636	22.274	0.606	3.297	0.303	0.750
67	283	51.830	25.023	2	118	81.497	2191	1295	24	24	29.220	12.331	42.276	0.535	2.370	0.422	0.795
68	17	27.118	11.645	7	48	15.071	3634	1323	5	4	5.666	3.820	15.652	0.941	1.483	0.674	0.919
69	63	39.444	12.466	10	65	36.042	3418	1376	14	9	11.225	7.146	14.548	0.609	1.571	0.637	0.737
70	44	39.977	14.516	8	64	26.385	1099	1380	9	8	10.077	5.559	35.497	0.794	1.813	0.552	0.838
71	97	44.247	15.905	3	80	50.284	3373	1389	19	11	18.022	6.853	30.234	0.482	2.630	0.380	0.773
72	36	37.806	13.420	9	73	27.213	1203	1414	10	8	11.244	4.077	37.712	0.611	2.758	0.363	0.774
73	114	50.728	18.378	7	87	47.456	300	1447	14	14	15.878	9.141	43.779	0.636	1.737	0.576	0.797
74	17	26.176	10.327	7	41	21.556	46	1475	7	7	7.666	2.823	39.009	0.460	2.715	0.368	0.607
75	1665	23.945	11.582	0	66	214.208	351	1475	64	41	62.012	34.186	4.130	0.456	1.814	0.551	0.812
76	27	19.556	9.146	2	36	23.556	1689	1476	9	6	9.108	3.774	29.278	0.611	2.413	0.414	0.750
77	27	29.407	12.795	5	54	21.314	222	1501	8	5	8.175	4.205	14.754	0.747	1.944	0.514	0.844
78	223	24.937	12.811	1	69	85.740	2402	1517	26	25	28.824	9.851	41.552	0.381	2.926	0.342	0.725
79	17	29.059	15.081	8	64	15.899	887	1524	6	4	6.635	3.262	22.010	0.845	2.034	0.492	0.872
80	170	65.918	23.522	9	117	58.770	2757	1525	21	16	22.374	9.674	33.382	0.619	2.313	0.432	0.819
81	240	19.679	8.561	1	44	72.184	2192	1604	23	19	23.870	12.802	24.367	0.579	1.865	0.536	0.784
82	371	26.340	12.468	0	75	100.225	2978	1605	30	26	32.742	14.427	36.737	0.464	2.270	0.441	0.799
83	72	37.944	14.648	4	72	39.698	1018	1689	14	12	15.194	6.034	34.260	0.574	2.518	0.397	0.766
84	90	80.833	23.990	0	134	39.456	2574	1757	15	10	15.300	7.490	23.573	0.726	2.043	0.490	0.849
85	88	27.284	12.699	3	56	42.284	419	1827	15	11	14.991	7.474	41.857	0.618	2.006	0.499	0.789
86	515	44.035	17.344	1	106	98.569	2847	1831	34	24	34.755	18.867	21.219	0.666	1.842	0.543	0.867
87	34	14.176	7.787	2	35	37.213	273	1846	12	7	9.005	4.807	2.172	0.309	1.873	0.534	0.544
88	169	19.917	10.575	1	56	82.326	1159	1859	17	26	25.402	8.471	63.551	0.313	2.999	0.333	0.625
89	24	17.750	6.110	6	28	21.314	2579	1860	4	9	8.754	3.491	79.897	0.664	2.508	0.399	0.828
90	31	16.548	6.767	2	31	23.314	3849	1882	9	5	8.584	4.598	13.678	0.717	1.867	0.536	0.816
91	290	52.179	26.692	1	144	84.326	2345	1895	31	20	31.144	11.856	26.063	0.512	2.627	0.381	0.813
92	2150	50.896	28.174	1	145	227.179	1252	1933	60	58	62.810	43.583	36.672	0.523	1.441	0.694	0.859
93	94	27.468	12.535	2	60	40.284	1736	1947	14	12	12.397	9.654	25.463	0.728	1.284	0.779	0.821
94	3814	49.463	32.769	0	170	355.546	283	1984	101	96	116.128	41.817	43.295	0.379	2.777	0.360	0.834
95	56	19.232	9.363	4	37	30.385	918	2017	8	10	8.969	7.949	101.245	0.762	1.128	0.886	0.830
96	21	26.095	10.972	9	45	20.728	3977	2040	8	5	8.048	3.322	27.140	0.614	2.422	0.413	0.792
97	23	22.261	12.012	7	53	18.485	3125	2046	7	4	6.781	4.319	14.756	0.846	1.570	0.637	0.902
98	54	40.722	16.182	5	81	36.385	1325	2101	15	7	15.381	4.470	18.479	0.513	3.441	0.291	0.766
99	423	14.728	7.342	0	41	118.468	2138	2107	26	28	27.749	19.409	54.703	0.379	1.430	0.699	0.770
100	758	54.860	24.685	0	121	132.024	715	2115	40	34	39.734	24.290	36.084	0.546	1.636	0.611	0.819
101	55	46.636	14.438	7	77	30.971	602	2141	10	9	11.632	6.020	37.960	0.721	1.932	0.518	0.821
102	42	35.690	16.172	1	64	28.385	187	2144	9	8	10.009	5.343	26.388	0.655	1.873	0.534	0.771
103	156	29.231	16.006	1	75	78.083	3972	2147	27	21	29.797	6.666	41.071	0.322	4.470	0.224	0.615
104	199	59.402	20.583	5	104	61.355	3309	2192	21	17	21.852	11.595	39.780	0.664	1.885	0.531	0.841
105	53	54.943	23.073	11	107	35.456	1571	2210	14	9	15.445	4.369	28.841	0.530	3.535	0.283	0.763
106	43	63.047	22.036	18	110	27.213	498	2258	10	8	10.717	5.109	33.021	0.730	2.098	0.477	0.804
107	74	31.824	13.725	1	65	45.113	715	2274	16	13	15.991	5.892	36.026	0.457	2.714	0.368	0.682
108	1128	32.810	15.920	1	89	201.137	2227	2287	68	34	66.455	21.612	21.065	0.350	3.075	0.325	0.803
109	426	40.962	20.256	0	101	94.811	85	2347	35	22	33.007	16.433	20.526	0.596	2.009	0.498	0.839
110	85	35.435	15.805	2	65	41.698	3618	2366	15	10	12.743	8.493	1.865	0.614	1.500	0.666	0.762
111	22	21.818	10.017	5	38	18.728	439	2418	6	6	5.581	5.019	54.091	0.788	1.112	0.899	0.772
112	71	41.986	15.405	11	74	36.385	2469	2422	9	13	11.233	8.048	74.860	0.674	1.396	0.716	0.772
113	16	10.500	5.441	3	21	15.071	342	2427	6	3	6.103	3.338	5.780	0.885	1.828	0.547	0.941
114	245	68.620	32.223	7	146	80.083	2610	2435	28	20	30.061	10.377	31.405	0.480	2.897	0.345	0.794
115	33	13.424	7.276	2	32	24.728	713	2460	8	7	7.197	5.838	32.051	0.678	1.233	0.811	0.776
116	23	29.391	11.953	11	63	18.728	2731	2467	7	5	7.434	3.940	23.416	0.824	1.887	0.530	0.821
117	1223	59.130	35.132	1	202	190.066	256	2480	46	43	43.031	36.188	63.307	0.425	1.189	0.841	0.759
118	124	33.016	17.371	3	73	65.255	1546	2483	20	16	22.627	6.977	33.330	0.366	3.243	0.308	0.703
