 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	380	65.084	24.681	10	142	79.598	3633	1	27	18	27.481	17.606	1.952	0.754	1.561	0.641	0.915
2	137	102.883	28.635	44	165	46.870	3661	52	17	12	17.566	9.930	26.864	0.784	1.769	0.565	0.873
3	39	40.103	10.420	5	56	24.971	106	60	9	7	8.168	6.080	27.214	0.786	1.344	0.744	0.812
4	92	48.380	17.352	11	84	42.042	503	84	14	11	12.313	9.513	18.715	0.654	1.294	0.773	0.786
5	40	22.500	10.231	3	42	32.627	1887	84	8	11	8.483	6.004	96.867	0.472	1.413	0.708	0.620
6	31	22.774	10.579	4	43	26.385	3661	90	10	6	10.123	3.899	22.659	0.560	2.596	0.385	0.713
7	27	32.519	12.571	12	58	21.556	925	92	7	7	8.181	4.202	34.023	0.730	1.947	0.514	0.761
8	35	36.000	11.606	8	59	26.385	1931	95	10	7	9.757	4.567	29.797	0.632	2.136	0.468	0.753
9	44	18.386	8.782	4	41	34.042	3651	97	13	8	13.336	4.201	21.935	0.477	3.175	0.315	0.677
10	28	19.607	10.737	4	38	22.142	1200	99	8	6	7.647	4.662	11.259	0.718	1.640	0.610	0.757
11	29	21.276	10.690	1	42	20.142	130	122	6	7	7.069	5.223	68.354	0.898	1.353	0.739	0.829
12	88	24.864	9.447	2	55	44.870	1253	127	12	12	10.692	10.479	10.052	0.549	1.020	0.980	0.718
13	17	32.882	11.101	17	55	16.728	3325	150	7	4	6.740	3.211	25.657	0.763	2.099	0.476	0.791
14	25	39.360	14.338	10	75	22.728	3379	166	8	6	7.333	4.341	167.034	0.608	1.689	0.592	0.704
15	38	24.711	10.356	5	44	24.971	78	168	8	8	8.910	5.430	53.694	0.766	1.641	0.609	0.817
16	41	27.098	10.185	8	45	31.213	3620	192	13	6	11.688	4.467	178.772	0.529	2.617	0.382	0.713
17	101	75.208	26.073	18	122	41.456	2227	201	14	12	15.311	8.399	34.198	0.739	1.823	0.549	0.831
18	40	24.700	11.230	2	52	26.971	937	215	9	8	10.086	5.050	44.068	0.691	1.997	0.501	0.825
19	70	24.871	13.813	2	67	40.042	3224	224	11	11	10.051	8.867	43.218	0.549	1.134	0.882	0.725
20	19	29.737	13.527	8	55	18.728	1076	247	6	6	7.172	3.373	43.245	0.681	2.127	0.470	0.745
21	183	36.251	15.937	3	89	55.113	2828	253	17	17	17.034	13.679	43.281	0.757	1.245	0.803	0.853
22	69	43.507	13.125	8	67	33.213	938	262	11	10	11.534	7.617	34.466	0.786	1.514	0.660	0.826
23	119	22.916	11.302	4	55	48.042	1662	269	13	14	13.793	10.985	41.422	0.648	1.256	0.796	0.801
24	149	25.738	12.368	4	67	49.698	1037	270	15	16	14.723	12.886	65.645	0.758	1.143	0.875	0.844
25	51	26.765	10.659	5	45	28.385	2897	272	8	10	11.422	5.685	53.353	0.795	2.009	0.498	0.857
26	170	32.741	13.556	6	65	57.355	1581	289	17	16	17.181	12.598	30.317	0.649	1.364	0.733	0.815
27	24	22.792	10.177	6	45	22.385	338	303	8	7	8.872	3.444	37.164	0.602	2.576	0.388	0.706
28	56	25.804	11.606	3	47	32.627	1033	304	11	9	10.054	7.092	12.967	0.661	1.418	0.705	0.757
29	167	32.808	15.633	3	84	59.598	1173	321	22	16	24.542	8.664	36.792	0.591	2.833	0.353	0.813
30	151	49.629	20.866	6	106	55.941	1145	338	19	12	18.178	10.576	9.521	0.606	1.719	0.582	0.799
31	32	38.812	13.632	12	61	28.142	1053	358	12	5	10.471	3.891	20.423	0.508	2.691	0.372	0.744
32	75	17.733	8.915	1	41	36.627	3574	374	12	10	12.615	7.570	34.008	0.703	1.666	0.600	0.802
33	151	38.675	19.360	3	96	67.355	1076	385	27	14	25.210	7.626	28.572	0.418	3.306	0.303	0.707
34	73	30.055	11.886	6	59	39.799	1584	398	15	8	15.532	5.984	20.685	0.579	2.596	0.385	0.781
35	77	30.468	13.155	7	67	40.284	3577	408	14	12	15.293	6.411	44.485	0.596	2.386	0.419	0.748
36	29	33.034	15.053	8	70	21.799	3848	408	8	7	6.975	5.294	45.424	0.767	1.317	0.759	0.744
37	34	22.824	12.219	4	43	24.971	2588	467	8	8	7.962	5.437	39.486	0.685	1.464	0.683	0.756
38	324	97.731	42.020	8	193	90.426	134	468	38	14	36.178	11.403	179.519	0.498	3.173	0.315	0.817
39	471	68.234	28.016	4	135	102.326	3711	476	37	21	35.110	17.080	12.423	0.565	2.056	0.486	0.840
40	494	76.213	31.172	0	157	91.740	585	480	33	23	32.582	19.304	16.569	0.738	1.688	0.592	0.885
41	95	22.147	11.105	3	56	53.941	2934	494	15	15	14.751	8.200	37.450	0.410	1.799	0.556	0.648
42	1387	50.076	24.409	1	129	173.924	2212	497	56	38	50.742	34.803	9.793	0.576	1.458	0.686	0.870
43	75	62.947	27.453	7	110	42.042	398	526	14	12	14.686	6.503	33.008	0.533	2.258	0.443	0.739
44	104	26.183	11.449	4	49	40.627	873	529	14	10	13.170	10.055	9.502	0.792	1.310	0.763	0.874
45	22	20.909	8.970	2	39	30.385	2845	529	12	4	10.710	2.615	7.401	0.299	4.095	0.244	0.579
46	104	32.827	15.031	2	68	46.627	669	530	18	10	18.572	7.130	14.399	0.601	2.605	0.384	0.839
47	116	29.966	11.672	2	65	47.113	1147	531	15	15	13.927	10.605	65.139	0.657	1.313	0.762	0.773
48	42	49.643	15.914	10	78	27.213	1369	531	11	7	10.931	4.892	26.083	0.713	2.234	0.448	0.832
49	2687	35.428	14.446	0	100	243.865	214	547	65	60	62.513	54.728	5.700	0.568	1.142	0.875	0.891
50	41	45.463	17.855	3	81	29.213	810	567	10	8	9.930	5.257	24.566	0.604	1.889	0.529	0.732
51	287	22.362	10.284	3	56	82.912	118	607	24	20	23.664	15.442	28.870	0.525	1.532	0.653	0.805
52	44	28.727	13.309	6	55	36.870	1964	609	15	7	13.755	4.073	16.491	0.407	3.377	0.296	0.624
53	34	30.382	12.882	7	65	22.142	1477	626	8	6	8.811	4.913	18.783	0.871	1.793	0.558	0.861
54	181	60.006	21.995	8	114	54.770	1199	631	17	17	15.937	14.461	118.203	0.758	1.102	0.907	0.830
55	30	34.833	10.306	21	57	21.556	1262	631	8	6	8.383	4.557	22.007	0.811	1.840	0.544	0.800
56	123	19.545	11.989	2	63	48.284	1503	652	18	11	16.991	9.217	21.501	0.663	1.843	0.542	0.812
57	20	31.050	9.179	15	52	16.728	3691	659	6	5	6.139	4.148	32.704	0.898	1.480	0.676	0.851
58	33	27.727	13.494	7	59	29.556	1327	667	8	9	8.802	4.774	27.706	0.475	1.844	0.542	0.629
59	67	31.851	12.947	4	57	35.213	3293	669	10	11	11.738	7.267	49.931	0.679	1.615	0.619	0.788
60	139	46.547	17.307	9	93	57.113	3132	695	19	11	18.492	9.570	1.883	0.535	1.932	0.518	0.777
61	104	15.933	10.114	1	47	66.770	1325	703	18	15	15.005	8.825	41.917	0.293	1.700	0.588	0.608
62	346	14.699	7.953	1	44	113.054	1411	769	26	23	23.558	18.700	49.876	0.340	1.260	0.794	0.719
63	45	38.089	14.022	9	66	27.799	1962	775	10	7	9.836	5.825	14.928	0.732	1.689	0.592	0.783
64	29	24.069	9.794	5	42	25.799	3923	795	9	6	7.387	4.998	9.795	0.548	1.478	0.677	0.652
65	134	18.866	9.349	1	44	47.799	3987	796	12	16	16.173	10.550	61.517	0.737	1.533	0.652	0.865
66	20	20.950	9.633	4	37	21.314	1237	799	7	6	5.577	4.566	170.884	0.553	1.221	0.819	0.690
67	56	44.107	13.698	3	72	30.971	753	803	11	8	11.592	6.151	35.725	0.734	1.885	0.531	0.842
68	39	30.821	14.795	5	56	35.213	1703	809	13	8	13.885	3.576	23.854	0.395	3.883	0.258	0.600
69	303	57.700	31.332	3	135	118.125	1586	811	39	29	39.227	9.835	29.285	0.273	3.989	0.251	0.598
70	19	23.526	10.389	7	48	18.142	3429	844	7	5	6.781	3.567	32.635	0.725	1.901	0.526	0.745
71	56	22.857	10.589	8	50	38.385	683	850	11	11	11.876	6.004	31.934	0.478	1.978	0.506	0.696
72	142	17.486	7.773	2	32	53.941	878	876	20	12	18.730	9.653	12.921	0.613	1.940	0.515	0.814
73	36	28.000	9.261	8	45	25.314	2021	891	9	6	9.546	4.801	23.664	0.706	1.988	0.503	0.809
74	25	22.080	11.146	4	52	24.971	879	909	8	8	8.702	3.658	42.268	0.504	2.379	0.420	0.641
75	154	15.071	8.225	0	34	96.912	823	922	18	20	15.419	12.717	49.129	0.206	1.213	0.825	0.548
76	444	20.050	9.623	1	54	105.154	3959	926	28	24	26.047	21.704	34.547	0.505	1.200	0.833	0.828
77	52	46.538	16.526	7	69	29.556	548	936	11	7	11.509	5.753	23.209	0.748	2.001	0.500	0.852
78	115	21.557	8.835	2	48	51.698	2601	947	17	12	17.468	8.382	21.157	0.541	2.084	0.480	0.772
79	1552	44.463	23.143	2	130	174.752	2345	950	45	54	58.619	33.710	50.719	0.639	1.739	0.575	0.895
80	19	36.053	14.254	6	62	16.728	405	963	7	4	6.672	3.626	21.851	0.853	1.840	0.543	0.844
81	24	40.750	16.087	17	70	24.971	2297	970	10	5	8.831	3.460	25.180	0.484	2.552	0.392	0.686
82	150	29.640	14.931	2	77	53.698	2578	989	19	13	18.367	10.398	21.560	0.654	1.766	0.566	0.831
83	17	22.765	10.238	8	37	18.142	3989	991	7	4	6.696	3.232	11.482	0.649	2.072	0.483	0.723
84	17	16.000	6.334	5	28	17.314	595	993	5	6	5.524	3.919	83.351	0.713	1.410	0.709	0.739
85	503	34.837	16.480	1	89	98.326	2605	1004	32	22	30.679	20.875	1.292	0.654	1.470	0.680	0.870
86	159	54.170	18.286	14	114	55.941	1941	1012	20	13	18.212	11.116	13.478	0.638	1.638	0.610	0.826
87	19	16.895	6.903	4	31	20.728	384	1033	7	6	5.966	4.055	42.633	0.556	1.471	0.680	0.633
88	21	25.476	7.897	9	38	17.657	271	1042	7	3	7.899	3.385	0.000	0.846	2.333	0.429	1.000
89	86	20.872	9.754	2	45	52.284	1248	1050	16	10	12.256	8.934	1.732	0.395	1.372	0.729	0.680
90	16	29.750	11.739	7	50	16.728	313	1067	6	5	5.928	3.437	23.187	0.719	1.725	0.580	0.744
91	571	30.685	13.661	0	78	120.125	1991	1081	32	34	34.629	20.995	42.762	0.497	1.649	0.606	0.797
92	197	21.635	12.005	1	66	69.012	3820	1116	21	16	21.578	11.624	18.805	0.520	1.856	0.539	0.779
93	26	31.769	12.018	5	48	20.971	2367	1130	8	6	9.047	3.659	32.052	0.743	2.472	0.404	0.788
94	498	24.325	12.712	2	63	105.640	1691	1147	29	29	34.075	18.608	39.910	0.561	1.831	0.546	0.840
95	26	25.692	8.484	6	38	21.314	2619	1154	8	5	7.964	4.157	23.839	0.719	1.916	0.522	0.825
96	132	15.409	7.511	1	41	53.941	3920	1156	17	14	17.209	9.766	34.645	0.570	1.762	0.567	0.759
97	28	28.214	13.753	3	55	21.556	1761	1169	9	5	8.290	4.301	21.780	0.757	1.928	0.519	0.836
98	23	27.609	10.629	5	50	23.556	107	1170	9	6	9.324	3.141	34.371	0.521	2.969	0.337	0.687
99	17	16.471	7.169	4	27	18.142	268	1174	6	6	6.394	3.385	37.472	0.649	1.889	0.529	0.667
