 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	25	12.640	5.957	2	22	30.728	2475	41	9	8	6.941	4.586	13.207	0.333	1.514	0.661	0.490
2	170	13.518	6.533	0	31	102.225	2447	49	33	23	34.276	6.315	35.002	0.204	5.428	0.184	0.522
3	81	16.235	9.126	1	42	36.971	1531	74	11	11	12.521	8.236	47.734	0.745	1.520	0.658	0.853
4	851	42.000	18.315	2	116	144.711	2390	76	25	54	52.267	20.731	95.354	0.511	2.521	0.397	0.857
5	22	15.864	8.020	1	31	32.627	1455	78	8	7	5.699	4.915	19.227	0.260	1.160	0.862	0.484
6	62	11.677	5.437	1	24	44.870	1446	88	13	11	11.783	6.700	27.769	0.387	1.759	0.569	0.608
7	166	31.355	13.184	6	70	52.870	3902	113	16	16	17.307	12.212	44.161	0.746	1.417	0.706	0.849
8	18	20.944	9.879	2	39	20.485	1123	146	3	9	7.910	2.897	88.193	0.539	2.730	0.366	0.800
9	409	26.362	13.006	1	63	126.368	2307	154	23	40	39.575	13.159	75.289	0.322	3.007	0.333	0.716
10	162	56.580	15.506	4	103	48.870	1370	157	14	16	15.822	13.036	93.231	0.852	1.214	0.824	0.895
11	2405	15.523	8.446	0	51	325.848	569	160	49	79	72.964	41.968	78.249	0.285	1.739	0.575	0.803
12	206	36.956	16.042	2	84	67.698	1511	161	13	27	25.220	10.400	76.989	0.565	2.425	0.412	0.837
13	162	37.222	13.380	5	73	51.456	3960	193	12	19	18.162	11.357	82.769	0.769	1.599	0.625	0.883
14	379	46.166	15.880	4	109	87.497	1777	194	20	30	30.542	15.800	75.322	0.622	1.933	0.517	0.837
15	265	13.204	7.865	0	38	108.468	1563	200	22	26	20.519	16.443	86.313	0.283	1.248	0.801	0.676
16	454	30.595	14.218	2	72	95.497	493	203	27	26	29.086	19.874	43.194	0.626	1.463	0.683	0.843
17	70	20.957	10.017	3	47	41.213	3037	204	7	17	17.015	5.238	72.022	0.518	3.248	0.308	0.800
18	92	18.685	9.396	1	45	53.355	169	211	12	20	19.367	6.048	64.668	0.406	3.202	0.312	0.713
19	288	52.774	19.667	4	104	75.355	394	231	16	28	27.879	13.153	79.695	0.637	2.120	0.472	0.862
20	100	16.830	7.080	2	35	69.598	969	247	14	16	13.770	9.246	78.444	0.259	1.489	0.671	0.595
21	137	42.453	13.812	8	70	45.456	3233	275	14	14	14.306	12.193	51.177	0.833	1.173	0.852	0.875
22	118	28.737	12.304	7	61	49.113	2151	276	13	18	17.621	8.526	60.088	0.615	2.067	0.484	0.787
23	18	16.444	10.042	3	35	19.314	1117	293	4	7	6.353	3.608	74.767	0.606	1.761	0.568	0.735
24	1429	60.102	32.581	0	142	164.024	180	317	42	51	55.871	32.565	58.343	0.667	1.716	0.583	0.915
25	68	28.412	13.885	4	61	33.799	1079	334	7	14	13.991	6.188	76.688	0.748	2.261	0.442	0.866
26	54	18.296	9.438	1	41	29.556	2389	334	8	9	9.562	7.190	80.578	0.777	1.330	0.752	0.844
27	21	16.524	6.121	4	26	25.314	1270	335	9	6	7.255	3.685	41.992	0.412	1.969	0.508	0.583
28	3843	17.755	9.600	0	73	387.061	1668	336	61	103	101.041	48.427	71.771	0.322	2.086	0.479	0.864
29	76	25.053	8.509	3	48	44.284	2233	338	11	13	10.995	8.801	86.424	0.487	1.249	0.800	0.704
30	22	9.409	4.837	2	18	22.971	1986	345	5	9	7.430	3.770	92.254	0.524	1.971	0.507	0.710
