 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	267	57.521	27.432	7	131	89.640	3508	8	27	29	33.560	10.130	45.884	0.418	3.313	0.302	0.786
2	16	23.500	13.663	6	48	14.485	416	25	5	4	5.429	3.752	37.982	0.958	1.447	0.691	0.889
3	21	24.238	11.536	5	54	21.556	2002	38	8	6	9.050	2.955	37.052	0.568	3.063	0.326	0.712
4	253	27.130	11.717	1	54	81.255	3711	60	18	28	28.994	11.110	67.116	0.482	2.610	0.383	0.754
5	112	22.571	9.359	1	47	51.698	3835	63	16	12	16.127	8.843	23.337	0.527	1.824	0.548	0.749
6	37	18.216	9.059	4	34	24.728	3795	95	8	7	8.063	5.842	29.213	0.760	1.380	0.725	0.841
7	1037	20.740	11.861	0	75	174.409	609	100	48	38	44.384	29.749	33.525	0.428	1.492	0.670	0.815
8	56	16.732	8.660	0	42	35.213	169	140	8	12	11.297	6.311	96.805	0.568	1.790	0.559	0.732
9	44	13.818	7.509	2	29	37.456	3369	142	14	8	12.371	4.529	20.215	0.394	2.732	0.366	0.633
10	376	36.731	18.748	1	107	116.711	1899	160	29	35	39.265	12.192	55.796	0.347	3.220	0.311	0.706
11	36	33.194	12.888	8	53	30.627	898	189	11	9	11.535	3.974	32.234	0.482	2.903	0.344	0.706
12	115	16.704	8.766	3	41	70.083	3850	193	22	18	22.562	6.490	40.282	0.294	3.477	0.288	0.594
13	527	52.653	27.911	0	141	143.581	1275	222	48	41	55.836	12.017	40.255	0.321	4.646	0.215	0.754
14	294	42.663	19.587	2	109	77.497	1174	228	22	22	20.638	18.138	35.418	0.615	1.138	0.879	0.813
15	49	17.755	11.982	1	41	41.456	3941	242	11	13	12.867	4.849	51.129	0.358	2.654	0.377	0.560
16	362	27.522	13.869	3	70	100.811	291	261	35	23	34.818	13.238	32.533	0.448	2.630	0.380	0.811
17	16	18.188	7.670	3	32	15.314	1390	275	6	4	6.196	3.288	34.276	0.857	1.884	0.531	0.842
