 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	4287	19.800	9.649	0	64	332.007	1051	1	70	82	84.793	64.373	95.852	0.489	1.317	0.759	0.899
2	3220	42.732	23.428	1	116	267.865	2032	1	69	64	74.157	55.286	34.017	0.564	1.341	0.746	0.884
3	406	21.281	11.510	0	55	154.468	3513	1	48	22	38.818	13.317	21.822	0.214	2.915	0.343	0.609
4	163	51.748	17.345	10	97	58.426	703	13	16	22	22.426	9.255	53.968	0.600	2.423	0.413	0.827
5	8048	31.227	18.397	0	101	543.813	3323	15	132	143	170.076	60.250	48.493	0.342	2.823	0.354	0.884
6	2015	54.040	32.863	0	150	199.238	1487	20	48	63	56.506	45.404	83.368	0.638	1.245	0.804	0.875
7	35	15.829	8.248	0	31	24.142	986	24	7	8	8.499	5.243	55.855	0.755	1.621	0.617	0.805
8	190	20.395	9.480	2	48	84.083	633	56	20	25	27.137	8.914	57.742	0.338	3.044	0.328	0.664
9	515	30.272	13.596	2	64	104.468	2495	57	25	38	39.566	16.573	65.800	0.593	2.387	0.419	0.868
10	50	16.840	7.750	3	36	29.556	2218	59	6	12	11.831	5.381	77.810	0.719	2.199	0.455	0.862
11	625	13.746	7.050	0	50	236.451	2389	60	32	43	33.374	23.844	92.553	0.140	1.400	0.714	0.599
12	221	28.041	12.896	2	60	60.527	2262	61	15	22	20.493	13.731	88.569	0.758	1.492	0.670	0.872
13	82	29.744	10.359	10	50	37.213	3542	64	9	14	13.060	7.994	89.630	0.744	1.634	0.612	0.854
14	22	7.864	6.756	0	26	17.314	2418	66	6	5	6.266	4.471	0.000	0.922	1.402	0.713	0.846
15	99	33.545	10.948	4	54	38.385	3889	69	10	13	12.676	9.944	74.793	0.844	1.275	0.784	0.896
16	664	14.839	8.734	0	50	157.338	1223	75	28	44	40.954	20.643	69.678	0.337	1.984	0.504	0.760
17	248	27.665	12.564	3	63	87.983	3240	82	24	29	32.564	9.697	52.660	0.403	3.358	0.298	0.737
18	147	12.925	6.518	1	33	112.326	2505	95	14	25	16.657	11.236	85.114	0.146	1.482	0.675	0.515
19	76	37.658	12.780	10	64	35.799	2609	109	9	12	12.054	8.027	71.810	0.745	1.502	0.666	0.835
20	17	8.529	4.389	1	18	23.556	2503	119	7	7	4.886	4.430	113.073	0.385	1.103	0.907	0.515
21	38	23.658	10.354	7	48	23.556	497	130	8	7	8.233	5.877	134.284	0.861	1.401	0.714	0.864
22	123	56.423	19.442	7	108	45.456	1045	138	10	17	16.955	9.237	76.933	0.748	1.836	0.545	0.882
23	1868	41.112	22.101	1	129	249.907	1183	145	41	72	65.655	36.226	85.785	0.376	1.812	0.552	0.827
24	290	14.848	8.885	1	47	121.640	3663	148	23	27	24.616	15.000	52.033	0.246	1.641	0.609	0.606
