Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.1531795320528072,8.455364998243551,273.77130956651087,409.15905353429,0.1921887379274017,1441.2772995555422,999.9749982927239
0.4499999999999999,0.4595455698020597,8.446247352969296,273.5958297543137,409.0082616249389,0.192107706826673,1441.244378512302,999.9769941415753
0.7499999999999998,0.7659089429793986,8.470983590864497,273.83357712710193,409.0611445339202,0.1921520301326543,1441.351149940323,999.9768034303096
1.05,1.0722721625192109,8.4693197086966,273.8525336588004,409.1097997244968,0.1921732818505885,1441.3490886512234,999.9783779461587
1.35,1.378634889062179,8.461106100328385,273.8374729071416,409.1877179524173,0.1922034515518895,1441.320047926961,999.9804025898065
1.65,1.6849970720661769,8.45467262063686,273.8364413601615,409.26486482973775,0.1922346602958675,1441.2983390959585,999.982307059004
1.95,1.9913588670896567,8.461087770103735,273.87886561011794,409.2497941068412,0.1922315676249885,1441.3295425444842,999.9833162136318
2.25,2.297720306223817,8.45746412450381,273.8631853713836,409.2706852382302,0.1922378435008197,1441.3193831571075,999.9850111969846
2.55,2.604081260026632,8.451327333415142,273.8115995653372,409.26866195205014,0.1922310453329232,1441.2988461982347,999.9868653721704
2.85,2.9104417155212614,8.446713246198108,273.8209138401804,409.3390459992443,0.1922604316393814,1441.284629260973,999.9886450809987
3.15,3.2168014039632267,8.41443457411902,273.5823676007467,409.3775206548737,0.192252271445405,1441.1562569872865,999.9922536883091
3.45,3.52316009338605,8.3864956289024,273.35452163705725,409.3788768300926,0.1922295777156952,1441.0456791830325,999.9955477501014
3.75,3.8295181149878816,8.386394369073388,273.3448944104919,409.3657005736711,0.1922222043714735,1441.0500177477045,999.9969942452168
4.05,4.135875773643924,8.388752510425908,273.3896749581812,409.4038477071179,0.1922415927209015,1441.0645447464078,999.9982980161344
4.35,4.442233080675711,8.389906948566049,273.4061436928057,409.4143540351305,0.1922466652967463,1441.0740835811998,999.9996706072592
4.65,4.74859000206727,8.38884210199517,273.41612653858306,409.4423605696781,0.192258405626145,1441.0744684833917,1000.0011964513808
4.949999999999999,5.054946502837551,8.386798100648848,273.43638085584,409.4977602097848,0.1922825870893894,1441.070826405478,1000.0027974177028
5.249999999999999,5.361302598477759,8.387085869694914,273.4368508695178,409.4949345634765,0.192280524875091,1441.0767781697573,1000.0042221374742
5.55,5.667658292650893,8.385163448891062,273.43041598534404,409.50887720519216,0.1922847831332844,1441.0736122698083,1000.0057991985566
5.85,5.974013597789959,8.386727734348675,273.44682497093623,409.5142643907728,0.1922877135296995,1441.0848412268483,1000.0071427576138
6.15,6.280368541124688,8.38723273132268,273.4298091543482,409.48258778246446,0.192271893710015,1441.0916724512167,1000.0085420591264
6.449999999999999,6.58672310294023,8.386829440156907,273.4280193129124,409.4848536052356,0.1922717347298912,1441.0947734659187,1000.0100143314896
6.749999999999999,6.8930772467431245,8.38414492034288,273.433058532746,409.52532884274575,0.1922881923440683,1441.088476233729,1000.0116518858996
7.049999999999999,7.199430941907153,8.38086878059988,273.4257239863882,409.5545352392032,0.1922987310356367,1441.079727533721,1000.0133241087772
7.35,7.505784207008322,8.379906310865966,273.43178242584025,409.57541923482216,0.192307111998239,1441.080529943636,1000.014840398903
7.649999999999999,7.812137080658859,8.38043329322904,273.45381945954944,409.6019621096671,0.1923194243330556,1441.0874883246868,1000.0162605499156
