% Device,CC1841005
% File name,CC1841005_20210109_184338
% Cast time (UTC),2021-01-09 18:43:38
% Cast time (local),2021-01-09 13:43:38
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,29.1278663
% Start longitude,-89.2610856
% Start altitude,-25.207000732421875
% Start GPS horizontal error(Meter),10.100000381469727
% Start GPS vertical error(Meter),10.309000015258789
% Start GPS number of satellites,5
% End latitude,29.1219589
% End longitude,-89.2624061
% End altitude,-13.281000137329102
% End GPS horizontal error(Meter),57.054000854492188
% End GPS vertical error(Meter),68.98699951171875
% End GPS number of satellites,5
% Cast duration (Seconds),862.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2018-11-19
% Temperature calibration date,2018-11-16
% Pressure calibration date,2018-11-13
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15317953205280721,8.4553649982435513,273.77130956651092,409.15905353429,0.19218873792740174,1441.2772995555422,999.97499829272385
0.44999999999999996,0.45954556980205974,8.4462473529692961,273.59582975431368,409.00826162493888,0.19210770682667303,1441.2443785123021,999.97699414157546
0.74999999999999989,0.7659089429793986,8.4709835908644973,273.83357712710193,409.06114453392024,0.19215203013265439,1441.351149940323,999.9768034303097
1.05,1.0722721625192107,8.4693197086966,273.85253365880038,409.10979972449678,0.19217328185058857,1441.3490886512234,999.97837794615873
1.35,1.3786348890621787,8.4611061003283865,273.8374729071416,409.18771795241724,0.1922034515518895,1441.320047926961,999.98040258980666
1.65,1.6849970720661769,8.45467262063686,273.83644136016147,409.26486482973775,0.1922346602958675,1441.2983390959585,999.982307059004
1.9500000000000002,1.9913588670896567,8.4610877701037346,273.87886561011794,409.24979410684119,0.19223156762498853,1441.3295425444842,999.98331621363184
2.25,2.297720306223817,8.45746412450381,273.86318537138357,409.27068523823021,0.19223784350081974,1441.3193831571075,999.9850111969846
2.55,2.6040812600266317,8.4513273334151435,273.81159956533719,409.26866195205019,0.19223104533292329,1441.2988461982347,999.98686537217043
2.85,2.9104417155212614,8.446713246198108,273.82091384018042,409.33904599924432,0.19226043163938147,1441.2846292609727,999.98864508099894
3.15,3.2168014039632267,8.41443457411902,273.58236760074669,409.37752065487365,0.19225227144540508,1441.1562569872863,999.99225368830935
3.4499999999999997,3.52316009338605,8.3864956289024,273.35452163705725,409.37887683009262,0.19222957771569527,1441.0456791830325,999.99554775010142
3.75,3.8295181149878821,8.386394369073388,273.34489441049192,409.36570057367112,0.19222220437147355,1441.0500177477045,999.99699424521691
4.05,4.1358757736439236,8.388752510425908,273.38967495818122,409.4038477071179,0.19224159272090152,1441.0645447464078,999.9982980161343
4.35,4.4422330806757113,8.3899069485660487,273.4061436928057,409.41435403513049,0.19224666529674633,1441.0740835811998,999.99967060725908
4.6499999999999995,4.74859000206727,8.38884210199517,273.41612653858306,409.44236056967804,0.19225840562614505,1441.0744684833917,1000.0011964513807
4.9499999999999993,5.0549465028375513,8.3867981006488481,273.43638085583996,409.49776020978476,0.19228258708938942,1441.0708264054781,1000.0027974177027
5.2499999999999991,5.3613025984777591,8.3870858696949142,273.4368508695178,409.49493456347653,0.19228052487509109,1441.0767781697571,1000.0042221374742
5.55,5.6676582926508932,8.3851634488910616,273.43041598534404,409.50887720519222,0.19228478313328448,1441.0736122698083,1000.0057991985566
5.85,5.9740135977899591,8.3867277343486748,273.44682497093623,409.51426439077284,0.19228771352969953,1441.0848412268485,1000.0071427576138
6.1499999999999995,6.2803685411246875,8.38723273132268,273.42980915434822,409.48258778246446,0.19227189371001507,1441.0916724512167,1000.0085420591263
6.4499999999999993,6.58672310294023,8.386829440156907,273.4280193129124,409.48485360523557,0.19227173472989126,1441.0947734659187,1000.0100143314896
6.7499999999999991,6.8930772467431245,8.38414492034288,273.433058532746,409.52532884274581,0.19228819234406838,1441.0884762337287,1000.0116518858996
7.0499999999999989,7.1994309419071527,8.38086878059988,273.42572398638822,409.55453523920318,0.19229873103563672,1441.0797275337213,1000.0133241087771
7.35,7.5057842070083227,8.3799063108659659,273.43178242584025,409.57541923482216,0.192307111998239,1441.0805299436361,1000.014840398903
7.6499999999999995,7.812137080658859,8.38043329322904,273.45381945954944,409.60196210966711,0.19231942433305566,1441.0874883246868,1000.0162605499155
7.9499999999999993,8.11848955434403,8.3787266093311565,273.46510651343328,409.63981297744448,0.19233539900100383,1441.085226951888,1000.0178324363516
8.25,8.4248416170568809,8.377900161968979,273.44560648477608,409.6207448009896,0.19232459644333855,1441.0865664353332,1000.0193244540443
8.5499999999999989,8.7311932703397179,8.3763313094369032,273.4563877769267,409.65615010480349,0.19233950036454633,1441.0848724864652,1000.0208862794681
8.85,9.037544509572248,8.3754656648650379,273.48474255952857,409.70925365609344,0.19236351645963154,1441.086094342,1000.0224084689249
9.1499999999999986,9.3438953684065851,8.377063840049205,273.50276017896027,409.7166267974473,0.19236743474457704,1441.0974665496442,1000.023750600557
9.45,9.6502459003664267,8.3809923930924128,273.51300097377191,409.6837471949612,0.19235379207519959,1441.1184402140411,1000.0249233605452
9.75,9.95659606289907,8.3785722097400459,273.52002937575321,409.72398048820469,0.19237034179309309,1441.1132330007586,1000.0265433094497
10.049999999999999,10.2629457940469,8.3768172243920667,273.53474399521326,409.76756734508484,0.19238904584318928,1441.1107752979813,1000.028120575548
10.35,10.569295108452604,8.3757406885217858,273.54087866763587,409.78997473112111,0.19239806892243688,1441.111107109278,1000.0296449356212
10.649999999999999,10.87564402532964,8.3758126272363036,273.5621787703169,409.82100095306254,0.19241217911741279,1441.1161889049567,1000.0310967709099
10.95,11.18199253387813,8.3740386975587846,273.60534697203485,409.9074574873797,0.19245156732042826,1441.1136788455074,1000.0326916480783
11.25,11.488340602211311,8.37193848715055,273.72200330967331,410.10803644964545,0.19254579887517517,1441.1098907187559,1000.0343516715648
11.549999999999999,11.79468823074013,8.37027454888888,273.77415175212775,410.20662169116548,0.19259113098242969,1441.1078418671154,1000.0359438745742
11.85,12.101035427636584,8.36854364048975,273.84333793098358,410.33156987813385,0.19264913859012819,1441.1055322441487,1000.0375505540123
12.149999999999999,12.407382183106153,8.36606121533822,273.90627272831028,410.456408025765,0.19270648547609542,1441.1001166931355,1000.0392067123208
12.45,12.713728499127669,8.3644194879914,273.96400677636626,410.56312530024991,0.192755760144851,1441.0981635773014,1000.0408004812819
12.75,13.020074406681754,8.364851602686814,274.03323655749546,410.66155459152117,0.19280270804077379,1441.1047755252555,1000.0422543807713
13.049999999999999,13.326419886514385,8.36191323816265,274.15059066648024,410.8736041446204,0.19290179794596826,1441.0975284316714,1000.0439738650939
13.35,13.632764925767821,8.3608354827785227,274.18029564681433,410.9313985681672,0.19292790261762596,1441.0978753070222,1000.0455117191435
13.649999999999999,13.939109564565504,8.36097044632464,274.21923644317792,410.98809892892149,0.1929544596445085,1441.1032336163003,1000.0469692505712
13.95,14.245453810693137,8.3601634076275815,274.19362753547483,410.959658957759,0.19293914084950894,1441.1046461132555,1000.0484562800232
14.249999999999998,14.551797651933175,8.3594888426174325,274.27205603876109,411.08551952446726,0.19299843955692667,1441.106701260577,1000.0499935864106
14.549999999999999,14.858141104015422,8.3605674044497729,274.29957984783056,411.11348095842538,0.19301188201944497,1441.1159419595647,1000.0513779239153
14.85,15.164484164789613,8.3589933474390179,274.29171814725186,411.12109602718175,0.19301335266004993,1441.1142064592161,1000.0529292769286
