Time,Depth [m],P [Decibars],T [Celsius],SpC [MicroSiemens/cm],Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),% Device,CC1841005
01092021134342,0.0,0.0,0.0,0.0,0.2,0.0,8.50910758972168,0.0,% File name,CC1841005_20210109_184338
01092021134342,0.0,0.0,0.0,0.0,0.4,-0.0031845329532487,8.510542869567871,0.0,% Cast time (UTC),2021-01-09 18:43:38
01092021134342,-0.004437890526202997,-0.00435357060620514,8.511685752868653,0.0,0.6,-0.0031837936897005,8.51152992248535,0.0,% Cast time (local),2021-01-09 13:43:38
01092021134342,-0.006277601996409418,-0.00615832755847764,8.5127779006958,0.0,0.8,-0.0053107018260565,8.512977600097656,0.0,% Sample type,Cast
01092021134343,-0.007902274976514863,-0.007752131751961081,8.513657569885254,0.0,1.0,-0.01008882456202,8.514270782470703,0.0,% Cast data,Raw
01092021134343,-0.010283860110294026,-0.01008846676819844,8.515059852600098,0.0,1.2,-0.0090237847613625,8.514568328857422,0.0,% Location source,GPS
01092021134343,-0.009854390551595432,-0.00966715713111512,8.5169527053833,0.0,1.4,-0.0111535539206659,8.514941215515137,0.0,% Default latitude,32
01092021134343,-0.006938173896702346,-0.0068063485926650015,8.519103050231934,0.0,1.6,-0.0148654687708873,8.51854133605957,0.0,% Default altitude,0
01092021134343,-0.0027262822887957386,-0.00267448292530862,8.521537780761719,0.0,1.8,-0.0032041536406399,8.522441864013672,0.0,% Start latitude,29.1278663
01092021134344,0.001270570829009867,0.0012464299832586796,8.52423267364502,0.0,2.0,0.0042152181302306,8.525022506713867,0.0,% Start longitude,-89.2610856
01092021134344,0.0066719791479813865,0.006545211544169741,8.526551628112793,0.0,2.2,0.0116355435754194,8.526741981506348,0.0,% Start altitude,-25.207000732421875
01092021134344,0.006885243642491275,0.006754424013283941,8.529076194763183,0.0,2.4,0.0084510106221706,8.52841567993164,0.0,% Start GPS horizontal error(Meter),10.100000381469727
01092021134344,0.008395155235087461,0.0082356472856208,8.531231880187988,0.0,2.6,0.011628439033668,8.530136108398438,0.0,% Start GPS vertical error(Meter),10.309000015258789
01092021134344,0.006338266555619898,0.00621783949106312,8.533339881896973,0.0,2.8,-0.0021580912950689,8.535064697265625,0.0,% Start GPS number of satellites,5
01092021134345,0.00601043510261531,0.00589623683566562,8.53558177947998,0.0,3.0,0.0116213344919149,8.53580093383789,0.0,% End latitude,29.1219589
01092021134345,0.0031968286984886234,0.0031360889532173397,8.537451171875,0.0,3.2,0.001546504602631,8.53728199005127,0.0,% End longitude,-89.2624061
01092021134345,0.002437559262180163,0.00239124563619874,8.538405609130859,0.0,3.4,0.0068429973451831,8.53962516784668,0.0,% End altitude,-13.281000137329102
01092021134345,0.0009211832431834251,0.0009036807615629401,8.538855361938477,0.0,3.6,-0.0021723003785734,8.539483070373535,0.0,% End GPS horizontal error(Meter),57.054000854492188
01092021134345,0.0010255674895409176,0.0010060817072396401,8.53901538848877,0.0,3.8,-0.0058823078801619,8.539836883544924,0.0,% End GPS vertical error(Meter),68.98699951171875
01092021134346,0.002428154266101162,0.00238201933504524,8.53889331817627,0.0,4.0,0.0041835101187359,8.538049697875977,0.0,% End GPS number of satellites,5
01092021134346,0.003397942056255637,0.00333338115718678,8.539054679870606,0.0,4.2,0.0020585093310145,8.538082122802734,0.0,% Cast duration (Seconds),862.2
01092021134346,0.00620469517595266,0.00608680596760956,8.538938522338867,0.0,4.4,0.0137226854842111,8.53901481628418,0.0,% Samples per second,5
01092021134346,0.0067420728377308465,0.006613973453813961,8.539121627807617,0.0,4.6,0.0025845087321343,8.540289878845217,0.0,% Electronics calibration date,0001-01-01
01092021134346,0.007928454550102793,0.00777781391365084,8.539380645751953,0.0,4.8,0.007884816171952,8.53925609588623,0.0,% Conductivity calibration date,2018-11-19
01092021134347,0.005438766884229479,0.00533543031342912,8.539384460449218,0.0,5.0,0.0068193475497579,8.538965225219727,0.0,% Temperature calibration date,2018-11-16
01092021134347,0.006192544039210194,0.0060748857024652,8.53962688446045,0.0,5.2,0.0078777116301989,8.539377212524414,0.0,% Pressure calibration date,2018-11-13
01092021134347,0.006945932336161795,0.006813959621774721,8.540275955200196,0.0,5.4,0.0015107674831025,8.53903388977051,0.0,% ,
01092021134347,0.0062943765739183885,0.0061747834190139395,8.54108943939209,0.0,5.6,0.0062817856773147,8.541501998901367,0.0,,
01092021134347,0.005534523850566238,0.005429367897405479,8.541985511779785,0.0,5.8,0.0115801857684996,8.542501449584961,0.0,,
01092021134348,0.0059637989802499075,0.00585048679962516,8.543265533447265,0.0,6.0,0.003623466535954,8.5430326461792,0.0,,
01092021134348,0.006176674616730683,0.0060593177990128,8.544251823425293,0.0,6.2,0.0041506340221566,8.54385757446289,0.0,,
01092021134348,0.006173150760008562,0.0060558608955683995,8.545136642456054,0.0,6.4,0.0036163619942009,8.54543399810791,0.0,,
01092021134348,0.008656568428495902,0.00849209362835448,8.545901870727539,0.0,6.6,0.0073259406742529,8.546433448791504,0.0,,
01092021134348,0.007464888863810806,0.007323055975398401,8.54713191986084,0.0,6.8,0.0115629012512776,8.54692554473877,0.0,,
01092021134349,0.006704647282429563,0.006577258984063401,8.548208618164063,0.0,7.0,0.0158046301998844,8.546858787536621,0.0,,
01092021134349,0.007890251278743262,0.00774033650444714,8.548871040344238,0.0,7.2,-0.0016945542426238,8.550007820129393,0.0,,
01092021134349,0.007454900580688175,0.0073132574696551005,8.54942455291748,0.0,7.4,-0.0001126229624741,8.550817489624022,0.0,,
