% Device,CC1841005
% File name,CC1841005_20210109_184338
% Cast time (UTC),2021-01-09 18:43:38
% Cast time (local),2021-01-09 13:43:38
% Sample type,Cast
% Cast data,Raw
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,29.1278663
% Start longitude,-89.2610856
% Start altitude,-25.207000732421875
% Start GPS horizontal error(Meter),10.100000381469727
% Start GPS vertical error(Meter),10.309000015258789
% Start GPS number of satellites,5
% End latitude,29.1219589
% End longitude,-89.2624061
% End altitude,-13.281000137329102
% End GPS horizontal error(Meter),57.054000854492188
% End GPS vertical error(Meter),68.98699951171875
% End GPS number of satellites,5
% Cast duration (Seconds),862.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2018-11-19
% Temperature calibration date,2018-11-16
% Pressure calibration date,2018-11-13
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
0.2,0,8.50910758972168,0
0.4,-0.00318453295324872,8.5105428695678711,0
0.6,-0.0031837936897005648,8.5115299224853516,0
0.8,-0.00531070182605653,8.5129776000976562,0
1,-0.010088824562020093,8.5142707824707031,0
1.2,-0.0090237847613625632,8.5145683288574219,0
1.4,-0.011153553920665971,8.5149412155151367,0
1.6,-0.014865468770887347,8.51854133605957,0
1.8,-0.0032041536406399729,8.5224418640136719,0
2,0.0042152181302306246,8.5250225067138672,0
2.2,0.011635543575419405,8.5267419815063477,0
2.4,0.0084510106221706849,8.52841567993164,0
2.6,0.011628439033668059,8.5301361083984375,0
2.8,-0.0021580912950689424,8.535064697265625,0
3,0.011621334491914936,8.53580093383789,0
3.2,0.0015465046026310603,8.53728199005127,0
3.4,0.0068429973451831216,8.53962516784668,0
3.6,-0.0021723003785734107,8.5394830703735352,0
3.8,-0.0058823078801619744,8.5398368835449219,0
4,0.0041835101187359669,8.5380496978759766,0
4.2,0.0020585093310145908,8.5380821228027344,0
4.4,0.013722685484211183,8.53901481628418,0
4.6,0.0025845087321343385,8.5402898788452148,0
4.8,0.0078848161719520249,8.53925609588623,0
5,0.0068193475497579925,8.5389652252197266,0
5.2,0.0078777116301989025,8.5393772125244141,0
5.4,0.0015107674831025264,8.5390338897705078,0
5.6,0.006281785677314744,8.5415019989013672,0
5.8,0.011580185768499618,8.5425014495849609,0
6,0.003623466535954023,8.5430326461792,0
6.2,0.0041506340221566518,8.54385757446289,0
6.4,0.0036163619942009007,8.54543399810791,0
6.6,0.007325940674252962,8.5464334487915039,0
6.8,0.01156290125127768,8.54692554473877,0
7,0.015804630199884429,8.5468587875366211,0
7.2,-0.0016945542426238802,8.5500078201293945,0
7.4,-0.00011262296247416259,8.5508174896240234,0
7.6,0.013141328276171649,8.5497455596923828,0
7.8,0.00942750607731746,8.54969310760498,0
8,0.008897048746627334,8.5521945953369141,0
8.2,0.0062418050389840829,8.5531177520751953,0
8.4,0.0062368222566320242,8.5552835464477539,0
8.6,0.0067649434171528355,8.5562963485717773,0
8.8,-0.0011927294897091656,8.5559291839599609,0
9,0.0067587925497178958,8.5547342300415039,0
9.2,-0.0080882236188628553,8.5567111968994141,0
9.4,-0.0043815059617617891,8.5582265853881836,0
9.6,0.0014461833750285535,8.5585784912109375,0
